,account
1800,0.0003447247145231813
1801,0.00038190241320990026
1802,0.0003725930873770267
1803,0.000345307809766382
1804,0.00037791882641613483
1805,0.00036487620673142374
1806,0.0003695524064823985
1807,0.0003564391809049994
1808,0.0003295894421171397
1809,0.0003722844703588635
1810,0.00034658395452424884
1811,0.0003784256405197084
1812,0.0003762186679523438
1813,0.0003767989401239902
1814,0.0003769906179513782
1815,0.00034768623299896717
1816,0.0003659054927993566
1817,0.00037365726893767715
1818,0.00035528812441043556
1819,0.00035105712595395744
1820,0.00034273197525180876
1821,0.0003432898665778339
1822,0.00031986660906113684
1823,0.0003415527462493628
1824,0.0003411138313822448
1825,0.0003057527937926352
1826,0.000309235678287223
1827,0.00031331722857430577
1828,0.00031799482530914247
1829,0.00030930270440876484
1830,0.0003124890790786594
1831,0.0003016276459675282
1832,0.0002862752880901098
1833,0.000293418561341241
1834,0.0003006430633831769
1835,0.0002993874659296125
1836,0.0002918042882811278
1837,0.00029334743157960474
1838,0.0002958253608085215
1839,0.0002938893740065396
1840,0.0002943715953733772
1841,0.0002806242846418172
1842,0.000278613471891731
1843,0.0002780133509077132
1844,0.0002768143604043871
1845,0.0002780691138468683
1846,0.0002752964210230857
1847,0.00027913606027141213
1848,0.00026931121828965843
1849,0.000272719917120412
1850,0.00025949592236429453
1851,0.00026604748563840985
1852,0.0002615824050735682
1853,0.0002763118827715516
1854,0.00026437657652422786
1855,0.0002673123963177204
1856,0.00025435403222218156
1857,0.00026143313152715564
1858,0.00025774992536753416
1859,0.0002614241966512054
1860,0.00025708760949783027
1861,0.00025592988822609186
1862,0.00024543271865695715
1863,0.00025005292263813317
1864,0.00024165680224541575
1865,0.00024405722797382623
1866,0.00023720948956906796
1867,0.0002380915975663811
1868,0.00023598584812134504
1869,0.00024342001415789127
1870,0.000248106342041865
1871,0.00025597287458367646
1872,0.0002535226522013545
1873,0.00025374372489750385
1874,0.00024833978386595845
1875,0.00025450135581195354
1876,0.0002543530135881156
1877,0.0002592305827420205
1878,0.00025129286223091185
1879,0.00025474830181337893
1880,0.00025221490068361163
1881,0.00025081163039430976
1882,0.00024783535627648234
1883,0.00024774830671958625
1884,0.0002509455371182412
1885,0.0002494194486644119
1886,0.0002595338155515492
1887,0.0002490251208655536
1888,0.00024819158716127276
1889,0.00025114871095865965
1890,0.00024323716934304684
1891,0.0002431603061268106
1892,0.0002470568288117647
1893,0.0002401833626208827
1894,0.00024921027943491936
1895,0.00024275614123325795
1896,0.00023725215578451753
1897,0.00023237573623191565
1898,0.00023511105973739177
1899,0.0002280870539834723
1900,0.0002275350852869451
1901,0.00023720804892946035
1902,0.00023558003886137158
1903,0.00023131468333303928
1904,0.00023705216881353408
1905,0.00023086590226739645
1906,0.00023141589190345258
1907,0.0002365569380344823
1908,0.00023680496087763458
1909,0.0002368730492889881
1910,0.0002352336305193603
1911,0.00023516197688877583
1912,0.00022695149527862668
1913,0.00022525707026943564
1914,0.0002292786812176928
1915,0.0002218593144789338
1916,0.00021861410641577095
1917,0.00021671010472346097
1918,0.00022078529582358897
1919,0.00021176200243644416
1920,0.00021772697800770402
1921,0.0002140150754712522
1922,0.00021253091108519584
1923,0.00020923711417708546
1924,0.00021034695964772254
1925,0.00020941178081557155
1926,0.00021212772116996348
1927,0.00020667650096584111
1928,0.00021019189443904907
1929,0.00019376132695470005
1930,0.00019856066501233727
1931,0.0001997495419345796
1932,0.0002028745220741257
1933,0.0002070367627311498
1934,0.00019676308147609234
1935,0.0001898158952826634
1936,0.00019291642820462584
1937,0.00018374453065916896
1938,0.00018182264466304332
1939,0.00018525630002841353
1940,0.00016826037608552724
1941,0.00016966972907539457
1942,0.0001612206979189068
1943,0.00015539080777671188
1944,0.00014782494690734893
1945,0.00015375472139567137
1946,0.00015071990492288023
1947,0.00015587219968438148
1948,0.00015125438221730292
1949,0.00015827953757252544
1950,0.00015264478861354291
1951,0.00015133575652725995
1952,0.00015647755935788155
1953,0.00015007048205006868
1954,0.0001510222937213257
1955,0.00014719789032824337
1956,0.00014877055946271867
1957,0.0001533435279270634
1958,0.0001492672017775476
1959,0.00014905229909345508
1960,0.0001503208914073184
1961,0.00015748415898997337
1962,0.00015599996550008655
1963,0.0001578618976054713
1964,0.00015925592742860317
1965,0.00015805676230229437
1966,0.00015594955766573548
1967,0.00015940950834192336
1968,0.0001648003963055089
1969,0.00015949962835293263
1970,0.0001568963925819844
1971,0.00016019376926124096
1972,0.00015654585149604827
1973,0.00015492126112803817
1974,0.00015723843534942716
1975,0.00015794229693710804
1976,0.00015707658894825727
1977,0.00015525832714047283
1978,0.00015303061809390783
1979,0.00015366176376119256
1980,0.00015043259190861136
1981,0.00015239733329508454
1982,0.00015124755736906081
1983,0.00015283968241419643
1984,0.0001469288399675861
1985,0.00014743400970473886
1986,0.0001527425047243014
1987,0.00015272200107574463
1988,0.00014965582522563636
1989,0.00014839597861282527
1990,0.00014865635603200644
1991,0.000148420876939781
1992,0.0001588645827723667
1993,0.00014902453403919935
1994,0.00015233654994517565
1995,0.00015439045091625303
1996,0.00015374334179796278
1997,0.00015803836868144572
1998,0.00015606395027134567
1999,0.00016154903278220445
2000,0.0001548409927636385
2001,0.00015463971067219973
2002,0.00015712868480477482
2003,0.00015506264753639698
2004,0.0001534974726382643
2005,0.0001556146307848394
2006,0.00015704368706792593
2007,0.00015617073222529143
2008,0.00015495657862629741
2009,0.0001470469869673252
2010,0.00014017283683642745
2011,0.00012885672913398594
2012,0.00012812449131160975
2013,0.00013570755254477262
2014,0.0001244657178176567
2015,0.00012440588034223765
2016,0.0001295219553867355
2017,0.00012052537203999236
2018,0.00012418623373378068
2019,0.00012003503798041493
