,address
1800,5.7677680160850286e-05
1801,5.372711530071683e-05
1802,7.537735655205324e-05
1803,5.4696549341315404e-05
1804,6.212132575456053e-05
1805,7.885305240051821e-05
1806,5.977880209684372e-05
1807,5.654704000335187e-05
1808,5.130214776727371e-05
1809,5.4559761338168755e-05
1810,5.3649342589778826e-05
1811,5.910557956667617e-05
1812,7.012211426626891e-05
1813,5.450991011457518e-05
1814,6.0833415773231536e-05
1815,5.8049074141308665e-05
1816,5.6557411880930886e-05
1817,7.291301881195977e-05
1818,6.831850623711944e-05
1819,5.177338243811391e-05
1820,7.347726204898208e-05
1821,6.01745123276487e-05
1822,5.7983401347883046e-05
1823,5.5703661928419024e-05
1824,5.479637911776081e-05
1825,5.768253322457895e-05
1826,5.7697470765560865e-05
1827,5.1884060667362064e-05
1828,5.164395406609401e-05
1829,4.782743053510785e-05
1830,4.897627150057815e-05
1831,5.0589078455232084e-05
1832,4.708903725259006e-05
1833,5.3014962759334594e-05
1834,4.999023803975433e-05
1835,5.085406519356184e-05
1836,5.311369022820145e-05
1837,4.8063197027659044e-05
1838,4.854033250012435e-05
1839,4.916484613204375e-05
1840,5.2333896746858954e-05
1841,5.084477743366733e-05
1842,4.633072603610344e-05
1843,4.9608581321081147e-05
1844,4.7384008212247863e-05
1845,4.2907118768198416e-05
1846,4.611010808730498e-05
1847,4.472147338674404e-05
1848,4.739593714475632e-05
1849,4.5696353481616825e-05
1850,4.576894571073353e-05
1851,4.6482007746817544e-05
1852,4.637695019482635e-05
1853,4.5044482249068096e-05
1854,4.3848373024957255e-05
1855,4.4970118324272335e-05
1856,4.5015251089353114e-05
1857,4.5322845835471526e-05
1858,4.392763730720617e-05
1859,4.5146593038225546e-05
1860,4.5452139602275565e-05
1861,4.465510573936626e-05
1862,4.17881783505436e-05
1863,4.347671347204596e-05
1864,4.706329127657227e-05
1865,4.886659371550195e-05
1866,5.0939805078087375e-05
1867,4.709903078037314e-05
1868,4.80935450468678e-05
1869,4.783430995303206e-05
1870,4.4752072426490486e-05
1871,4.626086229109205e-05
1872,4.621798507287167e-05
1873,4.404642095323652e-05
1874,4.720363358501345e-05
1875,4.862532296101563e-05
1876,4.8509606131119654e-05
1877,4.7672565415268764e-05
1878,4.680798156186938e-05
1879,4.812120823771693e-05
1880,4.638516838895157e-05
1881,4.9441125156590715e-05
1882,4.755006739287637e-05
1883,4.823568815481849e-05
1884,4.90493985125795e-05
1885,5.038581002736464e-05
1886,5.124590461491607e-05
1887,5.277001764625311e-05
1888,5.228540612733923e-05
1889,5.5241678637685254e-05
1890,5.502298881765455e-05
1891,5.635344859911129e-05
1892,5.635062188957818e-05
1893,5.6838176533346996e-05
1894,5.7004373957170174e-05
1895,5.544847226701677e-05
1896,5.872191468370147e-05
1897,5.794512981083244e-05
1898,5.8219909988110885e-05
1899,5.907634476898238e-05
1900,5.96893260080833e-05
1901,5.79947663936764e-05
1902,5.96477220824454e-05
1903,6.053849574527703e-05
1904,5.9946614783257246e-05
1905,5.918010720051825e-05
1906,5.947240788373165e-05
1907,6.165159720694646e-05
1908,6.186682730913162e-05
1909,6.122232298366725e-05
1910,5.9909601986873895e-05
1911,5.810096627101302e-05
1912,6.022988600307144e-05
1913,6.204371311469004e-05
1914,6.697516073472798e-05
1915,6.621440115850419e-05
1916,6.495514389825985e-05
1917,6.639524508500472e-05
1918,6.440450670197606e-05
1919,6.730875611538067e-05
1920,6.30465874564834e-05
1921,6.35362375760451e-05
1922,6.382282299455255e-05
1923,5.816105112899095e-05
1924,5.622729440801777e-05
1925,5.493101343745366e-05
1926,5.43013920832891e-05
1927,5.558240081882104e-05
1928,5.3756146371597424e-05
1929,5.430697638075799e-05
1930,5.5405969760613516e-05
1931,5.645500641549006e-05
1932,5.428873191704042e-05
1933,5.3568859584629536e-05
1934,5.447783041745424e-05
1935,5.3461018978850916e-05
1936,5.545244857785292e-05
1937,5.84119807172101e-05
1938,5.550529749598354e-05
1939,6.0617174312938005e-05
1940,5.7050216128118336e-05
1941,6.309344462351874e-05
1942,5.5368094763252884e-05
1943,5.668492303811945e-05
1944,5.581654477282427e-05
1945,5.4541622375836596e-05
1946,5.304765727487393e-05
1947,5.1478040404617786e-05
1948,5.031503678765148e-05
1949,5.2405808673938736e-05
1950,5.142280497238971e-05
1951,5.25418363395147e-05
1952,4.7538567741867155e-05
1953,4.876522871199995e-05
1954,5.128110569785349e-05
1955,4.885901580564678e-05
1956,4.67862919322215e-05
1957,4.781591997016221e-05
1958,4.785420969710685e-05
1959,4.8515485104871914e-05
1960,4.563229958876036e-05
1961,4.764050754602067e-05
1962,4.604186688084155e-05
1963,4.815164356841706e-05
1964,4.813061241293326e-05
1965,4.978465221938677e-05
1966,4.783909389516339e-05
1967,4.9658970965538174e-05
1968,4.939450809615664e-05
1969,5.4642219765810296e-05
1970,5.273245187709108e-05
1971,5.160312502994202e-05
1972,5.262875129119493e-05
1973,5.410654557636008e-05
1974,5.37410014658235e-05
1975,5.960364069323987e-05
1976,6.212172593222931e-05
1977,6.503937038360164e-05
1978,6.578204192919657e-05
1979,6.862808368168771e-05
1980,7.041762728476897e-05
1981,8.216274727601558e-05
1982,7.381705654552206e-05
1983,7.630115578649566e-05
1984,8.073600474745035e-05
1985,8.30440258141607e-05
1986,8.374248136533424e-05
1987,8.546792378183454e-05
1988,8.790128777036443e-05
1989,9.015022806124762e-05
1990,9.665494144428521e-05
1991,0.00010182670666836202
1992,0.00010001713235396892
1993,0.00010604636918287724
1994,0.00010462006321176887
1995,0.0001031037318171002
1996,0.00010384566121501848
1997,0.00010616405779728666
1998,0.00011120881390525028
1999,0.00011646839266177267
2000,0.00011173054372193292
2001,0.00010810155072249472
2002,0.00011045622522942722
2003,0.00011037684453185648
2004,0.00010564001422608271
2005,0.00010044499504147097
2006,9.951042738975957e-05
2007,9.685061377240345e-05
2008,9.191514982376248e-05
2009,9.073048568097875e-05
2010,8.707955566933379e-05
2011,8.126629109028727e-05
2012,7.284057210199535e-05
2013,7.389406528091058e-05
2014,7.180547254392877e-05
2015,7.212495256680995e-05
2016,7.46798759792e-05
2017,6.693973409710452e-05
2018,6.64563849568367e-05
2019,6.770309119019657e-05
