,advanced
1800,7.828194793546572e-05
1801,7.78605681261979e-05
1802,8.417923527304083e-05
1803,8.250732935266569e-05
1804,9.128376404987648e-05
1805,9.862709703156725e-05
1806,7.693848601775244e-05
1807,7.741983426967636e-05
1808,7.133367034839466e-05
1809,7.954837201396003e-05
1810,7.688879850320518e-05
1811,8.422401151619852e-05
1812,9.046168270288035e-05
1813,8.491896733175963e-05
1814,8.956841338658705e-05
1815,9.087671060115099e-05
1816,7.707732584094629e-05
1817,8.535334200132638e-05
1818,7.721591828158125e-05
1819,7.154982449719682e-05
1820,7.768847717670724e-05
1821,7.131209713406861e-05
1822,7.260418351506814e-05
1823,7.911884313216433e-05
1824,7.163582631619647e-05
1825,7.766552153043449e-05
1826,7.479895430151373e-05
1827,8.017224899958819e-05
1828,7.83114810474217e-05
1829,7.461490895366296e-05
1830,7.368400110863149e-05
1831,7.08937513991259e-05
1832,6.313595804385841e-05
1833,6.929497612873092e-05
1834,7.162057590903714e-05
1835,6.981787009863183e-05
1836,7.332202221732587e-05
1837,6.835479871369898e-05
1838,6.875584222143516e-05
1839,7.097327033989131e-05
1840,7.157104118959978e-05
1841,7.201777043519542e-05
1842,6.855370884295553e-05
1843,6.568850949406624e-05
1844,6.870101060485467e-05
1845,6.875994586152956e-05
1846,6.705389387207106e-05
1847,7.329665822908282e-05
1848,7.069564162520692e-05
1849,6.72812748234719e-05
1850,6.560292968060821e-05
1851,6.245107942959294e-05
1852,6.45831532892771e-05
1853,6.293162005022168e-05
1854,6.528765516122803e-05
1855,6.81009260006249e-05
1856,6.367752212099731e-05
1857,6.362810381688178e-05
1858,6.420916906790808e-05
1859,6.173023575684056e-05
1860,5.9963116655126214e-05
1861,6.0884492995683104e-05
1862,6.116561417002231e-05
1863,6.396213575499132e-05
1864,6.309743184829131e-05
1865,6.258231587707996e-05
1866,6.292764737736434e-05
1867,5.690131365554407e-05
1868,5.6796310673234984e-05
1869,5.318089097272605e-05
1870,5.4267715313471854e-05
1871,5.526510358322412e-05
1872,5.3597192163579166e-05
1873,5.519055048353039e-05
1874,5.41999215784017e-05
1875,5.565914761973545e-05
1876,5.368766869651154e-05
1877,5.366745244828053e-05
1878,5.43725946045015e-05
1879,5.4818036005599424e-05
1880,5.802250234410167e-05
1881,5.631226667901501e-05
1882,5.571242581936531e-05
1883,5.354218592401594e-05
1884,5.564326420426369e-05
1885,5.5979897297220305e-05
1886,5.5850552598712966e-05
1887,5.3906242101220414e-05
1888,5.4749772971263155e-05
1889,5.6287619372596964e-05
1890,5.7033194025279954e-05
1891,6.068653965485282e-05
1892,5.7663772167870775e-05
1893,5.878293450223282e-05
1894,5.7058859965763986e-05
1895,5.611464075627737e-05
1896,5.527228131541051e-05
1897,5.514873191714287e-05
1898,5.8386191085446626e-05
1899,6.051803575246595e-05
1900,5.9431720728753135e-05
1901,5.488556416821666e-05
1902,5.681141556124203e-05
1903,5.5057120334822685e-05
1904,5.593489913735539e-05
1905,5.52870515093673e-05
1906,5.412299287854694e-05
1907,5.4278007155517116e-05
1908,5.492011405294761e-05
1909,5.5245141993509606e-05
1910,5.463364868774079e-05
1911,5.5025248002493754e-05
1912,5.4526175517821684e-05
1913,5.447505827760324e-05
1914,5.4107596952235326e-05
1915,5.58761166757904e-05
1916,5.6433473218930885e-05
1917,5.615653935819864e-05
1918,5.604560283245519e-05
1919,5.771376163465902e-05
1920,5.726524977944791e-05
1921,5.507381501956843e-05
1922,5.6410652177874e-05
1923,5.1849572628270835e-05
1924,5.21924885106273e-05
1925,5.2699433581437916e-05
1926,5.4665764764649794e-05
1927,5.187072019907646e-05
1928,5.254289862932637e-05
1929,5.2832179790129885e-05
1930,5.3015097364550456e-05
1931,5.110362690174952e-05
1932,5.150362994754687e-05
1933,5.200734449317679e-05
1934,5.35763829248026e-05
1935,5.075521767139435e-05
1936,5.065561708761379e-05
1937,5.017910007154569e-05
1938,4.861042179982178e-05
1939,4.8491805500816554e-05
1940,5.033432535128668e-05
1941,4.837026426685043e-05
1942,4.9034682888304815e-05
1943,4.770422674482688e-05
1944,4.9624657549429685e-05
1945,4.806376091437414e-05
1946,4.931450166623108e-05
1947,5.0043010560330003e-05
