,american
1800,5.198689905228093e-07
1801,6.886014602969226e-08
1802,3.6166329664411023e-07
1803,1.7578048527866486e-07
1804,3.4454063779776334e-07
1805,3.0388875416065275e-08
1806,7.370998922340277e-09
1807,6.833737131728412e-08
1808,7.452744199554218e-08
1809,6.986023777244554e-07
1810,3.954281169171736e-08
1811,8.23771184599309e-09
1812,3.2928316073821406e-08
1813,6.666712693004229e-07
1814,5.414268855474802e-08
1815,1.3367662177188322e-06
1816,3.190961308519036e-07
1817,2.047789671166811e-08
1818,5.813535253196278e-08
1819,4.9254733625048175e-08
1820,4.1980154463772124e-08
1821,1.754541756326944e-08
1822,1.9989560229305425e-08
1823,8.047872768202069e-08
1824,6.353151320581674e-07
1825,5.7643234185889014e-08
1826,2.43056774706929e-06
1827,1.5960281984916946e-08
1828,1.8612670515949503e-08
1829,1.824872875033634e-08
1830,1.0979913867004143e-08
1831,5.715058293276343e-08
1832,2.066063764516457e-08
1833,2.201534954338058e-08
1834,1.3655514941035563e-08
1835,2.145766409000771e-08
1836,1.4433696016169506e-08
1837,3.2559597684667096e-08
1838,3.694847805491008e-08
1839,1.9966273967497727e-08
1840,3.4693751871373024e-08
1841,2.1905488978291032e-08
1842,4.402901510047741e-08
1843,1.201060939592935e-07
1844,7.935461354691142e-08
1845,1.9284576069367176e-07
1846,1.3311629132317648e-08
1847,4.300816058844248e-08
1848,2.2517659203913354e-07
1849,1.2783218039658095e-07
1850,4.157534760906856e-08
1851,2.756258865588279e-08
1852,4.363650418781617e-08
1853,2.7247727629742258e-08
1854,2.3075012123285887e-08
1855,3.610096044326383e-08
1856,4.256473928876403e-08
1857,3.676535342833631e-08
1858,4.8144102038349956e-08
1859,4.3834344154447535e-08
1860,3.53786582252269e-08
1861,3.024184280775444e-08
1862,2.6443354173011357e-08
1863,4.4831477197249114e-08
1864,3.3214167416417695e-08
1865,3.081220256717643e-08
1866,2.3658894576783496e-07
1867,3.527424752292063e-08
1868,4.148450472030163e-08
1869,3.282579896790594e-08
1870,3.871836184998756e-08
1871,3.5132369902157734e-08
1872,1.7429665888357704e-07
1873,5.2330975108816347e-08
1874,9.458280203489267e-08
1875,4.7585889006995785e-08
1876,9.202165074384538e-08
1877,3.171308904370562e-08
1878,6.121553752791442e-08
1879,1.4516322721647157e-07
1880,1.1572498692657973e-07
1881,4.190959046468379e-08
1882,4.57021833710769e-08
1883,3.890494681968448e-08
1884,5.391403590238042e-08
1885,9.437669490353073e-08
1886,1.3446532420857693e-07
1887,2.90463830765475e-08
1888,4.510217266329164e-08
1889,6.52746621199185e-08
1890,1.539764724611814e-07
1891,1.6728260732179479e-07
1892,6.595065826786595e-08
1893,8.003556217772712e-08
1894,9.589091831685437e-08
1895,6.811136898932091e-08
1896,9.589044225322141e-08
1897,5.6753766131123484e-08
1898,9.054925698137595e-08
1899,5.860640683863494e-08
1900,8.361397618728006e-08
1901,8.497781323058007e-08
1902,8.185329392063068e-08
1903,6.375309169470711e-08
1904,5.4580347352839453e-08
1905,9.60608446121114e-08
1906,7.988699479710704e-08
1907,7.779430433174639e-08
1908,8.570261655904687e-08
1909,1.0339186928831623e-07
1910,6.378685668551043e-08
1911,8.694441788748009e-08
1912,9.637059861233865e-08
1913,6.768489413389034e-08
1914,8.042901811222691e-08
1915,7.416058167564188e-08
1916,6.54558718338194e-08
1917,7.939677004742407e-08
1918,7.441789762197004e-08
1919,1.6078399767138762e-07
1920,1.4566261086201848e-07
1921,1.1878077543769905e-07
1922,1.1246689979316216e-07
1923,1.0637958780534973e-07
1924,2.1685295337192656e-07
1925,1.5823928833924583e-07
1926,2.1157703145036066e-07
1927,1.678735941368359e-07
1928,2.288324765231664e-07
1929,1.927133439494355e-07
1930,2.554656930442434e-07
1931,2.43331612637121e-07
1932,2.1417069717699633e-07
1933,2.590142003100482e-07
1934,2.3339508459230274e-07
1935,2.1482253487192793e-07
1936,3.804510697591468e-07
1937,3.121911333892058e-07
1938,4.2949102407874307e-07
1939,3.1921209142637963e-07
1940,3.9855487443674065e-07
1941,1.677968555213738e-07
1942,2.1050388454568747e-07
1943,2.119690236668248e-07
1944,1.8938204959795257e-07
1945,1.7400761009866983e-07
1946,2.0108201681523497e-07
1947,2.598881394533237e-07
1948,1.9326871836256032e-07
1949,1.8093696496634948e-07
1950,2.487188908162352e-07
1951,1.6602389507625048e-07
1952,1.846359083401694e-07
1953,1.35139842427634e-07
1954,1.7260710194477724e-07
1955,4.3014799189222686e-07
1956,3.267283545937971e-07
1957,1.623754855017978e-07
1958,1.792793966615136e-07
1959,1.7620192238609889e-07
1960,1.694915567895805e-07
1961,1.6245968481598538e-07
1962,2.419952238597034e-07
1963,1.5438159550740238e-07
1964,2.352638972524801e-07
1965,8.230981052292918e-07
1966,3.5433026823739056e-07
1967,3.6349160836834926e-07
1968,3.5999030956190836e-07
1969,3.0972714171184634e-07
1970,5.000692908652127e-07
1971,4.7116799350988003e-07
1972,4.957305463904049e-07
1973,5.19207560500945e-07
1974,8.715491617294902e-07
1975,4.859710429627739e-07
1976,3.363874725437199e-07
1977,2.982800992867851e-07
1978,3.681875284655689e-07
1979,3.090088114277023e-07
1980,3.2941193239821587e-07
1981,3.8429999449363095e-07
1982,3.727119803897949e-07
1983,4.0117504340742016e-07
1984,4.0083148178382544e-07
1985,4.6718358248654113e-07
1986,3.290931829269539e-07
1987,3.8055492268540547e-07
1988,6.019401439516514e-07
1989,4.3881760802833014e-07
1990,3.915378385954682e-07
1991,3.6108485801378265e-07
1992,3.3344539929203165e-07
1993,3.089728295435634e-07
1994,3.220780797619227e-07
1995,4.2532283828222717e-07
1996,4.275838705325441e-07
1997,3.918070774489024e-07
1998,3.3067456683966157e-07
1999,3.3156288736790884e-07
2000,2.76357013717643e-07
2001,2.7753023346122063e-07
2002,2.3126882808810478e-07
2003,3.523115310599678e-07
2004,3.4419608141433855e-07
2005,3.718904508787091e-07
2006,4.361720868928387e-07
2007,5.292514515531366e-07
2008,5.11650853241008e-07
2009,1.1264611430306104e-06
2010,1.2438341627785121e-06
2011,1.4157976693240926e-06
2012,1.3441803048408474e-06
2013,1.2387392871460179e-06
2014,2.0078134639334166e-06
2015,1.7502344462627661e-06
2016,1.934474994413904e-06
2017,1.7497363842267077e-06
2018,1.5945645372994477e-06
2019,8.896813028513861e-07
