,based
1800,5.0240773816767614e-06
1801,1.7701107708489872e-06
1802,1.4003938986206776e-06
1803,1.0287481018167455e-06
1804,3.705436881773494e-07
1805,9.6940516414179e-07
1806,6.904169254084991e-07
1807,6.150363560664118e-07
1808,1.3833021057507722e-06
1809,6.153492222438217e-07
1810,2.943742742900213e-07
1811,5.881726110601448e-07
1812,3.5967852340945683e-07
1813,2.990104519540182e-07
1814,3.232154597299086e-07
1815,6.249381954148703e-07
1816,8.907534265745198e-07
1817,6.552926947733795e-07
1818,6.19209117758146e-07
1819,4.206620474178635e-07
1820,4.281975805042748e-07
1821,7.807710744600627e-07
1822,5.291972797749622e-07
1823,9.709036703497986e-07
1824,5.696239213648369e-07
1825,1.7651055941314553e-06
1826,3.6537176129058935e-06
1827,1.3575628372564097e-06
1828,2.4834619125613244e-06
1829,2.5539925445627887e-06
1830,3.22882669934188e-06
1831,4.617612376023317e-06
1832,5.964185038465075e-05
1833,5.91745902056573e-06
1834,7.191904387582326e-06
1835,8.330937816936057e-06
1836,8.24106336949626e-06
1837,8.842255738272797e-06
1838,9.271136150346138e-06
1839,8.778330084169284e-06
1840,9.175955710816197e-06
1841,1.1661200005619321e-05
1842,1.0388725968368817e-05
1843,1.1266693036304787e-05
1844,1.1315380106680095e-05
1845,1.1607782653300092e-05
1846,1.3024740837863646e-05
1847,1.3922021935286466e-05
1848,1.5229786185955163e-05
1849,1.5513804100919515e-05
1850,1.602135853318032e-05
1851,1.5815949154784903e-05
1852,1.6323061572620645e-05
1853,1.6084799426607788e-05
1854,1.6764808606239967e-05
1855,1.7350052075926214e-05
1856,1.7869759176392108e-05
1857,1.8331418687012047e-05
1858,2.0420817236299627e-05
1859,2.0044819393660873e-05
1860,2.1746418497059494e-05
1861,2.2084208467276767e-05
1862,2.294600744789932e-05
1863,2.3536098524346016e-05
1864,2.3377633624477312e-05
1865,2.3659871658310294e-05
1866,2.4167158699128777e-05
1867,2.4920760552049614e-05
1868,2.6504263587412424e-05
1869,2.8294598450884223e-05
1870,2.737206705205608e-05
1871,2.7426462111179717e-05
1872,2.8757562176906504e-05
1873,2.9557539164670743e-05
1874,3.2696392736397684e-05
1875,3.164375448250212e-05
1876,3.352673593326472e-05
1877,3.5627988836495206e-05
1878,3.5315188142703846e-05
1879,3.678478969959542e-05
1880,3.5624700103653595e-05
1881,3.6412067856872454e-05
1882,3.821606878773309e-05
1883,3.773296339204535e-05
1884,4.019445987069048e-05
