,big
1800,1.4846029444015585e-05
1801,9.385232260683551e-06
1802,8.726178748474922e-06
1803,8.273209459730424e-06
1804,9.149828656518366e-06
1805,8.721607628103811e-06
1806,9.21374885365367e-06
1807,8.781352335063275e-06
1808,1.0241161362500861e-05
1809,7.512690444855252e-06
1810,8.883951522875577e-06
1811,8.9132036009687e-06
1812,7.1733070399204735e-06
1813,8.752158464631066e-06
1814,7.509427177865291e-06
1815,6.924449280631961e-06
1816,7.627076229255181e-06
1817,7.117531822586898e-06
1818,6.605798716918798e-06
1819,7.067388651194051e-06
1820,7.713553713983856e-06
1821,8.494488611177076e-06
1822,8.418760444328655e-06
1823,8.48844229039969e-06
1824,7.888345862738788e-06
1825,8.157390766427852e-06
1826,7.4244403549528215e-06
1827,7.546396773250308e-06
1828,7.032930170680629e-06
1829,7.419767371175112e-06
1830,7.474393441952998e-06
1831,6.668854894087417e-06
1832,9.000167665362824e-06
1833,7.3778105615929235e-06
1834,7.514434855693253e-06
1835,7.69376492826268e-06
1836,6.822519480920164e-06
1837,7.686390745220706e-06
1838,7.2419020398228895e-06
1839,7.687541256018449e-06
1840,7.82940423960099e-06
1841,8.270123544207308e-06
1842,7.863157406973187e-06
1843,7.73017654864816e-06
1844,7.5435864346218295e-06
1845,7.830474714864977e-06
1846,8.36337585496949e-06
1847,7.597952389915008e-06
1848,9.44760631682584e-06
1849,8.113691364997067e-06
1850,9.016759577207267e-06
1851,8.739637451071758e-06
1852,9.83137942967005e-06
1853,9.474566468270496e-06
1854,9.997979759646114e-06
1855,1.0728710549301468e-05
1856,1.1108383660030086e-05
1857,1.1820415238616988e-05
1858,1.2246610822330695e-05
1859,1.2042964954162017e-05
1860,1.2635908205993474e-05
1861,1.2147947018092964e-05
1862,1.4732787349203136e-05
1863,1.3528859199141152e-05
1864,1.537499701953493e-05
1865,1.5713443644926883e-05
1866,1.5003347471065354e-05
1867,1.560473356221337e-05
1868,1.5899091522442177e-05
1869,1.75794539245544e-05
1870,1.6840975149534643e-05
1871,1.6880163457244635e-05
1872,1.8090830053552054e-05
1873,1.7890688468469307e-05
1874,1.7525653674965724e-05
1875,1.775670170900412e-05
1876,1.7831447621574625e-05
1877,1.828843778639566e-05
1878,1.9305920432088897e-05
1879,1.908346348500345e-05
1880,1.986702045542188e-05
1881,2.0023386241518892e-05
1882,2.117184158123564e-05
1883,2.284295806020964e-05
1884,2.2479722247226164e-05
1885,2.3441265511792153e-05
1886,2.2662803530693054e-05
1887,2.4341083189938217e-05
1888,2.509875048417598e-05
1889,2.6245435947203077e-05
1890,2.6989793695975095e-05
1891,2.7847734600072727e-05
1892,2.950907037302386e-05
1893,3.057659705518745e-05
1894,3.2302334147971123e-05
1895,3.078271765843965e-05
1896,3.5112367186229676e-05
1897,3.5372442653169855e-05
1898,3.71423848264385e-05
1899,4.0933860873337835e-05
1900,4.043717490276322e-05
1901,3.911365638487041e-05
1902,4.0410410292679444e-05
1903,4.342939064372331e-05
1904,4.443656143848784e-05
1905,4.627565431292169e-05
1906,4.7593344788765535e-05
1907,4.956751217832789e-05
1908,5.203493492444977e-05
1909,5.533919465960935e-05
1910,5.6529719586251304e-05
1911,5.6767690693959594e-05
1912,6.292710895650089e-05
1913,6.665612454526126e-05
1914,6.999575271038339e-05
1915,7.182043918874115e-05
1916,7.718068081885576e-05
1917,7.807270594639704e-05
1918,8.352834265679121e-05
1919,9.108645463129506e-05
1920,8.705569780431688e-05
1921,8.489091123919934e-05
1922,8.294607687275857e-05
1923,7.574453775305301e-05
1924,7.57210364099592e-05
1925,6.994802242843434e-05
1926,7.021298370091245e-05
1927,6.948633381398395e-05
1928,7.006670057307929e-05
1929,6.835450767539442e-05
1930,6.798905087634921e-05
1931,6.374329677782953e-05
1932,6.368994218064472e-05
1933,6.087424117140472e-05
1934,6.470809603342786e-05
1935,6.466836930485442e-05
1936,6.525368371512741e-05
1937,6.566881347680464e-05
1938,6.501321331597865e-05
1939,6.390412454493344e-05
1940,6.679258513031527e-05
1941,6.607953400816768e-05
1942,7.364307384705171e-05
1943,7.449736585840583e-05
1944,8.217945287469774e-05
1945,7.839635509299114e-05
1946,7.786889909766614e-05
1947,7.565374835394323e-05
1948,7.465913949999958e-05
1949,7.063236989779398e-05
1950,7.159291271818802e-05
1951,7.794026168994606e-05
1952,7.54923967178911e-05
1953,7.694491068832576e-05
1954,7.634979556314647e-05
1955,7.880457997089252e-05
1956,8.068454917520285e-05
1957,7.632297638338059e-05
1958,7.552187889814377e-05
1959,7.292327063623816e-05
1960,7.212659693323076e-05
1961,6.844726158306003e-05
1962,6.84286787873134e-05
1963,6.537367880810052e-05
1964,6.434924580389634e-05
1965,6.300063978414983e-05
1966,6.50563815725036e-05
1967,6.395910168066621e-05
1968,6.521236355183646e-05
1969,6.41343867755495e-05
1970,6.44202227704227e-05
1971,6.111768016126007e-05
1972,6.264088733587414e-05
1973,6.102763654780574e-05
1974,6.296419451246038e-05
1975,5.940320261288434e-05
1976,5.847213833476417e-05
1977,5.7618075516074896e-05
1978,5.8086377975996584e-05
1979,5.6881584896473214e-05
1980,5.775911995442584e-05
1981,5.654898995999247e-05
1982,5.7051787734963e-05
1983,5.733418220188469e-05
1984,5.9276484535075724e-05
1985,5.855436756974086e-05
1986,6.15577373537235e-05
1987,6.173330621095374e-05
1988,6.26761102466844e-05
1989,6.415456300601363e-05
1990,6.475392001448199e-05
1991,6.613889127038419e-05
1992,6.60701043670997e-05
1993,6.625877722399309e-05
1994,6.940603634575382e-05
1995,6.871479854453355e-05
1996,7.139352237572894e-05
1997,7.40994728403166e-05
1998,7.5643059972208e-05
1999,7.925552927190438e-05
2000,8.8670858531259e-05
2001,8.987531327875331e-05
2002,9.161692287307233e-05
2003,9.504942136118189e-05
2004,9.847198816714808e-05
2005,0.00010324823233531788
2006,0.00010239280527457595
2007,0.00010867056698771194
2008,0.000112586458271835
2009,0.00012535133282653987
2010,0.0001339227455900982
2011,0.00014612512313760817
2012,0.00013352326641324908
2013,0.0001309412909904495
2014,0.00015442447329405695
2015,0.00014740783080924302
2016,0.00013764783216174692
2017,0.0001416361628798768
2018,0.00013264392327982932
2019,0.00014751983690075576
