,book
1800,0.00013288803165778518
1801,0.0001378782617393881
1802,0.0001246182364411652
1803,0.00011649636144284159
1804,0.00012769130989909172
1805,0.00014570554776582867
1806,0.00014387944247573614
1807,0.00014297458983492106
1808,0.00013055026647634804
1809,0.00012711486488115042
1810,0.00015396652452182025
1811,0.0001437727769371122
1812,0.00013818494335282594
1813,0.00014965626178309321
1814,0.00014575375826098025
1815,0.00013448536628857255
1816,0.00014598850975744426
1817,0.00015648917178623378
1818,0.0001312804379267618
1819,0.00013255114026833326
1820,0.00013926136307418346
1821,0.00015767815057188272
1822,0.00015496222476940602
1823,0.00013794054393656552
1824,0.00015978985175024718
1825,0.0001404031936544925
1826,0.00014978669059928507
1827,0.00014039603411220014
1828,0.0001307247584918514
1829,0.00013574898184742779
1830,0.00013122679956723005
1831,0.00012805438018403947
1832,0.0001135995626100339
1833,0.00013103202218189836
1834,0.00012743586557917297
1835,0.00013163620315026492
1836,0.00013229694741312414
1837,0.0001361427130177617
1838,0.00013031376875005662
1839,0.00013788288924843073
1840,0.00013313618546817452
1841,0.00012842120486311615
1842,0.0001371721300529316
1843,0.00013670667249243706
1844,0.00013763665629085153
1845,0.00019122508820146322
1846,0.00013583095278590918
1847,0.00014063714479561895
1848,0.00014244008343666792
1849,0.00015113005065359175
1850,0.00014906078286003321
1851,0.0001463412627344951
1852,0.00014979057596065104
1853,0.00014802959049120545
1854,0.00015277997590601444
1855,0.00014880215167067945
1856,0.00014857863425277174
1857,0.00015332743350882083
1858,0.00014402694068849087
1859,0.00015924808394629508
1860,0.00015823289868421853
1861,0.00015300841187126935
1862,0.00014775522868148983
1863,0.00015616511518601328
1864,0.000150527004734613
1865,0.000146466787555255
1866,0.00014588181511498988
1867,0.00014776579337194562
1868,0.00015404465375468135
1869,0.00016007345402613282
1870,0.00016139053332153708
1871,0.00015979896124918014
1872,0.00015660596545785666
1873,0.0001615542860236019
1874,0.00016851502005010843
1875,0.0001591254840604961
1876,0.00016300637798849493
1877,0.00016867915110196918
1878,0.00016509773558937013
1879,0.0001628090103622526
1880,0.00016647516167722642
1881,0.0001672746438998729
1882,0.00016606340068392456
1883,0.00016170230810530484
1884,0.00016910911654122174
1885,0.00016611409955658019
1886,0.00017232674872502685
1887,0.00016877571761142462
1888,0.0001772474788594991
1889,0.0001746761699905619
1890,0.00017834731261245906
1891,0.0001970201701624319
1892,0.0001865163358161226
1893,0.00018909711798187345
1894,0.00018984483904205263
1895,0.0001902715303003788
1896,0.0001916660985443741
1897,0.0001972884638234973
1898,0.0001964678813237697
1899,0.00019417144358158112
1900,0.000186627556104213
1901,0.00018349423771724105
1902,0.00018859445117413998
1903,0.00018881174037232995
1904,0.00018786087457556278
1905,0.00018752402684185654
1906,0.00018374231876805425
1907,0.00018489730427972972
1908,0.00017766738892532885
1909,0.00017371625290252268
1910,0.0001758665166562423
1911,0.00017252481484320015
1912,0.00017659578588791192
1913,0.00017457939975429326
1914,0.000167766134836711
1915,0.00016255374066531658
1916,0.0001584449491929263
1917,0.00016317519475705922
1918,0.00015076284762471914
1919,0.00015001177962403744
1920,0.0001594751374796033
1921,0.00015798135427758098
1922,0.00016406543727498502
1923,0.00016572640743106604
1924,0.00016480371414218098
1925,0.00016613131447229534
1926,0.00017281615873798728
1927,0.00017549390031490475
1928,0.00017666850180830806
1929,0.00017649221990723163
1930,0.00017754832515493035
1931,0.0001731958909658715
1932,0.00017139992269221693
1933,0.0001695866376394406
1934,0.00017472771287430078
1935,0.00017519257380627096
1936,0.00017831528384704143
1937,0.00017987051978707314
1938,0.0001785324711818248
1939,0.000164832454174757
1940,0.0001705734757706523
1941,0.00016131992742884904
1942,0.00016273674555122852
1943,0.00016080919886007905
1944,0.00015714828623458743
1945,0.00014977103273849934
1946,0.0001590205793036148
1947,0.00015809765318408608
1948,0.00016020519251469523
1949,0.0001539501390652731
1950,0.00016400948516093194
1951,0.00016386750212404877
1952,0.000161014060722664
1953,0.00015797586820553988
1954,0.00016541725199203938
1955,0.0001563641708344221
1956,0.00016093507292680442
1957,0.00015970959793776274
1958,0.00015953238471411169
1959,0.00015534363046754152
1960,0.0001588494487805292
1961,0.0001533905160613358
1962,0.00015552577679045498
1963,0.00015348503075074404
1964,0.00015492150851059705
1965,0.0001521213271189481
1966,0.00015781063120812178
1967,0.00015529092343058437
1968,0.000168958431459032
1969,0.00016186739958357066
1970,0.0001556848146719858
1971,0.00014473246119450778
1972,0.00015080520824994892
1973,0.00014317550812847912
1974,0.00014423737593460828
1975,0.00013678715913556516
1976,0.00014035780623089522
1977,0.00013850489631295204
1978,0.0001370019745081663
1979,0.00013718866102863103
1980,0.00014247641956899315
1981,0.00013796455459669232
1982,0.00014340764028020203
1983,0.0001395008439430967
1984,0.00014279325841926038
1985,0.00013916338502895087
1986,0.00014730026305187494
1987,0.00014253638801164925
1988,0.0001443920045858249
1989,0.00014605202886741608
1990,0.0001481947401771322
1991,0.00014631457452196628
1992,0.00014986640599090606
1993,0.00015396576782222837
1994,0.000156456560944207
1995,0.00015669726417399943
1996,0.0001678004045970738
1997,0.00017151662905234843
1998,0.00017398038471583277
1999,0.00017635038238950074
2000,0.00017889964510686696
2001,0.0001814850402297452
2002,0.00019101602083537728
2003,0.00019379401055630296
2004,0.00019999626965727657
2005,0.0002010949538089335
2006,0.00020808879344258457
2007,0.00020995510567445308
2008,0.0002113330119755119
2009,0.00022570134024135768
2010,0.0002294228906976059
2011,0.00022881088079884648
2012,0.0002107202890329063
2013,0.00022067234385758638
2014,0.00022909911058377475
2015,0.00023477098147850484
2016,0.00023679366859141737
2017,0.00022562805679626763
2018,0.00021463083976414055
2019,0.00022410777455661446
