,both
1800,0.0004925976973026991
1801,0.0004904786474071443
1802,0.0004627607995644212
1803,0.00046931373071856797
1804,0.00046511684195138514
1805,0.00048163937753997743
1806,0.0004865129594691098
1807,0.000521939480677247
1808,0.0005405857227742672
1809,0.0005371365696191788
1810,0.0005153321544639766
1811,0.0004975693300366402
1812,0.0004710851644631475
1813,0.0004755349364131689
1814,0.0004972136812284589
1815,0.00047356614959426224
1816,0.00047279588761739433
1817,0.0004549633013084531
1818,0.00046094710705801845
1819,0.0004509084683377296
1820,0.00044430478010326624
1821,0.00044329249067232013
1822,0.00047381778131239116
1823,0.0004671728238463402
1824,0.0004746190970763564
1825,0.00046378173283301294
1826,0.00045668912935070693
1827,0.00044886977411806583
1828,0.0004484022792894393
1829,0.00046347209718078375
1830,0.00045339358621276915
1831,0.00044050818542018533
1832,0.00042060925625264645
1833,0.00044321833411231637
1834,0.0004333350225351751
1835,0.00045475346269086003
1836,0.0004460658528842032
1837,0.00045282431528903544
1838,0.00044013792648911476
1839,0.0004547171702142805
1840,0.0004489154671318829
1841,0.00046127778477966785
1842,0.0004588555311784148
1843,0.0004562402027659118
1844,0.00045383881661109626
1845,0.0004547699063550681
1846,0.000428406783612445
1847,0.0004348456859588623
1848,0.00043051521060988307
1849,0.0004359497397672385
1850,0.00042307627154514194
1851,0.00042536959517747164
1852,0.0004179504467174411
1853,0.00042478443356230855
1854,0.00043007792555727065
1855,0.00041841156780719757
1856,0.0004176789952907711
1857,0.00041709764627739787
1858,0.0004158121591899544
1859,0.0004168357409071177
1860,0.00040703380363993347
1861,0.000412521738326177
1862,0.0004054222663398832
1863,0.00041310201049782336
1864,0.0003990891855210066
1865,0.000403214362449944
1866,0.0003930383827537298
1867,0.00039432584890164435
1868,0.000392456422559917
1869,0.0004036133177578449
1870,0.00039920263225212693
1871,0.000400137942051515
1872,0.000393594556953758
1873,0.0003940702590625733
1874,0.0003944361233152449
1875,0.00040013567195273936
1876,0.0003913522232323885
1877,0.0003983428468927741
1878,0.0003931405080948025
1879,0.0003879692521877587
1880,0.00039047934114933014
1881,0.0003809617192018777
1882,0.00038670009234920144
1883,0.0003872354282066226
1884,0.0003849402710329741
1885,0.00038313286495395005
1886,0.0003787199966609478
1887,0.00037395936669781804
1888,0.0003842711157631129
1889,0.00037888254155404866
1890,0.00039104974712245166
1891,0.00038436174509115517
1892,0.0003818044497165829
1893,0.00038089315057732165
1894,0.000382393627660349
1895,0.00038136952207423747
1896,0.0003820604470092803
1897,0.0003771159390453249
1898,0.0003774356737267226
1899,0.0003772638156078756
1900,0.00037789667840115726
1901,0.00037278112722560763
1902,0.00037914267159067094
1903,0.0003824086452368647
1904,0.00038214054075069726
1905,0.00038401412894017994
1906,0.0003789532056543976
1907,0.0003788222966250032
1908,0.00038164525176398456
1909,0.00038190316990949214
1910,0.0003858043346554041
1911,0.0003842874139081687
1912,0.0003833521041087806
1913,0.00037780049024149776
1914,0.00038016086909919977
1915,0.0003794199728872627
1916,0.00038227622280828655
1917,0.00037661357782781124
1918,0.00038229531492106616
1919,0.00038131873589009047
1920,0.0003885997866746038
1921,0.00038423738442361355
1922,0.00039234021096490324
1923,0.0003836741379927844
1924,0.00038888619747012854
1925,0.0003883369790855795
1926,0.0003935765998903662
1927,0.00039124925388023257
1928,0.0003955849970225245
1929,0.0003923472249880433
1930,0.00039580388693138957
1931,0.000391409412259236
1932,0.00040304838330484927
1933,0.0004008670512121171
1934,0.0004027082468383014
1935,0.0003996400919277221
1936,0.00039847774314694107
1937,0.000401505472837016
1938,0.0004076874756719917
1939,0.00039844485581852496
1940,0.0004067354020662606
1941,0.0003972668491769582
1942,0.00040270944009535015
1943,0.0004051602154504508
1944,0.0004090009315405041
1945,0.00041090851300396025
1946,0.0004127802385482937
1947,0.00041754942503757775
1948,0.000420273543568328
1949,0.0004178608360234648
1950,0.000428059691330418
1951,0.0004211345221847296
1952,0.0004367999790702015
1953,0.00043145022937096655
1954,0.00043742774869315326
1955,0.00043672657920978963
1956,0.00044165865983814
1957,0.0004406711086630821
1958,0.0004511017759796232
1959,0.00044855408486910164
1960,0.0004581566317938268
1961,0.00045723177026957273
1962,0.00046615832252427936
1963,0.00046760571422055364
1964,0.00047249507042579353
1965,0.0004691897484008223
1966,0.00047591235488653183
1967,0.00047059485223144293
1968,0.0004749014915432781
1969,0.0004767217906191945
1970,0.00047667717444710433
1971,0.0004795541171915829
1972,0.0004888614057563245
1973,0.00048251840053126216
1974,0.0004914281307719648
