,buy
1800,1.991375938814599e-05
1801,2.2010943212080747e-05
1802,1.4819784155406523e-05
1803,1.604501267138403e-05
1804,1.5088278814801015e-05
1805,1.7154519809992053e-05
1806,1.746926864143461e-05
1807,1.5025679203972686e-05
1808,1.860277734522242e-05
1809,1.5304098269552924e-05
1810,1.6033878637244925e-05
1811,2.051849151030183e-05
1812,1.7165784811368212e-05
1813,1.5385308870463632e-05
1814,1.552582580188755e-05
1815,1.5300960512831807e-05
1816,1.6480296835652553e-05
1817,1.5806012015673332e-05
1818,1.3610432688437868e-05
1819,1.56789792526979e-05
1820,1.6151565432664938e-05
1821,1.7136859241873026e-05
1822,1.5818053725524805e-05
1823,1.7423644749214873e-05
1824,1.6519094060640782e-05
1825,1.7270262105739675e-05
1826,1.938259811140597e-05
1827,1.584292658662889e-05
1828,1.6364081602660008e-05
1829,1.6023213902371936e-05
1830,1.671142854320351e-05
1831,1.5357287338702008e-05
1832,2.305825546500273e-05
1833,1.7059894162230194e-05
1834,1.7667634892859496e-05
1835,1.5036457625683397e-05
1836,1.5820485714357346e-05
1837,1.610362778592389e-05
1838,1.5150636500038672e-05
1839,1.576022077642847e-05
1840,1.6523441445315257e-05
1841,1.8074701074510813e-05
1842,1.6012769265216775e-05
1843,1.8410624761600047e-05
1844,1.7812661099014804e-05
1845,1.5815056030987762e-05
1846,1.9051236449740827e-05
1847,1.702842564554885e-05
1848,1.8766273569781333e-05
1849,1.7825741451815702e-05
1850,1.9918410544050857e-05
1851,1.980486740649212e-05
1852,1.8686956536839716e-05
1853,1.943228198797442e-05
1854,1.8343658666708507e-05
1855,1.906874058477115e-05
1856,1.929297468450386e-05
1857,2.031992880802136e-05
1858,1.9187813450116664e-05
1859,1.9782857634709217e-05
1860,2.107287582475692e-05
1861,2.0691873942269012e-05
1862,2.1696345356758684e-05
1863,2.1946076230960898e-05
1864,2.193044565501623e-05
1865,2.1667219698429108e-05
1866,2.227611912530847e-05
1867,2.2214533601072617e-05
1868,2.2993252059677616e-05
1869,2.4526445486117154e-05
1870,2.4415860025328584e-05
1871,2.3215910914586857e-05
1872,2.492109706508927e-05
1873,2.339224192837719e-05
1874,2.4548638975829817e-05
1875,2.3962074919836596e-05
1876,2.48747892328538e-05
1877,2.3699971279711463e-05
1878,2.5982064471463673e-05
1879,2.5236398869310506e-05
1880,2.5047977032954805e-05
1881,2.541372123232577e-05
1882,2.6475738195586018e-05
1883,2.6539850296103396e-05
1884,2.677980955922976e-05
1885,2.6277557481080294e-05
1886,2.8939050025655888e-05
1887,2.8865484637208283e-05
1888,3.179561099386774e-05
1889,2.9904100301791914e-05
1890,2.9707400244660676e-05
1891,2.919109829235822e-05
1892,3.0382550903595984e-05
1893,3.0585095373680815e-05
1894,3.325299985590391e-05
1895,3.0540475563611835e-05
1896,3.2487001590197906e-05
1897,3.152973295073025e-05
1898,3.0366159990080632e-05
1899,3.2774547435110435e-05
1900,3.332608685013838e-05
1901,3.449505675234832e-05
1902,3.207323243259452e-05
1903,3.390930942259729e-05
1904,3.412915248190984e-05
1905,3.611694774008356e-05
1906,3.729328091139905e-05
1907,3.755134457605891e-05
1908,4.012099088868126e-05
1909,4.307835115469061e-05
1910,3.8662936276523396e-05
1911,4.031031494378112e-05
1912,4.186053047305904e-05
1913,4.407135202200152e-05
1914,4.457430986803956e-05
1915,4.414643262862228e-05
1916,4.739645737572573e-05
1917,4.6780045522609726e-05
1918,5.030482498113997e-05
1919,5.348554259398952e-05
1920,5.3689673222834244e-05
1921,5.605143815046176e-05
1922,5.242797124083154e-05
1923,4.5574801333714277e-05
1924,4.786448334925808e-05
1925,4.187999002169818e-05
1926,4.413263013702817e-05
1927,4.2800929804798216e-05
1928,4.464503945200704e-05
1929,4.503491072682664e-05
1930,4.5154713006922975e-05
1931,4.4347343646222726e-05
1932,4.888755938736722e-05
1933,4.611195981851779e-05
1934,4.773287582793273e-05
1935,4.5254899305291474e-05
1936,4.560385787044652e-05
1937,4.485470708459616e-05
1938,4.359341619419865e-05
1939,4.8818052164278924e-05
1940,4.7225217713275924e-05
1941,4.939851351082325e-05
1942,4.9406899051973596e-05
1943,4.8526464524911717e-05
1944,4.931828880216926e-05
1945,5.138019332662225e-05
1946,4.828010787605308e-05
1947,4.9884980398928747e-05
1948,4.861201159656048e-05
1949,4.395424548420124e-05
1950,4.328948853071779e-05
1951,4.628475653589703e-05
1952,4.409964822116308e-05
1953,4.4457337935455143e-05
1954,4.307960261940025e-05
1955,4.7034453018568456e-05
1956,4.5209540985524654e-05
1957,4.5045071601634845e-05
1958,4.3700139940483496e-05
1959,4.149578671786003e-05
1960,3.830214700428769e-05
1961,3.9395054045598954e-05
1962,3.7450441595865414e-05
1963,3.706470306497067e-05
1964,3.581384589779191e-05
1965,3.531823313096538e-05
1966,3.658364585135132e-05
1967,3.605875826906413e-05
1968,3.76215175492689e-05
1969,3.678711436805315e-05
1970,3.5719695006264374e-05
1971,3.3885720768012106e-05
1972,3.4742675779853016e-05
1973,3.6203768104314804e-05
1974,3.6521669244393706e-05
1975,3.634435051935725e-05
1976,3.435566395637579e-05
1977,3.4217973734484985e-05
1978,3.543296770658344e-05
1979,3.608315091696568e-05
1980,3.615547393565066e-05
1981,3.6033892683917657e-05
1982,3.7704787246184424e-05
1983,3.728157389559783e-05
1984,3.853152156807482e-05
1985,3.736254802788608e-05
1986,3.887730053975247e-05
1987,3.876669143210165e-05
1988,3.954671410610899e-05
1989,3.862832818413153e-05
1990,3.835937968688086e-05
1991,3.8592024793615565e-05
1992,3.878965071635321e-05
1993,3.7438931030919775e-05
1994,3.903776087099686e-05
1995,3.7802605220349506e-05
1996,3.810929774772376e-05
1997,3.985488729085773e-05
1998,3.9831127651268616e-05
1999,4.1437375330133364e-05
2000,4.300957880332135e-05
2001,4.3379895942052826e-05
2002,4.388815796119161e-05
2003,4.396919030114077e-05
2004,4.4620017433771864e-05
2005,4.5937002141727135e-05
2006,4.534301478997804e-05
2007,4.7713314415887e-05
2008,4.874984733760357e-05
2009,5.289849650580436e-05
2010,5.428229633253068e-05
2011,5.6217344535980374e-05
2012,4.921060462947935e-05
2013,4.7062461817404255e-05
2014,5.1900184189435095e-05
2015,5.052175765740685e-05
2016,4.8732214054325595e-05
2017,4.6105258661555126e-05
2018,4.354690099717118e-05
2019,4.8214478738373145e-05
