,call
1800,0.00014927779557183385
1801,0.0001567864528624341
1802,0.00013430745457299054
1803,0.0001343798649031669
1804,0.00014533114153891802
1805,0.00013869178656022996
1806,0.00014385241956915706
1807,0.000140213334816508
1808,0.00016053211584221572
1809,0.00014589025522582233
1810,0.00015355060168076307
1811,0.00016249874897766858
1812,0.00015635884483344853
1813,0.0001440940541215241
1814,0.00014192603703122586
1815,0.00014336316962726414
1816,0.0001544180850032717
1817,0.00014180065772961825
1818,0.00014167450717650354
1819,0.00013627320004161447
1820,0.0001535466144559905
1821,0.00015753527986817062
1822,0.00015260239888448268
1823,0.00015289100701920688
1824,0.0001509116409579292
1825,0.00014689941599499434
1826,0.00014491178444586694
1827,0.00013625949213746935
1828,0.00013855182623956352
1829,0.00013954222959000617
1830,0.000144365374580957
1831,0.00014587068289984018
1832,0.00013661355478689075
1833,0.0001502801023889333
1834,0.00014565167657565325
1835,0.00014155798999127
1836,0.0001456931495340541
1837,0.00014384306268766522
1838,0.00014424276014324278
1839,0.00014695334539283067
1840,0.00014365273818839341
1841,0.0001463639346184209
1842,0.0001413225254509598
1843,0.0001453966397093609
1844,0.0001462275249650702
1845,0.00013481407950166613
1846,0.00013834363198839128
1847,0.00013306818436831236
1848,0.00013806315837427974
1849,0.00013468261749949306
1850,0.000142990771564655
1851,0.00013920676428824663
1852,0.00014215268311090767
1853,0.0001437683094991371
1854,0.00014123272558208555
1855,0.0001374710409436375
1856,0.0001407717209076509
1857,0.00013920034689363092
1858,0.00013783216127194464
1859,0.0001368727389490232
1860,0.00014213324175216258
1861,0.00013841449981555343
1862,0.00013963071978650987
1863,0.00013756219414062798
1864,0.00014345752424560487
1865,0.0001437896426068619
1866,0.00014467581058852375
1867,0.0001405972143402323
1868,0.00014610594371333718
1869,0.00014430870942305773
1870,0.00014325430674944073
1871,0.00014357815962284803
1872,0.0001443168002879247
1873,0.00013695961388293654
1874,0.00013824028428643942
1875,0.00013799133012071252
1876,0.00013934863090980798
1877,0.00013277464313432574
1878,0.00013322129962034523
1879,0.0001358773442916572
1880,0.00013466963719110936
1881,0.00013384576595854014
1882,0.00013875769218429923
1883,0.00013176737411413342
1884,0.00013446934462990612
1885,0.00013113301247358322
1886,0.0001280305441468954
1887,0.00013017820310778916
1888,0.00013183223200030625
1889,0.00013375782873481512
1890,0.0001290083018830046
1891,0.00013034963922109455
1892,0.00013745581964030862
1893,0.00013024636427871883
1894,0.0001287531922571361
1895,0.00012491513916756958
1896,0.0001256841205758974
1897,0.00012364774011075497
1898,0.00012414020602591336
1899,0.0001331001694779843
1900,0.00012789323227480054
1901,0.00012297437933739275
1902,0.0001208027169923298
1903,0.00012064526526955888
1904,0.00011997060209978372
1905,0.0001170622490462847
1906,0.00011748319957405329
1907,0.00011834566248580813
1908,0.00011842083767987788
1909,0.0001201620907522738
1910,0.00011640896263998002
1911,0.00011597991397138685
1912,0.00011655825801426545
1913,0.00011796146281994879
1914,0.00011544979497557506
1915,0.00011279623140580952
1916,0.00011861975508509204
1917,0.00012166808301117271
1918,0.0001205487351398915
1919,0.00012208805128466338
1920,0.00011780165368691087
1921,0.00011589933274080977
1922,0.00011471474135760218
1923,0.00011284632637398317
1924,0.00011700909089995548
1925,0.00011247736983932555
1926,0.00010882536298595369
1927,0.00011078050738433376
1928,0.00010900702909566462
1929,0.00011012837785528973
1930,0.00010754579852800816
1931,0.00010599981033010408
