,can
1800,0.0012766672298312187
1801,0.0013900797348469496
1802,0.0011958228424191475
1803,0.0011682141339406371
1804,0.0012454655952751637
1805,0.0012296068016439676
1806,0.0012739298399537802
1807,0.0011959787225350738
1808,0.0013937432086095214
1809,0.001286228303797543
1810,0.001232723705470562
1811,0.0013785052578896284
1812,0.0012820614501833916
1813,0.0012211602879688144
1814,0.0011540186824277043
1815,0.001157499267719686
1816,0.0012054541148245335
1817,0.001225929823704064
1818,0.0011933092027902603
1819,0.0011776487808674574
1820,0.0012275405460968614
1821,0.001192662282846868
1822,0.001237211748957634
1823,0.0012493992689996958
1824,0.0013068225234746933
1825,0.001271979184821248
1826,0.0012272223830223083
1827,0.001169567578472197
1828,0.0012181159108877182
1829,0.001191100338473916
1830,0.0012702522799372673
1831,0.0012190103298053145
1832,0.0011593707604333758
1833,0.0012284271651878953
1834,0.0012473766691982746
1835,0.0012610078556463122
1836,0.0012742193648591638
1837,0.0012689585564658046
1838,0.0012458903947845101
1839,0.0012327750446274877
1840,0.001197791425511241
1841,0.001195478718727827
1842,0.0011913964990526438
1843,0.001218329300172627
1844,0.0012384403962641954
1845,0.001197574776597321
1846,0.0012240801006555557
1847,0.001196416444145143
1848,0.0012348166201263666
1849,0.0011974488152191043
1850,0.0012313019251450896
1851,0.0012058260617777705
1852,0.001236683689057827
1853,0.0012311394093558192
1854,0.0012034883257001638
1855,0.0012073665857315063
1856,0.001188694266602397
1857,0.001169203664176166
1858,0.0011916838120669127
1859,0.0011817127233371139
1860,0.0012230303836986423
1861,0.0012040238361805677
1862,0.0012112553231418133
1863,0.0011923969723284245
1864,0.0012200848432257771
1865,0.0012036861153319478
1866,0.0012351162731647491
1867,0.001214237418025732
1868,0.0012299069203436375
1869,0.00123110122513026
1870,0.0012404292356222868
1871,0.0012497130082920194
1872,0.0012560781324282289
1873,0.001239909091964364
1874,0.0012552711414173245
1875,0.001222157501615584
1876,0.0012243964010849595
1877,0.0012141228653490543
1878,0.0012395421508699656
1879,0.0012197969481348991
1880,0.0011989284539595246
1881,0.0012017965782433748
1882,0.001240541459992528
1883,0.0012342872796580195
1884,0.0012567605590447783
1885,0.001226883614435792
1886,0.0012608255492523313
1887,0.0012447767658159137
1888,0.001229962334036827
1889,0.0012351981131359935
1890,0.0012462371960282326
1891,0.001235893345437944
1892,0.001256538089364767
1893,0.001233733375556767
1894,0.0012591138947755098
1895,0.0011940744007006288
1896,0.001205726875923574
1897,0.001189321163110435
1898,0.0011964940931648016
1899,0.0012015474494546652
1900,0.0012115424033254385
1901,0.0011870396556332707
1902,0.0011996468529105186
1903,0.001190626877360046
1904,0.0011864725966006517
1905,0.0011880997335538268
1906,0.001205154461786151
1907,0.0011776622850447893
1908,0.0012049505021423101
1909,0.001221924088895321
1910,0.0011956937378272414
1911,0.0011897237272933125
1912,0.0012315064668655396
1913,0.0012029341887682676
1914,0.0012252731248736382
1915,0.001197107252664864
1916,0.0012299885274842381
1917,0.0012387605383992195
1918,0.0012658995110541582
1919,0.0012514664558693767
1920,0.0012626406969502568
1921,0.0012414699885994196
1922,0.0012378557585179806
1923,0.0011850649025291204
1924,0.0012092934921383858
1925,0.0011382170487195253
1926,0.0011616367846727371
1927,0.0011277985759079456
1928,0.0011492944322526455
1929,0.0011254451237618923
1930,0.0011320440098643303
1931,0.0011113315122202039
1932,0.0011458955705165863
1933,0.0011023394763469696
1934,0.0011460349196568131
1935,0.0011238130973652005
1936,0.0011234570993110538
1937,0.0011198291322216392
1938,0.0011521519627422094
1939,0.0011368949199095368
1940,0.0011487376177683473
1941,0.0011450928868725896
1942,0.0012523368932306767
1943,0.0012613022699952126
1944,0.0012949943775311112
1945,0.0012748225126415491
1946,0.0012745134299620986
1947,0.0012959946179762483
1948,0.001305299112573266
1949,0.0012624041410163045
1950,0.0013016900047659874
1951,0.0013176925713196397
1952,0.0013501544017344713
1953,0.0013230196200311184
1954,0.0013201304245740175
1955,0.0013439158210530877
1956,0.0013809958472847939
1957,0.0013583562104031444
1958,0.0013992174062877893
1959,0.0013772922102361917
1960,0.0014001245144754648
1961,0.0014000862138345838
1962,0.0014079541433602571
1963,0.0014140116982161999
1964,0.0014160153223201632
1965,0.0013953676680102944
1966,0.001430220203474164
1967,0.0014136668760329485
1968,0.0014324731891974807
1969,0.0014295115834102035
1970,0.0014255624264478683
1971,0.001394407358020544
1972,0.0014258698793128133
1973,0.0013946713879704475
1974,0.001431909273378551
1975,0.0014154219534248114
1976,0.0013968402054160833
1977,0.0014060328248888254
1978,0.0013983937678858638
1979,0.001399027882143855
1980,0.0014207031344994903
1981,0.0014009169535711408
1982,0.0014273750130087137
1983,0.0014455928467214108
1984,0.0014576415996998549
1985,0.0014449595473706722
1986,0.0014830637956038117
1987,0.0014720100443810225
1988,0.001467397902160883
1989,0.0014576275134459138
1990,0.0014920245157554746
1991,0.0014995704405009747
1992,0.0015029605710878968
1993,0.0014866829151287675
1994,0.001510554808191955
1995,0.0015058156568557024
1996,0.001552313333377242
1997,0.00159815838560462
1998,0.0016123245004564524
1999,0.0016256239032372832
2000,0.0016595812048763037
2001,0.0016593978507444263
2002,0.0017319772159680724
2003,0.0017741027986630797
2004,0.0017805045936256647
2005,0.0017899471567943692
2006,0.001807255670428276
2007,0.0018130011158064008
2008,0.0018356016371399164
2009,0.0019293070072308183
2010,0.0019841487519443035
2011,0.0020307914819568396
2012,0.0020416618790477514
2013,0.0020227711647748947
2014,0.001963577698916197
2015,0.001972963334992528
2016,0.0019761205185204744
2017,0.001906617428176105
2018,0.001866892445832491
2019,0.001965959556400776
