,care
1800,0.00016990985022857785
1801,0.0001708217605482787
1802,0.0001499809295637533
1803,0.00015317108773160726
1804,0.00017057036166079342
1805,0.00015654829621780664
1806,0.00017178359848912805
1807,0.0001599905954208225
1808,0.0001808453816920519
1809,0.0001537250936962664
1810,0.00017939256213139743
1811,0.00016124166722875088
1812,0.00015124102355912328
1813,0.00015277756028808653
1814,0.00014595391985494643
1815,0.00013989258150104433
1816,0.00015011504001449794
1817,0.00013758806744590402
1818,0.00013999533257447183
1819,0.00013729024794884026
1820,0.00014939777611289173
1821,0.00014875381020829082
1822,0.00015466132026631385
1823,0.00015168177196756005
1824,0.00015089454245753586
1825,0.00014942785492166877
1826,0.000136492308229208
1827,0.0001432895369362086
1828,0.00013937965559307486
1829,0.00013641836994793266
1830,0.0001440557389287278
1831,0.00013746568583883345
1832,0.00011729093239409849
1833,0.00014013236796017736
1834,0.00013697781832888722
1835,0.0001434075238648802
1836,0.00013591056631412357
1837,0.00013383272744249552
1838,0.0001376225263811648
1839,0.00014072124031372368
1840,0.00014176084368955344
1841,0.00013923128426540643
1842,0.00013811425014864653
1843,0.00013951091386843473
1844,0.00014212215319275856
1845,0.00013825636415276676
1846,0.0001330405502812937
1847,0.00014066239236854017
1848,0.00014233356341719627
1849,0.00013510674762073904
1850,0.00013970081636216491
1851,0.0001369263482047245
1852,0.000141656884807162
1853,0.00014027960423845798
1854,0.00014174719399306923
1855,0.00014450153685174882
1856,0.00013950727588962764
1857,0.00014301156625151634
1858,0.0001393580751027912
1859,0.00014252320397645235
1860,0.0001463119697291404
1861,0.00013890683476347476
1862,0.00014169586938805878
1863,0.00014017352077644318
1864,0.0001417723105987534
1865,0.00014335241576191038
1866,0.00014277240552473813
1867,0.0001399893080815673
1868,0.0001442896027583629
1869,0.00014639623987022787
1870,0.00014557770919054747
1871,0.0001460835337638855
1872,0.0001412994461134076
1873,0.00014434242621064186
1874,0.0001427890674676746
1875,0.000143693046993576
1876,0.00014273922715801746
1877,0.00014105621085036546
1878,0.00014065027062315494
1879,0.0001423321373295039
1880,0.00014025159180164337
1881,0.00014013017062097788
1882,0.00014120557170826942
1883,0.0001431508717359975
1884,0.00014211142843123525
1885,0.00014331577403936535
1886,0.00014674439444206655
1887,0.00014208487118594348
1888,0.0001415434235241264
1889,0.00014401000225916505
1890,0.0001431692944606766
1891,0.00014166285109240562
1892,0.0001460105413571
1893,0.00014329588157124817
1894,0.00014478579396381974
1895,0.00014083385758567601
1896,0.00014677840226795524
1897,0.0001439173356629908
1898,0.00014456418284680694
1899,0.00014945841394364834
1900,0.0001473235315643251
1901,0.00014598228153772652
1902,0.00014384173846337944
1903,0.00014545216981787235
1904,0.0001508261339040473
1905,0.00014792237197980285
1906,0.00014752004062756896
1907,0.00014687752991449088
1908,0.00014914794883225113
1909,0.00015114001871552318
1910,0.0001488996495027095
1911,0.0001445718517061323
1912,0.00015372132475022227
1913,0.00015273540338966995
1914,0.000154160414240323
1915,0.00015620347403455526
1916,0.00015641901700291783
1917,0.00015506547060795128
1918,0.00015615228039678186
1919,0.0001525930711068213
1920,0.0001508598361397162
1921,0.0001480279170209542
1922,0.00014614312385674566
1923,0.00013870387920178473
1924,0.0001426423987140879
1925,0.00013050076086074114
1926,0.00013568172289524227
1927,0.00013506713730748743
1928,0.00013248079631011933
1929,0.00013098330236971378
1930,0.0001333451218670234
1931,0.00012558369780890644
1932,0.0001302290620515123
1933,0.0001263554731849581
1934,0.00012063385656801984
1935,0.00012319393863435835
1936,0.00012550782412290573
1937,0.00012655268074013293
1938,0.00012607233657035977
1939,0.00013261957792565227
1940,0.00013024795043747872
1941,0.00013403741468209773
1942,0.00013548311835620552
1943,0.00014173993258737028
1944,0.00014237398863770068
1945,0.00014056118379812688
1946,0.00014178789569996297
1947,0.00013177232176531106
1948,0.0001261867437278852
1949,0.00012866529868915677
1950,0.0001190993789350614
1951,0.00011856201308546588
1952,0.00011525137233547866
1953,0.00011600043944781646
1954,0.000116200368211139
1955,0.00011408791760914028
1956,0.00011358307529008016
1957,0.00011617976269917563
1958,0.00010871464473893866
1959,0.00011393928434699774
1960,0.00011600876314332709
1961,0.00011010833986802027
1962,0.00010895801824517548
1963,0.00010857822053367272
1964,0.0001137338622356765
1965,0.00011818941857200116
1966,0.00010984682012349367
1967,0.0001199755206471309
1968,0.00011055639333790168
1969,0.00011895442730747163
1970,0.00012889622303191572
1971,0.00013699823466595262
1972,0.00014256988652050495
1973,0.0001401296176481992
1974,0.0001476139877922833
1975,0.00014932391059119254
1976,0.00017481279792264104
1977,0.00017301327898167074
1978,0.00017403792298864573
1979,0.0001657800457905978
1980,0.00016173653420992196
1981,0.00015554085257463157
1982,0.00015609440742991865
1983,0.00015900997095741332
1984,0.00016873280401341617
1985,0.00017546123126521707
1986,0.00017826762632466853
1987,0.0001838329335441813
1988,0.00020028148719575256
1989,0.00019990782311651856
1990,0.00020091213809791952
1991,0.00020304012286942452
1992,0.00021224778902251273
1993,0.00022113305749371648
1994,0.00023801832867320627
1995,0.00021678322809748352
1996,0.0002122570003848523
1997,0.00022159883519634604
1998,0.00021820497931912541
1999,0.0002207813085988164
2000,0.00021143378398846835
2001,0.00021487388585228473
2002,0.0002050657494692132
2003,0.00020071282051503658
2004,0.00020706445502582937
2005,0.00021286396076902747
2006,0.00020872664754278958
2007,0.00020466124988161027
2008,0.00020851098815910518
2009,0.00021813374769408256
2010,0.00021563378686551005
2011,0.00021873418882023543
2012,0.00020458409562706947
2013,0.00020325738296378404
2014,0.0002149259962607175
2015,0.00021548004588112235
2016,0.00021105405176058412
2017,0.00020768227113876492
2018,0.00020892285101581365
2019,0.00021555530838668346
