,cart
1800,1.2441139915608801e-05
1801,9.190804121317342e-06
1802,1.0395717254141346e-05
1803,9.371116902912036e-06
1804,9.094572305912152e-06
1805,1.0505434147489723e-05
1806,9.459448847337626e-06
1807,1.0207894774794113e-05
1808,1.0255703273287509e-05
1809,8.204053301597014e-06
1810,8.675985554873478e-06
1811,1.0521205695113167e-05
1812,6.933943495823769e-06
1813,8.923021596274339e-06
1814,8.684159183758311e-06
1815,8.844379408401437e-06
1816,7.802239451848436e-06
1817,6.99905285728164e-06
1818,7.967247256601695e-06
1819,8.63821514940355e-06
1820,7.2853558776841965e-06
1821,7.936794645502232e-06
1822,8.643906767247245e-06
1823,1.016095484374091e-05
1824,8.190705557353795e-06
1825,8.252589395851828e-06
1826,8.083210559561849e-06
1827,8.490869731758721e-06
1828,1.0139473488379735e-05
1829,8.789251296548173e-06
1830,7.427545369864674e-06
1831,9.08848687686259e-06
1832,6.016181032464374e-06
1833,7.703371011302806e-06
1834,8.586717740399763e-06
1835,7.98463497631019e-06
1836,7.724914212303702e-06
1837,8.682364750711713e-06
1838,8.963232176029123e-06
1839,8.667990186950192e-06
1840,8.85557983565377e-06
1841,9.486145245318767e-06
1842,8.716153388377279e-06
1843,9.250815310224425e-06
1844,9.652361768530682e-06
1845,9.554591997584794e-06
1846,8.836626875563525e-06
1847,9.200473868986592e-06
1848,9.239248356607277e-06
1849,8.882966540113557e-06
1850,9.653541383158881e-06
1851,1.0014789950218983e-05
1852,1.0024734365288168e-05
1853,9.200427484756801e-06
1854,9.249180038750637e-06
1855,9.6934618341038e-06
1856,8.94467575562885e-06
1857,9.222801054420415e-06
1858,9.069099178304896e-06
1859,9.7681013357942e-06
1860,8.848707693687174e-06
1861,9.908034371619578e-06
1862,1.0896794265136123e-05
1863,9.454744940740056e-06
1864,9.437173503101803e-06
1865,9.23274001252139e-06
1866,9.506999049335718e-06
1867,9.708988727652468e-06
1868,8.916691513149999e-06
1869,9.371455234941095e-06
1870,9.333544767287094e-06
1871,9.510521522315685e-06
1872,8.7065200204961e-06
1873,8.798994713288266e-06
1874,9.35574462346267e-06
1875,8.89254079083912e-06
1876,8.43568159325514e-06
1877,8.742242243897635e-06
1878,8.779936251812615e-06
1879,8.567045370000415e-06
1880,9.148880053544417e-06
1881,8.375060133403167e-06
1882,8.4487937783706e-06
1883,8.668206646689214e-06
1884,8.805001925793476e-06
1885,8.883433110895567e-06
1886,8.004509254533332e-06
1887,8.337807230418548e-06
1888,8.23155278339982e-06
1889,8.354771125596017e-06
1890,7.800572348060086e-06
1891,8.214237823267467e-06
1892,8.715012882021256e-06
1893,8.385319233639166e-06
1894,8.588061973568983e-06
1895,8.246351171692368e-06
1896,8.702621926204301e-06
1897,8.651469215692487e-06
1898,8.476062248519156e-06
1899,9.194965969072655e-06
1900,8.977513971331064e-06
1901,8.475179129163735e-06
1902,7.97993106971262e-06
1903,7.84770236350596e-06
1904,8.203965990105644e-06
1905,8.23965820018202e-06
1906,7.734980499662925e-06
1907,7.563914550701156e-06
1908,7.629880201420747e-06
1909,7.050738986436045e-06
1910,7.1337703957397025e-06
1911,7.020401426416356e-06
1912,6.751247383363079e-06
1913,6.449155534937745e-06
1914,6.1885334616818e-06
1915,5.961804617982125e-06
1916,5.522113497136161e-06
1917,5.85786528972676e-06
1918,4.977184744348051e-06
1919,5.12780843564542e-06
1920,5.281491667119553e-06
1921,4.938663096254459e-06
1922,5.045994839747436e-06
1923,5.6951244005176704e-06
1924,5.251697984931525e-06
1925,5.681230049958685e-06
1926,5.349238108465215e-06
1927,5.327849976310972e-06
1928,5.06442847836297e-06
1929,5.071682608104311e-06
1930,5.252406481304206e-06
1931,4.831824753637193e-06
1932,4.391030415717978e-06
1933,4.574583272187738e-06
1934,4.648253252526047e-06
1935,4.440107204572996e-06
1936,4.370808710518759e-06
1937,4.348028141976101e-06
1938,4.25182133767521e-06
1939,3.7563847854471533e-06
1940,3.7164418245083652e-06
1941,3.457041657384252e-06
1942,3.59616592504608e-06
1943,3.5411828775977483e-06
1944,4.028953298984561e-06
1945,3.900874162354739e-06
1946,4.062487278133631e-06
1947,3.975611434725579e-06
1948,3.844221282633953e-06
1949,3.716158062161412e-06
1950,4.011142664239742e-06
1951,3.866070528601995e-06
1952,4.15508156947908e-06
1953,3.8021553336875513e-06
1954,3.924784323316999e-06
1955,3.834882591036148e-06
1956,4.008709765912499e-06
1957,3.849660515697906e-06
1958,3.964743427786743e-06
1959,3.609452505770605e-06
1960,3.989741799159674e-06
1961,3.6957494558009785e-06
1962,4.064033419126645e-06
