,category
1800,5.992383194097783e-07
1801,2.227828161949219e-07
1802,1.2195623355637508e-07
1803,1.9307037746330025e-07
1804,9.751149576686657e-08
1805,4.0113314980771975e-07
1806,2.137589802941875e-07
1807,2.1996090993070538e-07
1808,1.854097320119763e-07
1809,1.0316149001710073e-07
1810,1.2595117482305795e-07
1811,1.3345092497729638e-07
1812,1.215814791066805e-07
1813,1.586586080293273e-07
1814,8.367506865170071e-08
1815,1.6876674635568634e-07
1816,1.3306987511896295e-07
1817,1.9746543955534435e-07
1818,2.0955766899533046e-07
1819,2.2630553075941862e-07
1820,1.5952458909396228e-07
1821,1.152984552277303e-07
1822,7.617074402332946e-07
1823,2.0016503299302713e-07
1824,1.196840173633973e-07
1825,1.7642322802657873e-07
1826,2.526925300117e-07
1827,1.8589034311844443e-07
1828,2.277836301800562e-07
1829,2.870027344670234e-07
1830,2.203302642556082e-07
1831,3.2668509675204405e-07
1832,3.705141125465161e-06
1833,4.3563704821281135e-07
1834,5.286635200718592e-07
1835,6.967780450395367e-07
1836,1.0016984788308037e-06
1837,9.523681683276664e-07
1838,1.2427591400410165e-06
1839,1.042975100062904e-06
1840,1.0055766779260011e-06
1841,1.1529767789397738e-06
1842,1.3420892628346337e-06
1843,1.6899509773793397e-06
1844,1.7565779444339569e-06
1845,1.8752440382741042e-06
1846,2.222124066975084e-06
1847,2.580957016107277e-06
1848,2.742295919233584e-06
1849,2.799068170133978e-06
1850,2.7825788038171595e-06
1851,2.543414439060143e-06
1852,3.015808943018783e-06
1853,2.8796196147595765e-06
1854,3.1476265576202422e-06
1855,3.1535250855085906e-06
1856,3.2095840651891194e-06
1857,3.519929123285692e-06
1858,3.4369745662843343e-06
1859,3.237827513657976e-06
1860,3.5675163871928817e-06
1861,3.937891506211599e-06
1862,3.6841563542111544e-06
1863,3.735529617188149e-06
1864,3.6828184875048464e-06
1865,3.6530013858282473e-06
1866,4.102211732970318e-06
1867,3.846540948870825e-06
1868,3.8342209336406086e-06
1869,3.889547315338859e-06
1870,4.027314389531966e-06
1871,4.119897766940994e-06
1872,4.255443400325021e-06
1873,4.549247023533098e-06
1874,4.600189186021453e-06
1875,4.152298515691655e-06
1876,4.057144451508066e-06
1877,4.403946604725206e-06
1878,4.339002316555707e-06
1879,4.571702447719872e-06
1880,4.408314453030471e-06
1881,4.663648269342957e-06
1882,4.220731170789804e-06
1883,4.443681518750964e-06
1884,4.571866156766191e-06
1885,4.198855549475411e-06
1886,4.0881504901335575e-06
1887,4.190154413663549e-06
1888,4.123191956750816e-06
1889,4.264289600541815e-06
1890,4.52760468760971e-06
1891,4.383749455882935e-06
1892,4.412282123666955e-06
1893,4.684736722992966e-06
1894,4.604914920491865e-06
1895,4.745301339426078e-06
1896,4.486348643695237e-06
1897,4.249573521519778e-06
1898,4.530426849669311e-06
1899,4.57292753708316e-06
1900,5.052208507549949e-06
1901,4.2150509216298815e-06
1902,4.698914835898904e-06
1903,4.353931672085309e-06
1904,4.281738256395329e-06
1905,4.4667690417554695e-06
1906,4.587253897625487e-06
1907,4.503857326199068e-06
1908,4.561983132589376e-06
1909,4.729634838440688e-06
1910,4.6416730583587196e-06
1911,4.648500180337578e-06
1912,4.3900231503357645e-06
1913,4.651745712180855e-06
1914,4.350896688265493e-06
1915,4.170952706772368e-06
1916,4.360021648608381e-06
1917,4.801356226380449e-06
1918,5.333654371497687e-06
1919,5.095777851238381e-06
1920,5.150297511136159e-06
1921,5.339799827197567e-06
1922,5.536931439564796e-06
1923,5.2587247409974225e-06
