,city
1800,0.00022152371820993721
1801,0.00020875965128652751
1802,0.00020724989008158445
1803,0.0001683919399511069
1804,0.00023603308363817632
1805,0.00023837946355342865
1806,0.00026302182232029736
1807,0.0002201894239988178
1808,0.00023242928727995604
1809,0.00018240399367641658
1810,0.00021082177408970892
1811,0.00022010506654623896
1812,0.0002136490511475131
1813,0.00023637997219339013
1814,0.00022984392126090825
1815,0.00021680509962607175
1816,0.00021872342040296644
1817,0.0002033016353379935
1818,0.00022116581385489553
1819,0.00022811464441474527
1820,0.00022379140136763453
1821,0.00021455413661897182
1822,0.00021297087369021028
1823,0.00022394341067411005
1824,0.00019901921041309834
1825,0.00022197797079570591
1826,0.00020228183711878955
1827,0.00022177750361151993
1828,0.00022973264276515692
1829,0.00024890934582799673
1830,0.0002261920744786039
1831,0.00021836001542396843
1832,0.0002463377604726702
1833,0.00021948835637886077
1834,0.0002220373717136681
1835,0.00023626317852176726
1836,0.00023465263075195253
1837,0.00023117661476135254
1838,0.00022813047689851373
1839,0.00022839158191345632
1840,0.0002409936423646286
1841,0.00025046843802556396
1842,0.0002445583522785455
1843,0.00023662435705773532
1844,0.00023151315690483898
1845,0.0002212289982708171
1846,0.00022888107923790812
1847,0.00024252021103166044
1848,0.00022878876188769937
1849,0.00024251180002465844
1850,0.00025293807266280055
1851,0.0002459214592818171
1852,0.00023106018488761038
1853,0.00024201995984185487
1854,0.00025849149096757174
1855,0.00024800546816550195
1856,0.00025146978441625834
1857,0.00025266778538934886
1858,0.00023560180852655321
1859,0.00025704147992655635
1860,0.0002365430409554392
1861,0.0002469839237164706
1862,0.00022676541993860155
1863,0.0002323760709259659
1864,0.00022694410290569067
1865,0.0002523886214476079
1866,0.00025100281345658004
1867,0.00026099514798261225
1868,0.0002624414919409901
1869,0.00027748823049478233
1870,0.00027050793869420886
1871,0.00028718297835439444
1872,0.00027295382460579276
1873,0.00028152880258858204
1874,0.0002697118034120649
1875,0.0002841694513335824
1876,0.00027442575083114207
1877,0.0002666453365236521
1878,0.00025876538711600006
1879,0.00026979565154761076
1880,0.0002792255545500666
1881,0.0003008029016200453
1882,0.00027284471434541047
1883,0.0002747412072494626
1884,0.00026073248591274023
1885,0.0002890202449634671
1886,0.0002927784516941756
1887,0.00030860243714414537
1888,0.00029377485043369234
1889,0.000322840380249545
1890,0.0003139075415674597
1891,0.0003483470354694873
1892,0.0003126044466625899
1893,0.00031875810236670077
1894,0.0003095396386925131
1895,0.00034439796581864357
1896,0.0003068755613639951
