,community
1800,2.8080861738999374e-05
1801,2.5328381525469013e-05
1802,2.866391878342256e-05
1803,2.4188548195525073e-05
1804,2.796629814838525e-05
1805,2.5082978027057834e-05
1806,2.5739529519341886e-05
1807,2.548343218222726e-05
1808,2.1698391719837673e-05
1809,2.037167905655224e-05
1810,2.0333793145255186e-05
1811,2.6597923351801e-05
1812,2.7121534003526904e-05
1813,2.7029935154132545e-05
1814,2.7387997761252336e-05
1815,2.880898318835534e-05
1816,3.2102427212521434e-05
1817,3.579682743293233e-05
1818,3.557748277671635e-05
1819,3.410823774174787e-05
1820,3.4971868444699794e-05
1821,3.540038596838713e-05
1822,3.2942793041002005e-05
1823,3.40579790645279e-05
1824,3.707234645844437e-05
1825,3.729604577529244e-05
1826,3.887728598783724e-05
1827,3.6134078982286155e-05
1828,4.4296382839092985e-05
1829,4.4589942262973636e-05
1830,4.7058445488801226e-05
1831,4.9739541282178834e-05
1832,5.2897627028869465e-05
1833,5.227110887062736e-05
1834,5.5507069191662595e-05
1835,5.372045416152105e-05
1836,4.9973496061284095e-05
1837,5.0724360335152596e-05
1838,5.154019527253695e-05
1839,4.561925743473694e-05
1840,4.788388105225749e-05
1841,4.8255122237605974e-05
1842,4.260364221408963e-05
1843,4.595301652443595e-05
1844,4.0907791117206216e-05
1845,3.922176256310195e-05
1846,4.323617395129986e-05
1847,4.069553688168526e-05
1848,4.432848800206557e-05
1849,4.4835309381596744e-05
1850,4.3618056224659085e-05
1851,4.4272790546528995e-05
1852,4.172439730609767e-05
1853,4.331225864007138e-05
1854,4.0995844756253064e-05
1855,4.014816295239143e-05
1856,4.0505416109226644e-05
1857,3.897268834407441e-05
1858,3.9418995584128425e-05
1859,3.767562157008797e-05
1860,3.7815741961821914e-05
1861,3.531400579959154e-05
1862,3.313522756798193e-05
1863,3.505394488456659e-05
1864,3.441778608248569e-05
1865,3.6498029658105224e-05
1866,3.70485577150248e-05
1867,3.853068483294919e-05
1868,3.658623609226197e-05
1869,3.615916648413986e-05
1870,3.755681245820597e-05
1871,3.8092588511062786e-05
1872,4.3612126319203526e-05
1873,3.705565177369863e-05
1874,3.69384179066401e-05
1875,3.751115218619816e-05
1876,3.767289672396146e-05
1877,3.6785237170988694e-05
1878,3.5665631003212184e-05
1879,3.444849426159635e-05
1880,3.558408934623003e-05
1881,3.6439498217077926e-05
1882,3.631417348515242e-05
1883,3.923069016309455e-05
1884,3.845794344670139e-05
1885,3.654851025203243e-05
1886,4.447069295565598e-05
1887,3.819321864284575e-05
1888,3.8337864680215716e-05
1889,3.736607686732896e-05
1890,4.1999792301794514e-05
1891,4.0764974983176216e-05
1892,4.094033283763565e-05
1893,4.017696846858598e-05
1894,4.5500688429456204e-05
1895,4.173480556346476e-05
1896,3.9982438465813175e-05
1897,3.942422699765302e-05
1898,3.942523471778259e-05
1899,3.837824260699563e-05
1900,4.196017107460648e-05
1901,4.321153392083943e-05
1902,4.357272700872272e-05
1903,4.292758967494592e-05
1904,4.1656920075183734e-05
1905,4.240706402924843e-05
1906,4.63955984741915e-05
1907,4.4778778828913346e-05
1908,4.827554585062899e-05
1909,5.075052831671201e-05
1910,5.2150269766571e-05
1911,5.429885277408175e-05
1912,5.894253263249993e-05
1913,6.307489820756018e-05
1914,6.691527960356325e-05
1915,6.783856952097267e-05
1916,7.291163638001308e-05
1917,7.110687147360295e-05
1918,7.935245957924053e-05
1919,8.678036829223856e-05
1920,8.521194104105234e-05
1921,7.926522812340409e-05
1922,7.92316859588027e-05
1923,8.070377953117713e-05
1924,8.028380398172885e-05
1925,7.901482604211196e-05
1926,7.845657819416374e-05
1927,8.07745527708903e-05
1928,7.766970520606264e-05
1929,7.648971222806722e-05
1930,8.203218021662906e-05
1931,8.041135151870549e-05
1932,8.512099884683266e-05
1933,8.309762051794678e-05
1934,8.545289892936125e-05
1935,8.16401734482497e-05
1936,8.898857777239755e-05
1937,8.845562115311623e-05
1938,9.494707046542317e-05
1939,0.0001000688862404786
1940,0.00010216625378234312
1941,0.00010495891910977662
1942,0.00010986054257955402
1943,0.00010641874541761354
1944,0.00011737362365238369
1945,0.00011178489512531087
1946,0.00011144944437546656
1947,0.00011621289741015062
1948,0.00011343271035002545
1949,0.00010998002107953653
1950,0.00011200312292203307
1951,0.00011000597442034632
1952,0.00010968253627652302
1953,0.00011613179231062531
1954,0.00011778233601944521
1955,0.00011723838542820886
1956,0.00011982155410805717
1957,0.00011511060438351706
1958,0.00011650026135612279
1959,0.0001197149176732637
1960,0.00012391929340083152
1961,0.00011689381790347397
1962,0.00011854082549689338
1963,0.0001234318333445117
1964,0.0001266036560991779
1965,0.0001346842327620834
1966,0.00013531763397622854
1967,0.0001525905536254868
1968,0.00014332507271319628
1969,0.00015811988851055503
1970,0.00016268709441646934
1971,0.0001698453415883705
