,company
1800,0.00012856637476943433
1801,0.00015188928227871656
1802,0.00013075389142613858
1803,0.00013880031474400312
1804,0.00013646084698848426
1805,0.00012415983655955642
1806,0.0001495452888775617
1807,0.0001284208701690659
1808,0.00015510070079471916
1809,0.00013878839672543108
1810,0.00013310404028743505
1811,0.0001524174294900149
1812,0.00013442225463222712
1813,0.00013124728866387159
1814,0.00011331244604662061
1815,0.0001165025241789408
1816,0.00012977299047634006
1817,0.00012198098556837067
1818,0.00011272174742771313
1819,0.00011270680988673121
1820,0.00012512125249486417
1821,0.00012455992691684514
1822,0.00011070954496972263
1823,0.00013266711903270334
1824,0.00012506169150583446
1825,0.00012611639976967126
1826,0.0001292025699513033
1827,0.00012697343481704593
1828,0.00011154041567351669
1829,0.00010355739505030215
1830,0.00011600498692132533
1831,0.00012175236770417541
1832,0.00024125230265781283
1833,0.00012490508379414678
1834,0.00012824349687434733
1835,0.00012989575043320656
1836,0.00014029840531293303
1837,0.00014756763994228095
1838,0.0001207892710226588
1839,0.000139609444886446
1840,0.000127907725982368
1841,0.00012509636871982366
1842,0.000122584737255238
1843,0.00012178864562883973
1844,0.00012616696767508984
1845,0.0001330857048742473
1846,0.00015404034638777375
1847,0.00015198475739452988
1848,0.0001485217217123136
1849,0.00015035163960419595
1850,0.00015609167166985571
1851,0.00016728768241591752
1852,0.00016300679999403656
1853,0.00016160095401573926
1854,0.00015547194925602525
1855,0.00015723136311862618
1856,0.0001544235274195671
1857,0.00017124171426985413
1858,0.0001595594803802669
1859,0.00016836980648804456
1860,0.00016158005746547133
1861,0.00017167608893942088
1862,0.00016401661559939384
1863,0.00018187618115916848
1864,0.00017607146583031863
1865,0.00021367210138123482
1866,0.00022039863688405603
1867,0.00022466298833023757
1868,0.0002034090575762093
1869,0.00020820938516408205
1870,0.0002170515072066337
1871,0.00019938216428272426
1872,0.00020791984570678324
1873,0.00021201198978815228
1874,0.00020641120499931276
1875,0.00020225721527822316
1876,0.00021126394858583808
1877,0.00021524314070120454
1878,0.0002083383733406663
1879,0.00021215592278167605
1880,0.0002182132884627208
1881,0.0002296640450367704
1882,0.00023478115326724946
1883,0.0002268586540594697
1884,0.0002557125117164105
1885,0.00023935857461765409
1886,0.0002758135669864714
1887,0.0002754867891781032
1888,0.00028979446506127715
1889,0.00028627575375139713
1890,0.0002849769953172654
1891,0.00028220764943398535
1892,0.0002775073517113924
1893,0.000285508984234184
1894,0.0002793883322738111
1895,0.00029930382152087986
1896,0.00029904788243584335
1897,0.0003080104070249945
1898,0.0003126243536826223
1899,0.000301119580399245
1900,0.00031066895462572575
1901,0.0003411097568459809
1902,0.0003243448445573449
1903,0.00031557161128148437
1904,0.00033624458592385054
1905,0.0003336122026666999
1906,0.00034333119401708245
1907,0.00035233283415436745
1908,0.0003491127281449735
1909,0.0003506260400172323
1910,0.0003420962020754814
1911,0.0003474412369541824
1912,0.00036287360126152635
1913,0.00037169622373767197
1914,0.00037316002999432385
1915,0.0003864564641844481
1916,0.0003862141747958958
1917,0.00037805846659466624
1918,0.00036982179153710604
1919,0.0003735633799806237
1920,0.00036799770896323025
1921,0.0003631965664681047
1922,0.0003633395826909691
1923,0.0003026325430255383
1924,0.0002854904450941831
1925,0.00029058026848360896
1926,0.0002659019664861262
1927,0.00027761849923990667
1928,0.0003249651344958693
1929,0.00027390167815610766
1930,0.0002864817506633699
1931,0.00027256491011939943
1932,0.00027481711003929377
1933,0.0002868573646992445
1934,0.000280917709460482
1935,0.00028556783217936754
1936,0.00026498286752030253
1937,0.00024905992904677987
1938,0.000249298318522051
1939,0.00026922053075395525
1940,0.0002734634908847511
1941,0.00027349061565473676
1942,0.0002460581308696419
1943,0.0002380524092586711
1944,0.00024320090597029775
1945,0.0002417351061012596
1946,0.00022839763551019132
1947,0.0002209067897638306
1948,0.00021767878206446767
1949,0.0002054370124824345
1950,0.00020272003894206136
1951,0.00020123401191085577
1952,0.0002006914874073118
1953,0.0002203195181209594
1954,0.00020539722754620016
1955,0.000211279300856404
1956,0.00020442827371880412
1957,0.00020731345284730196
1958,0.00020158056577201933
1959,0.00019982362573500723
1960,0.0001889808481791988
1961,0.00019117130432277918
1962,0.0001841835182858631
1963,0.0001830631517805159
1964,0.00017367643886245787
1965,0.00016369661898352206
1966,0.00017510127509012818
1967,0.0001733560347929597
1968,0.00016939184570219368
1969,0.0001665025920374319
1970,0.00016933267761487514
1971,0.00016255253285635263
1972,0.00015913824609015137
1973,0.00016254762886092067
1974,0.00016372086247429252
1975,0.00015764769341330975
1976,0.00016139775107149035
1977,0.00015887846529949456
1978,0.00015814312791917473
1979,0.00016044313088059425
1980,0.00016678762040100992
1981,0.00016650471661705524
1982,0.0001714501850074157
1983,0.0001748852664604783
1984,0.0001754257536958903
1985,0.00017790029232855886
1986,0.00018263107631355524
1987,0.0001764518383424729
1988,0.0001864912046585232
1989,0.0001757545251166448
1990,0.0001792174589354545
1991,0.00017645055777393281
1992,0.00018285524856764823
1993,0.00018066741176880896
1994,0.00018924777396023273
1995,0.00018513920076657087
1996,0.00018580054165795445
1997,0.0001998292573262006
1998,0.00019906903617084026
1999,0.00020174079691059887
2000,0.00019141804659739137
2001,0.00019728387997020036
2002,0.00019871981930918992
2003,0.00018269829160999507
2004,0.00018544874910730869
2005,0.00018721757805906236
2006,0.00018207404355052859
2007,0.00018939822621177882
2008,0.00018938064749818295
2009,0.00018313938926439732
2010,0.00017364211089443415
2011,0.0001689307828200981
2012,0.0001488906127633527
2013,0.0001453259028494358
2014,0.0001453919248888269
2015,0.00015329850430134684
2016,0.00015800826076883823
2017,0.00014153846132103354
2018,0.0001300330477533862
2019,0.00014165164611767977
