,content
1800,3.791075141634792e-05
1801,4.1405201045563444e-05
1802,3.341600677231327e-05
1803,3.2383952202508226e-05
1804,3.503262996673584e-05
1805,3.63450963050127e-05
1806,4.0368504414800555e-05
1807,3.675696279969998e-05
1808,4.209528196952306e-05
1809,3.647573248599656e-05
1810,3.884275793097913e-05
1811,3.6753375752596185e-05
1812,3.3757856726879254e-05
1813,3.25311157212127e-05
1814,3.778503378271125e-05
1815,3.362301140441559e-05
1816,3.385542004252784e-05
1817,3.2428211852675304e-05
1818,3.092800761805847e-05
1819,2.7777006835094653e-05
1820,3.459044819464907e-05
1821,3.58716060873121e-05
1822,3.5434124583844095e-05
1823,3.490403832984157e-05
1824,3.446359551162459e-05
1825,3.78331751562655e-05
1826,3.386866228538565e-05
1827,3.29607973981183e-05
1828,3.130207915091887e-05
1829,3.094569910899736e-05
1830,3.398649278096855e-05
1831,3.3060066925827414e-05
1832,2.7479632990434766e-05
1833,3.227450361009687e-05
1834,3.064102565986104e-05
1835,3.149448457406834e-05
1836,3.04822333418997e-05
1837,3.264855331508443e-05
1838,3.112234844593331e-05
1839,3.3394117053830996e-05
1840,3.234921314287931e-05
1841,3.080446185776964e-05
1842,3.154334262944758e-05
1843,3.338473470648751e-05
1844,3.4131298889406025e-05
1845,3.1445779313798994e-05
1846,3.065622513531707e-05
1847,3.030018342542462e-05
1848,3.162890061503276e-05
1849,3.0970997613621876e-05
1850,3.20940489473287e-05
1851,3.051561361644417e-05
1852,2.89287454506848e-05
1853,3.0110068109934218e-05
1854,3.0577964935218915e-05
1855,2.9174532755860128e-05
1856,3.0502364097628742e-05
1857,3.0318336939672008e-05
1858,3.0328579669003375e-05
1859,2.990859138662927e-05
1860,2.9709312002523802e-05
1861,3.066119825234637e-05
1862,3.063761323573999e-05
1863,3.0978979339124635e-05
1864,3.0712035368196666e-05
1865,2.980866156576667e-05
1866,2.9915468985564075e-05
1867,3.059397931792773e-05
1868,2.8592421585926786e-05
1869,3.1384559406433254e-05
1870,3.039845068997238e-05
1871,3.0481409339699894e-05
1872,2.8579941499629058e-05
1873,2.825192677846644e-05
1874,3.012959314219188e-05
1875,2.9747485314146616e-05
1876,2.8764274247805588e-05
1877,2.8387667043716647e-05
1878,2.8088945327908732e-05
1879,2.8151736842119135e-05
1880,2.9066301067359746e-05
1881,2.7835842047352344e-05
1882,2.735727684921585e-05
1883,2.8919497708557174e-05
1884,2.7600230168900453e-05
1885,2.6796175006893463e-05
1886,2.5150186047540046e-05
1887,2.6759835236589424e-05
1888,2.6897758289123885e-05
1889,2.6751025870908052e-05
1890,2.739388401096221e-05
1891,2.6246736524626613e-05
1892,2.7463684091344476e-05
1893,2.8186506824567914e-05
1894,2.9498018193407916e-05
1895,2.7880985726369545e-05
1896,2.7713951567420736e-05
1897,2.6851954316953197e-05
1898,2.8408308935468085e-05
1899,3.032257518498227e-05
1900,3.0095179681666195e-05
1901,2.802803101076279e-05
1902,3.03098167933058e-05
1903,3.012156594195403e-05
1904,3.133811696898192e-05
1905,3.175190431647934e-05
1906,3.250173176638782e-05
1907,3.366573218954727e-05
1908,3.358272442710586e-05
1909,3.612264117691666e-05
1910,3.706754796439782e-05
1911,3.840349381789565e-05
1912,4.081502265762538e-05
1913,4.2047649913001806e-05
1914,4.238834299030714e-05
1915,4.285149771021679e-05
1916,4.6529516112059355e-05
1917,4.6982015192043036e-05
1918,4.859733962803148e-05
1919,4.924942186335102e-05
1920,5.233813863014802e-05
1921,5.503969077835791e-05
1922,5.818784484290518e-05
1923,6.333320925477892e-05
1924,6.0715283325407654e-05
1925,6.803325959481299e-05
1926,6.539139576489106e-05
1927,6.998534081503749e-05
1928,6.992997805355117e-05
1929,7.366447971435264e-05
1930,7.499581261072308e-05
1931,7.581184763694182e-05
1932,8.31564684631303e-05
1933,8.24078670120798e-05
1934,8.206454367609695e-05
1935,8.193510439014062e-05
1936,7.801939500495791e-05
1937,8.008228905964643e-05
1938,8.570204954594374e-05
1939,8.200247975764796e-05
1940,8.094654185697436e-05
1941,7.767289207549766e-05
1942,8.259210153482854e-05
1943,8.274971332866699e-05
1944,8.405667176702991e-05
1945,7.534355245297775e-05
1946,7.89972982602194e-05
1947,7.806551002431661e-05
1948,8.737506868783385e-05
1949,9.481479355599731e-05
1950,9.022330050356686e-05
1951,8.440549572696909e-05
1952,8.773514855420217e-05
1953,8.72229938977398e-05
1954,8.716287993593141e-05
1955,8.931652700994164e-05
1956,9.208577830577269e-05
1957,8.938292739912868e-05
1958,9.465333278058097e-05
1959,9.184899681713432e-05
1960,9.789778414415196e-05
1961,9.68904496403411e-05
1962,0.00010263609874527901
1963,0.00010485971870366484
1964,9.87553721643053e-05
1965,9.645244426792488e-05
1966,9.657153714215383e-05
1967,9.478606807533652e-05
1968,9.516060526948422e-05
1969,9.457190753892064e-05
1970,9.848956688074395e-05
1971,9.498455619905144e-05
1972,0.00010087711416417733
1973,9.595284791430458e-05
1974,9.764270362211391e-05
1975,9.88892643363215e-05
1976,9.625840903026983e-05
1977,9.756565123097971e-05
1978,9.73438800428994e-05
1979,9.725879499455914e-05
1980,9.824139124248177e-05
1981,9.579494508216158e-05
1982,9.812537609832361e-05
1983,9.734641207614914e-05
1984,9.31696267798543e-05
1985,9.204461093759164e-05
1986,9.089754894375801e-05
1987,9.119147580349818e-05
1988,8.708635868970305e-05
1989,8.631814125692472e-05
1990,8.761783101363108e-05
1991,8.61009830259718e-05
1992,8.328032708959654e-05
1993,8.29249038361013e-05
1994,8.161998994182795e-05
1995,8.140059799188748e-05
1996,8.346448157681152e-05
1997,8.607719792053103e-05
1998,8.394050382776186e-05
1999,8.39133354020305e-05
2000,8.438847726210952e-05
2001,8.617455750936642e-05
2002,9.064420737558976e-05
2003,9.195683378493413e-05
2004,9.17663928703405e-05
2005,9.183127986034378e-05
2006,9.324424172518775e-05
2007,9.366482845507562e-05
2008,9.059443982550874e-05
2009,9.13063995540142e-05
2010,0.00010744936298578978
2011,0.00014661143359262496
2012,0.00018192667630501091
2013,0.0001335465640295297
2014,0.00011910680768778548
2015,0.00011595579417189583
2016,0.00012188525579404086
2017,8.767470717430115e-05
2018,8.962592255556956e-05
2019,8.940762927522883e-05
