numeric,alpha_2,alpha_3
533,AW,ABW
004,AF,AFG
024,AO,AGO
660,AI,AIA
248,AX,ALA
008,AL,ALB
020,AD,AND
784,AE,ARE
032,AR,ARG
051,AM,ARM
016,AS,ASM
010,AQ,ATA
260,TF,ATF
028,AG,ATG
036,AU,AUS
040,AT,AUT
031,AZ,AZE
108,BI,BDI
056,BE,BEL
204,BJ,BEN
535,BQ,BES
854,BF,BFA
050,BD,BGD
100,BG,BGR
048,BH,BHR
044,BS,BHS
070,BA,BIH
652,BL,BLM
112,BY,BLR
084,BZ,BLZ
060,BM,BMU
068,BO,BOL
076,BR,BRA
052,BB,BRB
096,BN,BRN
064,BT,BTN
074,BV,BVT
072,BW,BWA
140,CF,CAF
124,CA,CAN
166,CC,CCK
756,CH,CHE
152,CL,CHL
156,CN,CHN
384,CI,CIV
120,CM,CMR
180,CD,COD
178,CG,COG
184,CK,COK
170,CO,COL
174,KM,COM
132,CV,CPV
188,CR,CRI
192,CU,CUB
531,CW,CUW
162,CX,CXR
136,KY,CYM
196,CY,CYP
203,CZ,CZE
276,DE,DEU
262,DJ,DJI
212,DM,DMA
208,DK,DNK
214,DO,DOM
012,DZ,DZA
218,EC,ECU
818,EG,EGY
232,ER,ERI
732,EH,ESH
724,ES,ESP
233,EE,EST
231,ET,ETH
246,FI,FIN
242,FJ,FJI
238,FK,FLK
250,FR,FRA
234,FO,FRO
583,FM,FSM
266,GA,GAB
826,GB,GBR
268,GE,GEO
831,GG,GGY
288,GH,GHA
292,GI,GIB
324,GN,GIN
312,GP,GLP
270,GM,GMB
624,GW,GNB
226,GQ,GNQ
300,GR,GRC
308,GD,GRD
304,GL,GRL
320,GT,GTM
254,GF,GUF
316,GU,GUM
328,GY,GUY
344,HK,HKG
334,HM,HMD
340,HN,HND
191,HR,HRV
332,HT,HTI
348,HU,HUN
360,ID,IDN
833,IM,IMN
356,IN,IND
086,IO,IOT
372,IE,IRL
364,IR,IRN
368,IQ,IRQ
352,IS,ISL
376,IL,ISR
380,IT,ITA
388,JM,JAM
832,JE,JEY
400,JO,JOR
392,JP,JPN
398,KZ,KAZ
404,KE,KEN
417,KG,KGZ
116,KH,KHM
296,KI,KIR
659,KN,KNA
410,KR,KOR
414,KW,KWT
418,LA,LAO
422,LB,LBN
430,LR,LBR
434,LY,LBY
662,LC,LCA
438,LI,LIE
144,LK,LKA
426,LS,LSO
440,LT,LTU
442,LU,LUX
428,LV,LVA
446,MO,MAC
663,MF,MAF
504,MA,MAR
492,MC,MCO
498,MD,MDA
450,MG,MDG
462,MV,MDV
484,MX,MEX
584,MH,MHL
807,MK,MKD
466,ML,MLI
470,MT,MLT
104,MM,MMR
499,ME,MNE
496,MN,MNG
580,MP,MNP
508,MZ,MOZ
478,MR,MRT
500,MS,MSR
474,MQ,MTQ
480,MU,MUS
454,MW,MWI
458,MY,MYS
175,YT,MYT
516,NA,NAM
540,NC,NCL
562,NE,NER
574,NF,NFK
566,NG,NGA
558,NI,NIC
570,NU,NIU
528,NL,NLD
578,NO,NOR
524,NP,NPL
520,NR,NRU
554,NZ,NZL
512,OM,OMN
586,PK,PAK
591,PA,PAN
612,PN,PCN
604,PE,PER
608,PH,PHL
585,PW,PLW
598,PG,PNG
616,PL,POL
630,PR,PRI
408,KP,PRK
620,PT,PRT
600,PY,PRY
275,PS,PSE
258,PF,PYF
634,QA,QAT
638,RE,REU
642,RO,ROU
643,RU,RUS
646,RW,RWA
682,SA,SAU
729,SD,SDN
686,SN,SEN
702,SG,SGP
239,GS,SGS
654,SH,SHN
744,SJ,SJM
090,SB,SLB
694,SL,SLE
222,SV,SLV
674,SM,SMR
706,SO,SOM
666,PM,SPM
688,RS,SRB
728,SS,SSD
678,ST,STP
740,SR,SUR
703,SK,SVK
705,SI,SVN
752,SE,SWE
748,SZ,SWZ
534,SX,SXM
690,SC,SYC
760,SY,SYR
796,TC,TCA
148,TD,TCD
768,TG,TGO
764,TH,THA
762,TJ,TJK
772,TK,TKL
795,TM,TKM
626,TL,TLS
776,TO,TON
780,TT,TTO
788,TN,TUN
792,TR,TUR
798,TV,TUV
158,TW,TWN
834,TZ,TZA
800,UG,UGA
804,UA,UKR
581,UM,UMI
858,UY,URY
840,US,USA
860,UZ,UZB
336,VA,VAT
670,VC,VCT
862,VE,VEN
092,VG,VGB
850,VI,VIR
704,VN,VNM
548,VU,VUT
876,WF,WLF
882,WS,WSM
887,YE,YEM
710,ZA,ZAF
894,ZM,ZMB
716,ZW,ZWE
