,county
1800,0.00015400424308609217
1801,0.00010986028792103752
1802,0.00016002760094124824
1803,0.00010830383689608425
1804,0.00011442324466770515
1805,0.00012712882016785443
1806,0.00015404651639983058
1807,0.000129934967844747
1808,0.00018801819533109665
1809,0.00011829003051389009
1810,0.00017140930867753923
1811,0.0001625300501473248
1812,0.0002036641672020778
1813,0.0001955147017724812
1814,0.0001575388159835711
1815,0.00014496561198029667
1816,0.000164463504916057
1817,0.00013809124357067049
1818,0.00014375791943166405
1819,0.00021433264191728085
1820,0.00018263405945617706
1821,0.0001951890008058399
1822,0.0001848381944000721
1823,0.00017761757771950215
1824,0.0001373171544400975
1825,0.00014414127508644015
1826,0.00014503371494356543
1827,0.0001691865036264062
1828,0.00017237459542229772
1829,0.00019224704010412097
1830,0.00015848920156713575
1831,0.0002489981416147202
1832,0.0002161437296308577
1833,0.00022989962599240243
1834,0.0001959104702109471
1835,0.00021359614038374275
1836,0.00023393845185637474
1837,0.00022338441340252757
1838,0.0002392566530033946
1839,0.00020862864039372653
1840,0.00022888390230946243
1841,0.00020596983085852116
1842,0.00021290892618708313
1843,0.00021398092212621123
1844,0.0002150421787519008
1845,0.00020879959629382938
1846,0.0002498583635315299
1847,0.00021374727657530457
1848,0.00021563134214375168
1849,0.00023135935771279037
1850,0.00021284245303831995
1851,0.0002206921053584665
1852,0.00020844706159550697
1853,0.00020971412595827132
1854,0.00017919728998094797
1855,0.00017978597315959632
1856,0.00019321554282214493
1857,0.00021224567899480462
1858,0.00018962199101224542
1859,0.0002138148993253708
1860,0.0002133932721335441
1861,0.0002390996814938262
1862,0.00019181625975761563
1863,0.00019962347869295627
1864,0.0001947176642715931
1865,0.0002160512813134119
1866,0.00023207235790323466
1867,0.00026287982473149896
1868,0.00024797330843284726
1869,0.0002477347443345934
1870,0.0002742654469329864
1871,0.0002731839776970446
1872,0.00032413608278147876
1873,0.0002790195867419243
1874,0.00028243419365026057
1875,0.0002537259424570948
1876,0.0002831661840900779
1877,0.00027227107784710824
1878,0.000282020540907979
1879,0.00029245129553601146
1880,0.0002622435858938843
1881,0.000335692020598799
1882,0.0002601883898023516
1883,0.0002819719957187772
1884,0.000277360319159925
1885,0.0002709647815208882
1886,0.0002645440981723368
1887,0.00029683587490580976
1888,0.00029342478956095874
1889,0.0003016879200004041
1890,0.00026862413506023586
1891,0.00030194700229912996
1892,0.00025958288460969925
1893,0.0002834218612406403
1894,0.000258973945165053
1895,0.00029129342874512076
1896,0.00026512544718571007
1897,0.00029449467547237873
1898,0.0002639524172991514
1899,0.00026067084399983287
1900,0.000238127657212317
1901,0.0002714316360652447
1902,0.00024658319307491183
1903,0.0002680693578440696
1904,0.00023357078316621482
1905,0.0002575600810814649
1906,0.0002768335398286581
1907,0.0002784264797810465
1908,0.00024178094463422894
1909,0.00029094525962136686
1910,0.00024092091189231724
1911,0.00027923539164476097
1912,0.00027879790286533535
1913,0.00027990518719889224
1914,0.00028036354342475533
1915,0.0003308291488792747
1916,0.0002728512918110937
1917,0.00027596671134233475
1918,0.00024237741308752447
1919,0.0002631800016388297
1920,0.00022209725284483284
1921,0.000239973611314781
1922,0.00021455134265124798
1923,0.00024061049043666571
1924,0.00021573503909166902
1925,0.00023360176419373602
1926,0.0002102621947415173
1927,0.00023528920428361744
1928,0.00019109428103547543
1929,0.00022751776850782335
1930,0.0002139669086318463
1931,0.00026514538330957294
1932,0.00020216598932165653
1933,0.00022902248019818217
1934,0.00016456116281915456
1935,0.00020412444428075105
1936,0.00019170680025126785
1937,0.0002470617473591119
1938,0.0002116875839419663
1939,0.00023830970167182386
1940,0.00020658275752793998
1941,0.00021037143596913666
1942,0.00016962953668553382
1943,0.0001799830060917884
1944,0.00015586470544803888
1945,0.0001741251180646941
1946,0.00012851739302277565
1947,0.00015649064152967185
1948,0.00013997280620969832
1949,0.00017250428209081292
1950,0.00013434157881420106
1951,0.00014055772044230253
1952,0.00012572442938107997
1953,0.0001510285510448739
1954,0.0001487737608840689
1955,0.0001522678940091282
1956,0.00011385741527192295
1957,0.00015414015797432512
1958,0.00010632709017954767
1959,0.00013234649668447673
1960,0.00010122526146005839
1961,0.00011890073801623657
1962,9.348771709483117e-05
1963,0.00011926834849873558
1964,8.666615030961111e-05
1965,0.00010845192446140572
1966,8.510886982548982e-05
1967,0.0001125260823755525
1968,9.346364095108584e-05
1969,0.00010730303620221093
1970,8.833327592583373e-05
1971,0.00011337250907672569
1972,9.572576527716592e-05
1973,9.929866064339876e-05
1974,8.3838080172427e-05
1975,9.185096132569015e-05
1976,8.515479566995054e-05
1977,8.92959869815968e-05
1978,8.343540685018525e-05
1979,8.136456017382443e-05
1980,6.789127655792981e-05
1981,7.5299154559616e-05
1982,7.28453669580631e-05
1983,7.267412001965567e-05
1984,6.285720883170143e-05
1985,6.901087908772752e-05
1986,5.9028418036177754e-05
1987,6.739707168890163e-05
1988,5.9279736888129264e-05
1989,6.769281026208773e-05
1990,6.29560454399325e-05
1991,5.9461002820171416e-05
1992,5.8459434512769803e-05
1993,7.138479122659191e-05
1994,5.588385829469189e-05
1995,5.3839681640965864e-05
1996,5.184987821849063e-05
1997,5.544827945413999e-05
1998,5.4113490477902815e-05
1999,5.5056643759598956e-05
2000,4.987714783055708e-05
2001,5.745583985117264e-05
2002,4.2335519538028166e-05
2003,3.993118298240006e-05
2004,3.748351082322188e-05
2005,3.821073187282309e-05
2006,3.801550337811932e-05
2007,3.529586683725938e-05
2008,3.6640267353504896e-05
2009,3.275430208304897e-05
2010,2.6727275326265953e-05
2011,2.0542547645163722e-05
2012,1.812662958400324e-05
2013,1.6596286513959058e-05
2014,1.6539821444894187e-05
2015,1.6795993360574357e-05
2016,1.7325321095995605e-05
2017,1.5257902305165771e-05
2018,1.548939326312393e-05
2019,1.640889786358457e-05
