,data
1800,6.480504453065805e-06
1801,5.508811682375381e-06
1802,4.63013111584587e-06
1803,4.2244951146130916e-06
1804,4.635046479961602e-06
1805,5.582436642725952e-06
1806,4.722353423858294e-06
1807,4.869037638854934e-06
1808,4.433473804965615e-06
1809,5.632255579257617e-06
1810,4.181286385573912e-06
1811,5.6741359912848566e-06
1812,4.3971967897959985e-06
1813,4.239541340211872e-06
1814,6.006557214277564e-06
1815,7.796688805683516e-06
1816,5.109611265652347e-06
1817,5.6650642363820225e-06
1818,5.022624009143328e-06
1819,6.283306447585346e-06
1820,4.36593609265401e-06
1821,6.001786005072063e-06
1822,5.54868074686965e-06
1823,5.318818239175016e-06
1824,5.401978341978975e-06
1825,6.2071280808595475e-06
1826,9.387969839735888e-06
1827,6.413216851797188e-06
1828,7.17828652341268e-06
1829,7.58732403483009e-06
1830,7.40265795684536e-06
1831,6.92217099640402e-06
1832,1.8192675270256586e-05
1833,8.17036288935924e-06
1834,8.596472071076278e-06
1835,1.082419930753531e-05
1836,8.83804023033008e-06
1837,9.319021046394482e-06
1838,8.996074939204846e-06
1839,9.096739631786477e-06
1840,8.115627679217141e-06
1841,9.108409358304925e-06
1842,9.339986718259752e-06
1843,8.321183486259542e-06
1844,8.020693712751381e-06
1845,9.405594028066844e-06
1846,8.802200682112016e-06
1847,9.311266694567166e-06
1848,9.525623681838624e-06
1849,1.0663029570423532e-05
1850,1.0703531188482884e-05
1851,1.0072594704979565e-05
1852,1.0159405974263791e-05
1853,9.346967090095859e-06
1854,1.0465980267326813e-05
1855,1.0774720976769459e-05
1856,1.0521260264795274e-05
1857,1.107026037061587e-05
1858,1.0506440048629884e-05
1859,1.0937017577816732e-05
1860,1.1499748325149994e-05
1861,1.0360452506574802e-05
1862,1.101664292946225e-05
1863,1.238928598468192e-05
1864,1.043359861796489e-05
1865,1.1205891496501863e-05
1866,1.1046164217987098e-05
1867,1.1301274753350299e-05
1868,1.0889992154261563e-05
1869,1.5959840311552398e-05
1870,1.114393126044888e-05
1871,1.2381337910483126e-05
1872,1.2922060705022886e-05
1873,1.3526817383535672e-05
1874,1.5227830772346351e-05
1875,1.4155941244098358e-05
1876,1.4955839105823543e-05
1877,1.8662318325368688e-05
1878,1.5416768292197958e-05
1879,1.8113740225089714e-05
1880,1.5548985174973495e-05
1881,1.5500960216741078e-05
1882,1.5148684724408668e-05
1883,1.7722930351737887e-05
1884,1.634346517676022e-05
1885,1.8388482203590684e-05
1886,1.792166403902229e-05
1887,1.7351156202494167e-05
1888,1.868631807155907e-05
1889,2.2247266315389425e-05
1890,2.1529818695853464e-05
1891,2.182083517254796e-05
1892,2.2541933503816836e-05
1893,2.2639795133727603e-05
1894,2.2831358364783227e-05
1895,2.4409822799498215e-05
1896,2.3450054868590087e-05
1897,2.393848990323022e-05
1898,2.5314815502497368e-05
1899,2.4874078007997014e-05
1900,3.0328596039908007e-05
1901,2.6228723072563298e-05
1902,2.864278940251097e-05
1903,2.951793430838734e-05
1904,3.212899173377082e-05
1905,3.443967943894677e-05
1906,3.63575090887025e-05
1907,3.877862764056772e-05
1908,3.947496588807553e-05
1909,4.0870414522942156e-05
1910,4.514581451076083e-05
1911,5.7144097809214145e-05
1912,5.073878128314391e-05
1913,6.310883327387273e-05
1914,5.7314482546644285e-05
1915,6.0777878388762474e-05
1916,6.404096347978339e-05
1917,6.502657197415829e-05
1918,6.719712837366387e-05
1919,6.88654909026809e-05
1920,6.96631905157119e-05
1921,7.391304825432599e-05
1922,7.773451216053218e-05
1923,8.1714300904423e-05
1924,8.6438529251609e-05
1925,0.0001009554835036397
1926,9.425920143257827e-05
1927,0.00010264119919156656
1928,0.00010264867887599394
1929,0.00010648302850313485
1930,0.0001148307928815484
1931,0.00011270340473856777
1932,0.00012433883966878057
1933,0.0001360996684525162
1934,0.0001254727249033749
1935,0.0001346833014395088
1936,0.0001308690116275102
1937,0.00012790210894308984
1938,0.00013416811998467892
1939,0.0001333520922344178
1940,0.00014555359666701406
1941,0.00014760611520614475
1942,0.00014172504597809166
1943,0.00013014825526624918
1944,0.00013552707969211042
1945,0.00013090515858493745
1946,0.00013727879559155554
1947,0.00015317212091758847
1948,0.00015496854030061513
1949,0.00017929151363205165
1950,0.00017163816664833575
1951,0.00016446552763227373
1952,0.00016761856386438012
1953,0.00018034453387372196
1954,0.00019854774291161448
1955,0.0001941536320373416
1956,0.00020741055777762085
1957,0.0002156083210138604
1958,0.00022831429669167846
1959,0.00024282651429530233
1960,0.000253242498729378
1961,0.0002698404423426837
1962,0.0002834278857335448
1963,0.0002830838202498853
1964,0.0002905909495893866
1965,0.0002892886404879391
1966,0.0002952491049654782
1967,0.0002945385640487075
1968,0.00029822191572748125
1969,0.00031245677382685244
1970,0.0003355189401190728
1971,0.00035019649658352137
1972,0.00037655679625459015
1973,0.0003724804555531591
