,december
1800,5.9526982454372046e-08
1801,9.316372739931467e-08
1802,1.6821548598500158e-08
1803,1.0085765467238161e-07
1804,1.5926877949823393e-07
1805,3.9505540172513065e-08
1806,2.7026997528878383e-08
1807,4.057531555190508e-08
1808,3.453710917256103e-08
1809,1.809850758149878e-08
1810,3.954281169171736e-08
1811,3.7893475024475265e-08
1812,1.8997106110418827e-08
1813,9.153381164139773e-09
1814,3.4454437525255344e-08
1815,3.3419156331149225e-09
1816,4.0735674389225096e-08
1817,7.898617582213774e-08
1818,1.3519850128318467e-08
1819,3.4611435495435217e-08
1820,1.43931959684096e-08
1821,7.519464162442091e-09
1822,1.1572902636203253e-08
1823,4.7461814034477356e-08
1824,2.429675483028859e-08
1825,8.733823442241828e-09
1826,1.4748590793089988e-08
1827,1.0327241284358024e-08
1828,2.038530588777121e-08
1829,3.2350019552040976e-08
1830,1.2443901908909538e-08
1831,4.0159868319733505e-08
1832,1.8201038898268962e-08
1833,6.67131772047469e-09
1834,2.9261817857673122e-08
1835,2.145766409000771e-08
1836,6.350826087242467e-09
1837,1.2791270265211097e-08
1838,2.111341679267298e-08
1839,1.3135706744549225e-08
1840,1.3552246436177029e-08
1841,1.389128634343706e-08
1842,7.426580683755901e-09
1843,3.1746104411922715e-08
1844,6.367962601672161e-09
1845,2.5968192929326506e-08
1846,1.1016521028750503e-08
1847,8.414639651732614e-09
1848,2.0088368302140225e-08
1849,3.2871131594447434e-08
1850,1.1878671379861316e-08
1851,1.148441164389169e-08
1852,3.423208383424026e-08
1853,1.7279047526130853e-08
1854,8.125003780889983e-09
1855,1.3095446504962638e-08
1856,2.3309262076054438e-08
1857,1.6261598290157053e-08
1858,2.2050734571621433e-08
1859,1.9134040130097674e-08
1860,1.0782066794945422e-08
1861,2.2580577407893543e-08
1862,1.5780711848378814e-08
1863,7.728093009973236e-08
1864,1.937493188108874e-08
1865,2.30116459221108e-08
1866,1.5705762024254e-08
1867,1.879095279377907e-08
1868,1.5479292514442022e-08
1869,1.9819349716954093e-08
1870,1.2704462371004865e-08
1871,1.505673097312865e-08
1872,3.380634794325488e-08
1873,2.1287176465989432e-08
1874,3.067550480295722e-08
1875,2.5226253086430006e-08
1876,3.0309799115002534e-08
1877,3.783316060435027e-08
1878,2.3026027307082586e-08
1879,2.388082620541354e-08
1880,5.9452794687331334e-08
1881,2.1081794088217976e-08
1882,1.857414844153027e-08
1883,5.45590062017709e-08
1884,3.2039078945445e-08
1885,3.561812889074645e-08
1886,4.339766945804513e-08
1887,6.898515891862189e-08
1888,6.94817288149352e-08
1889,4.789383822867421e-08
1890,6.402790830861704e-08
1891,4.9145171487907646e-08
1892,3.6639253409020967e-08
1893,3.0101872994237056e-08
1894,5.0544372243166436e-08
1895,4.011177523466358e-08
1896,6.715559663916792e-08
1897,5.427948579495023e-08
1898,3.8087001996700565e-08
1899,1.2915116087697243e-07
1900,1.252259096418129e-07
1901,1.0202388267543938e-07
1902,4.143663900890715e-08
1903,9.85390045116219e-08
1904,7.341356678125521e-08
1905,5.074230102763977e-08
1906,5.366710098542171e-08
1907,6.125885221308636e-08
1908,5.6352401855974676e-08
1909,1.2826238560137426e-07
1910,8.860425282364304e-08
1911,3.593062203322006e-08
1912,4.6304190703949644e-08
1913,5.871809349855539e-08
1914,5.655471113641397e-08
1915,4.600983061209263e-08
1916,3.372879220364666e-08
1917,3.7038184075299796e-08
1918,4.17275742847778e-08
1919,3.69824277868247e-08
1920,3.6953334614509004e-08
1921,3.321835251313132e-08
1922,5.359828136874967e-08
1923,5.5707172208485645e-08
1924,5.5098752227422665e-08
1925,4.9703366755693423e-08
1926,5.293722793453526e-08
1927,1.0479278955699556e-07
1928,6.505863581196536e-08
1929,9.948566059847508e-08
1930,1.0218627011227e-07
1931,6.434556354406595e-08
1932,6.425121057418437e-08
1933,8.100149528900147e-08
1934,8.391939587681918e-08
1935,7.59657510229772e-08
1936,8.449062960380616e-08
1937,9.059046846005003e-08
1938,9.162268099771609e-08
1939,8.471285184441513e-08
1940,1.1766559282477829e-07
1941,1.5881317949606455e-07
1942,6.447552891586383e-08
1943,5.741580366702692e-08
1944,7.316594974327018e-08
1945,4.1322447685843144e-08
1946,6.577589317657839e-08
1947,9.694345948219052e-08
