,design
1800,8.305204391945153e-05
1801,0.00010065732931252569
1802,8.422549581155181e-05
1803,7.345607446040958e-05
1804,9.620159107726067e-05
1805,9.277723438572139e-05
1806,8.47664923639968e-05
1807,7.736644329270348e-05
1808,9.66893567238003e-05
1809,8.256176806753501e-05
1810,0.0001059000423992984
1811,9.750320168677717e-05
1812,0.00010178016236750409
1813,8.51020377012901e-05
1814,8.403765968978405e-05
1815,7.752909732516855e-05
1816,0.0001071687729563564
1817,8.227141370298341e-05
1818,8.597812848165631e-05
1819,6.928943184902892e-05
1820,7.992061728145927e-05
1821,6.993101851549e-05
1822,7.23243283573538e-05
1823,8.462544792564586e-05
1824,7.574738265248016e-05
1825,7.651266059838235e-05
1826,7.603980338899419e-05
1827,6.975394353503361e-05
1828,6.978067540330812e-05
1829,6.77724601700902e-05
1830,6.771312473574653e-05
1831,6.352287164190784e-05
1832,5.013697227695957e-05
1833,6.181576463859528e-05
1834,6.126383959781379e-05
1835,6.59286743029952e-05
1836,6.541582115460187e-05
1837,6.0969588957959786e-05
1838,5.9959173086099327e-05
1839,5.942961433902383e-05
1840,6.71237357892096e-05
1841,6.028016650816426e-05
1842,5.833420073031448e-05
1843,5.9170506574446335e-05
1844,5.8164969232166186e-05
1845,5.779753337264992e-05
1846,5.4323842050507665e-05
1847,5.985193274682388e-05
1848,5.58746287424583e-05
1849,5.808420246466994e-05
1850,5.7342589570907876e-05
1851,6.228264101082459e-05
1852,5.6002187193371356e-05
1853,5.066415906185284e-05
1854,5.265945219434798e-05
1855,5.075830631540157e-05
1856,5.145840623299591e-05
1857,4.877808169112541e-05
1858,4.5852666517021134e-05
1859,5.077234891359694e-05
1860,4.843809801968746e-05
1861,4.54305081802886e-05
1862,5.005897764931433e-05
1863,4.405781510286033e-05
1864,4.017372339149006e-05
1865,4.400138641358353e-05
1866,3.824420127784833e-05
1867,4.056307443534024e-05
1868,3.830505738733336e-05
1869,3.8872865843586624e-05
1870,3.812820796156302e-05
1871,4.017072933493182e-05
1872,4.0699793316889554e-05
1873,3.8952872273512185e-05
1874,3.919363734894432e-05
1875,3.824815939879045e-05
1876,4.02183759433683e-05
1877,3.878149436786771e-05
1878,3.739988460438326e-05
1879,3.784332875511609e-05
1880,3.90844616049435e-05
1881,3.6856563383480534e-05
1882,3.614431625464931e-05
1883,3.703543552546762e-05
1884,3.4227017749799415e-05
1885,3.4726541343843564e-05
1886,3.399072011234239e-05
1887,3.3750187867553905e-05
1888,3.519351230352186e-05
1889,3.378852125024423e-05
1890,3.4575070458231494e-05
1891,3.657289198599756e-05
1892,3.433592792134732e-05
1893,3.800538252107799e-05
1894,3.551387271727435e-05
1895,3.5327775549376383e-05
1896,3.593066503526643e-05
1897,3.774218203034252e-05
1898,3.74226292478852e-05
1899,3.827948239631951e-05
1900,3.902535900124349e-05
1901,3.8562502595596015e-05
1902,4.1917555790860206e-05
1903,4.303295645513572e-05
1904,4.468931001611054e-05
1905,4.6221295633586124e-05
1906,4.352903852122836e-05
1907,4.6858138375682756e-05
1908,4.8334779421566054e-05
1909,4.786913268617354e-05
1910,4.8411558964289725e-05
1911,4.8708472604630515e-05
1912,4.970523150404915e-05
1913,5.107905235490762e-05
1914,5.13026570843067e-05
1915,5.04174931847956e-05
1916,5.133402009960264e-05
1917,5.1097144023515284e-05
1918,5.145991963217966e-05
1919,5.449808304547332e-05
1920,5.786129258922301e-05
1921,5.955879532848485e-05
1922,5.963301009614952e-05
1923,5.886088183615357e-05
1924,5.81343010708224e-05
1925,6.216369365574792e-05
1926,5.8915524277836084e-05
1927,6.092802868806757e-05
1928,6.14715536357835e-05
1929,6.45217442070134e-05
1930,6.49019712000154e-05
1931,6.280621892074123e-05
1932,6.324053538264707e-05
1933,5.997426706016995e-05
1934,6.380353443091735e-05
1935,6.254331674426794e-05
1936,6.494426634162664e-05
1937,6.566173397004604e-05
1938,6.721915997331962e-05
1939,6.557507731486112e-05
1940,6.990231486270204e-05
1941,6.890999793540686e-05
1942,6.923817272763699e-05
1943,7.099771028151736e-05
1944,8.591458026785403e-05
1945,8.210840314859524e-05
1946,9.16130593395792e-05
1947,9.190040873363614e-05
1948,9.545057400828227e-05
1949,9.288240835303441e-05
1950,9.561004844726995e-05
1951,9.852734365267679e-05
1952,0.00010191711771767586
1953,0.00010355348058510572
1954,0.00011365122918505222
1955,0.00010872226266656071
1956,0.00011529721814440563
1957,0.00012474888353608549
1958,0.0001223849249072373
1959,0.0001233755610883236
1960,0.00012558877642732114
1961,0.0001214111180161126
1962,0.00014361938519869
1963,0.00012932078971061856
1964,0.00013176992069929838
1965,0.0001278959243791178
1966,0.00013264978770166636
1967,0.00012959683954250067
1968,0.0001302327582379803
1969,0.00012523360783234239
1970,0.00012982881162315607
1971,0.0001295405818382278
1972,0.00013950502034276724
1973,0.0001389683166053146
1974,0.00014664293848909438
1975,0.000145475278259255
1976,0.00015234896272886544
1977,0.00016027370293159038
1978,0.00016792569658719003
1979,0.00016986366244964302
1980,0.0001745243789628148
1981,0.00016729107301216573
1982,0.00017281342297792435
1983,0.00017581565771251917
1984,0.00017370781279169023
1985,0.00017372598813381046
1986,0.00017744330398272723
1987,0.00017401670629624277
1988,0.00016780209261924028
1989,0.00016653553757350892
1990,0.00017044151900336146
1991,0.00017232340178452432
1992,0.00016930709534790367
1993,0.00016504284576512873
1994,0.00016943519585765898
1995,0.00016991037409752607
1996,0.00016161173698492348
1997,0.0001618243259144947
1998,0.00015802783309482038
1999,0.00015153204731177539
2000,0.00014835978799965233
2001,0.0001463164808228612
2002,0.00014696537982672453
2003,0.00015166428056545556
2004,0.0001463260705349967
2005,0.00014409286086447537
2006,0.00014127873873803765
2007,0.00013339921133592725
2008,0.00012440819409675896
2009,0.0001199459147755988
2010,0.00012536771828308702
2011,0.00012172837887192145
2012,0.00012912381498608738
2013,0.00012472731759771705
2014,0.0001101842281059362
2015,0.00010808990919031203
2016,0.00012195695308037102
2017,0.00011376781912986189
2018,0.00011255144636379555
2019,0.00011651070963125676
