,did
1800,0.0006396531243808568
1801,0.0005196429556235671
1802,0.0005207362701185048
1803,0.0005352458101697266
1804,0.0005516030360013247
1805,0.0005977947730571032
1806,0.0005884170532226562
1807,0.0005315942689776421
1808,0.0006221714429557323
1809,0.0006686421111226082
1810,0.0007176054059527814
1811,0.000673011178150773
1812,0.0007397941662929952
1813,0.0006063474575057626
1814,0.0006258944049477577
1815,0.0006156861199997365
1816,0.0008695925935171545
1817,0.0006432180525735021
1818,0.0006017536506988108
1819,0.0005484514404088259
1820,0.0007296666735783219
1821,0.0006554767023772001
1822,0.0006282013491727412
1823,0.0005833170143887401
1824,0.0005960011621937156
1825,0.0006134611321613193
1826,0.0006222381489351392
1827,0.0005786663386970758
1828,0.0005875789793208241
1829,0.0005797496996819973
1830,0.0005810951115563512
1831,0.0006250358419492841
1832,0.0007980171358212829
1833,0.0006230857688933611
1834,0.000584909284953028
1835,0.0005753258592449129
1836,0.0005826507695019245
1837,0.000589590345043689
1838,0.0005820540827699006
1839,0.0006169037660583854
1840,0.000583042623475194
1841,0.0005771941505372524
1842,0.0005825049011036754
1843,0.0005811124574393034
1844,0.0006165985250845551
1845,0.0005726901581510901
1846,0.0005844264524057508
1847,0.0005787865375168622
1848,0.0005879991804249585
1849,0.000571248703636229
1850,0.0005802111700177193
1851,0.0005785655230283737
1852,0.0005852012545801699
1853,0.0006244926480576396
1854,0.0005729970871470869
1855,0.000582915497943759
1856,0.0005662191542796791
1857,0.0005863275146111846
1858,0.0005886873695999384
1859,0.0005702482885681093
1860,0.0005995695246383548
1861,0.0005677249282598495
1862,0.0005815729382447898
1863,0.0005608354113064706
1864,0.0006074234843254089
1865,0.0005921786068938673
1866,0.0006044412730261683
1867,0.0005950580816715956
1868,0.0006007627816870809
1869,0.0006028157658874989
1870,0.0006002907175570726
1871,0.000587217218708247
1872,0.0007097719935700297
1873,0.0005715065635740757
1874,0.0005797019694000483
1875,0.000591831689234823
1876,0.0006137103773653507
1877,0.000617658079136163
1878,0.0005802162922918797
1879,0.0006057349964976311
1880,0.00057476811343804
1881,0.000554158294107765
1882,0.0006049108924344182
1883,0.0005594561225734651
1884,0.0005716525483876467
1885,0.0005449725431390107
1886,0.000563653651624918
1887,0.0005555319366976619
1888,0.0005738006439059973
1889,0.0005431580357253551
1890,0.000536362174898386
1891,0.0005387469427660108
1892,0.0005375476903282106
1893,0.0005453457124531269
1894,0.0005543514853343368
1895,0.000544535752851516
1896,0.0005583366146311164
1897,0.0005104751908220351
1898,0.0005225449567660689
1899,0.0005607178900390863
1900,0.0005536502576433122
1901,0.0005210795206949115
1902,0.0005069438484497368
1903,0.000508648983668536
1904,0.000520405126735568
1905,0.0004995788331143558
1906,0.0005183258908800781
1907,0.0004971931339241564
1908,0.000525228213518858
1909,0.000480661285109818
1910,0.00047683322918601334
1911,0.0004989873850718141
1912,0.000501996953971684
1913,0.0004757520218845457
1914,0.000461292132968083
1915,0.0004486857505980879
1916,0.00047061260556802154
1917,0.00043282873230054975
1918,0.00045027423766441643
1919,0.00046963244676589966
1920,0.000481488328659907
1921,0.00045481129200197756
1922,0.00046914746053516865
1923,0.0004666697059292346
1924,0.0004952679155394435
1925,0.00046175933675840497
1926,0.00047255188110284507
1927,0.0004592570476233959
1928,0.0004890782875008881
1929,0.00047410355182364583
1930,0.0004614716162905097
1931,0.00044934102334082127
1932,0.00047200231347233057
1933,0.00046425845357589424
1934,0.0004885634989477694
1935,0.00048484155558981
1936,0.0005061473348177969
1937,0.00045192596735432744
1938,0.0004603482666425407
1939,0.0004636407538782805
