,during
1800,0.000267026131041348
1801,0.00024875119561329484
1802,0.0002826230484060943
1803,0.0002799030626192689
1804,0.0002627837238833308
1805,0.0002910768089350313
1806,0.00025972945149987936
1807,0.00026190938660874963
1808,0.00023117686214391142
1809,0.0002477721718605608
1810,0.00023878146021161228
1811,0.0002497740206308663
1812,0.0002602312306407839
1813,0.00027202171622775495
1814,0.0002787052362691611
1815,0.0002826558775268495
1816,0.0002705188235267997
1817,0.00028917862800881267
1818,0.00029088498558849096
1819,0.0002944261650554836
1820,0.0002920415427070111
1821,0.000287688453681767
1822,0.0002720821066759527
1823,0.0002731984423007816
1824,0.00028252534684725106
1825,0.0002810273435898125
1826,0.000297952996334061
1827,0.0002999472199007869
1828,0.00030019579571671784
1829,0.0002962075814139098
1830,0.0002917092351708561
1831,0.0002986496256198734
1832,0.0003278661170043051
1833,0.00030775723280385137
1834,0.0003204097447451204
1835,0.0003504328487906605
1836,0.0003133797727059573
1837,0.0003069619997404516
1838,0.0003164842491969466
1839,0.0003091835242230445
1840,0.0003104917414020747
1841,0.00032571484916843474
1842,0.0003149952390231192
1843,0.00031218273215927184
1844,0.00031178866629488766
1845,0.0003169085830450058
1846,0.00031936803134158254
1847,0.00033557068672962487
1848,0.00032711573294363916
1849,0.00033491026260890067
1850,0.00031582076917402446
1851,0.00031867672805674374
1852,0.00032491516321897507
1853,0.00031791484798304737
1854,0.0003295904607512057
1855,0.00034354630042798817
1856,0.00034637327189557254
1857,0.00034867378417402506
1858,0.00036178273148834705
1859,0.00036438030656427145
1860,0.0003452306555118412
1861,0.00035590174957178533
1862,0.00034312045318074524
1863,0.00035560200922191143
1864,0.00034548825351521373
1865,0.0003571388078853488
1866,0.0003648769634310156
1867,0.00036538581480272114
1868,0.0003734441415872425
1869,0.0003715583006851375
1870,0.00037496586446650326
1871,0.0003754700010176748
1872,0.00037357397377491
1873,0.0003817686520051211
1874,0.0003892531094606966
1875,0.0003894947876688093
1876,0.00040399577119387686
1877,0.00041203899309039116
1878,0.00040785159217193723
1879,0.0004107239074073732
1880,0.00041082027019001544
1881,0.00040453675319440663
1882,0.00040830892976373434
1883,0.0004023229703307152
1884,0.0004148959123995155
1885,0.0004094387695658952
1886,0.0004119369841646403
1887,0.0004210828628856689
1888,0.00040811675717122853
1889,0.00041994068305939436
1890,0.0004110701847821474
1891,0.0004238391120452434
1892,0.0004142483521718532
1893,0.0004190226609352976
1894,0.0004228611942380667
1895,0.0004302313318476081
1896,0.00042621541069820523
1897,0.00043173128506168723
1898,0.00043616065522655845
1899,0.00041752494871616364
1900,0.0004413386050146073
1901,0.0004425688530318439
1902,0.00045827290159650147
1903,0.0004466205136850476
1904,0.000451644096756354
1905,0.00044737159623764455
1906,0.00044799712486565113
1907,0.0004600860411301255
1908,0.00046321857371367514
1909,0.00046552784624509513
1910,0.00046116544399410486
1911,0.0004723992897197604
1912,0.00047576185897924006
1913,0.000481186289107427
1914,0.0004865321679972112
1915,0.0004935740143992007
1916,0.0005062307463958859
1917,0.0005076341913081706
1918,0.0005255056894384325
1919,0.0005470038158819079
1920,0.0005481535918079317
1921,0.0005498024984262884
1922,0.0005378066562116146
1923,0.0005431275349110365
1924,0.0005425999406725168
1925,0.0005376002518460155
1926,0.0005349987186491489
1927,0.0005390920559875667
1928,0.0005380144575610757
1929,0.0005299312178976834
1930,0.0005463277921080589
1931,0.000547573552466929
1932,0.0005502033163793385
1933,0.0005579809658229351
1934,0.0005532080540433526
1935,0.0005476620863191783
1936,0.0005517838289961219
1937,0.0005443537374958396
1938,0.0005479941610246897
1939,0.0005478589446283877
1940,0.0005474486970342696
1941,0.0005479610408656299
1942,0.00055410509230569
1943,0.0005548650515265763
1944,0.0005644698976539075
1945,0.0005830226000398397
1946,0.0005849857116118073
1947,0.0005691393744200468
1948,0.0005620999145321548
1949,0.000542498251888901
1950,0.000540008011739701
1951,0.0005402314709499478
1952,0.0005282426136545837
1953,0.0005301453056745231
1954,0.0005222190520726144
1955,0.0005185903864912689
1956,0.0005165229085832834
1957,0.0005142785958014429
1958,0.0005167070776224136
1959,0.0005192785756662488
1960,0.0005185049958527088
1961,0.0005070914048701525
1962,0.0005100363632664084
1963,0.0004990347079001367
1964,0.000507136806845665
1965,0.0004909592098556459
1966,0.0004912756267003715
1967,0.00048264124779962003
1968,0.0004761577001772821
1969,0.0004800722817890346
1970,0.00047657458344474435
1971,0.0004904152010567486
1972,0.0004929085844196379
1973,0.0004942163359373808
1974,0.0004991549649275839
1975,0.0005026271683163941
1976,0.0005009918822906911
1977,0.0004968744469806552
1978,0.000493100902531296
1979,0.0004924508975818753
1980,0.0004953111056238413
1981,0.0004956907359883189
1982,0.0004925758694298565
1983,0.0004921076470054686
1984,0.00048233490088023245
1985,0.00048042015987448394
1986,0.00047223796718753874
1987,0.0004711373767349869
1988,0.0004699867859017104
1989,0.00045895553193986416
1990,0.0004631182237062603
1991,0.00046442655730061233
1992,0.00045900794793851674
1993,0.0004542390815913677
1994,0.00044517277274280787
1995,0.0004439929616637528
1996,0.000442825083155185
1997,0.0004387370136100799
1998,0.00043741826084442437
1999,0.00042514994856901467
2000,0.0004190152103547007
2001,0.0004157077055424452
2002,0.0004079527279827744
2003,0.0004051712166983634
2004,0.0004065352841280401
2005,0.00040636176709085703
2006,0.0003983135393355042
2007,0.00038989767199382186
2008,0.0003849791537504643
2009,0.00036828682641498744
2010,0.0003584829973988235
2011,0.00035034757456742227
2012,0.00037031472311355174
2013,0.00035749818198382854
2014,0.00032807394745759666
2015,0.00033439736580476165
2016,0.0003416964609641582
2017,0.0003095763677265495
2018,0.0003052355023100972
2019,0.00031784363090991974
