,e
1800,0.00012820525444112718
1801,0.00013168895384296775
1802,0.00014122950960882008
1803,0.00012376676022540778
1804,0.0001239761186297983
1805,0.00015603471547365189
1806,0.00012456743570510298
1807,0.00013665766164194793
1808,0.00011233466648263857
1809,0.00012675290054176003
1810,0.00011837945930892602
1811,0.00011702987103490159
1812,0.00012963498011231422
1813,0.00012919388245791197
1814,0.0001277504925383255
1815,0.00011767553223762661
1816,0.00013430009130388498
1817,0.00012116040306864306
1818,0.0001131624958361499
1819,0.0001235681411344558
1820,0.00010683349682949483
1821,0.00014623854076489806
1822,0.00011038340016966686
1823,0.00012140319449827075
1824,0.0001179742394015193
1825,0.00012009617785224691
1826,0.00012426867033354938
1827,0.00010755540279205889
1828,0.00010554624896030873
1829,0.00011022647231584415
1830,0.00010445118823554367
1831,9.546541696181521e-05
1832,0.00011726240336429328
1833,0.0001088378849090077
1834,0.00010478722106199712
1835,0.00012295300257392228
1836,0.00010186783038079739
1837,0.00010621114779496565
1838,0.00010262880095979199
1839,0.0001032813306665048
1840,0.00010519958595978096
1841,9.811521886149421e-05
1842,0.00010098982602357864
1843,0.00010465315426699817
1844,0.00010704398300731555
1845,0.0001154188284999691
1846,0.00010589446901576594
1847,0.00010554296022746712
1848,9.740709356265143e-05
1849,0.00010779996227938682
1850,0.0001229221816174686
1851,0.0001250686909770593
1852,0.0001298494462389499
1853,0.00013037971802987158
1854,0.00013113854220137
1855,0.000124516460346058
1856,0.00014440729864872992
1857,0.00014120546984486282
1858,0.00013134593609720469
1859,0.00013046075764577836
1860,0.00013734836829826236
1861,0.00012634559243451804
1862,0.00012481221347115934
1863,0.00012521346798166633
1864,0.00011534884833963588
1865,0.00012027758202748373
1866,0.00014011010352987796
1867,0.00012970702664460987
1868,0.00012925922055728734
1869,0.00012874029926024377
1870,0.0001307376951444894
1871,0.00011804288806160912
1872,0.00011993549560429528
1873,0.00012420387065503746
1874,0.00012115090794395655
1875,0.0001291802036575973
1876,0.0001153230550698936
1877,0.00011818995699286461
1878,0.00013118349306751043
1879,0.00012719357619062066
1880,0.0001299545110668987
1881,0.0001273431844310835
1882,0.00013097903865855187
1883,0.00012343273556325585
1884,0.0001194821234093979
1885,0.0001226924214279279
1886,0.00012448251072783023
1887,0.00012075457198079675
1888,0.0001255081733688712
1889,0.00012110574607504532
1890,0.00012538152805063874
1891,0.00012140539911342785
1892,0.00011465356510598212
1893,0.00011464669660199434
1894,0.00011315989104332402
1895,0.00011456001084297895
1896,0.00011331118002999574
1897,0.00011461816757218912
1898,0.00011913866183022037
1899,0.00011092972272308543
1900,0.00011684057972161099
1901,0.00012309281737543643
1902,0.00011803831876022741
1903,0.00012241820513736457
1904,0.00011517209350131452
1905,0.0001144314810517244
1906,0.0001130164455389604
1907,0.00011467834701761603
1908,0.00011727692617569119
1909,0.00011022289982065558
1910,0.00011284520587651059
1911,0.00012147518282290548
1912,0.00010816321446327493
1913,0.00011343062942614779
1914,0.00010945489339064807
1915,0.0001016847527353093
1916,0.0001071343504008837
1917,0.00011019739758921787
1918,0.00011094737419625744
1919,0.00011543764412635937
1920,0.0001130950913648121
1921,0.00011541636195033789
1922,0.00011427591380197555
1923,0.00010284291056450456
1924,0.00010085866233566776
1925,0.00010342205496272072
1926,0.00010137444769497961
1927,0.00010102896339958534
1928,0.00010049868433270603
1929,9.499227599008009e-05
1930,9.872276132227853e-05
1931,9.686354314908385e-05
1932,9.67370142461732e-05
1933,0.00010340517474105582
1934,0.00010392306285211816
1935,0.00010366924834670499
1936,0.00011427673598518595
1937,0.00010680458944989368
1938,0.00010702571307774633
1939,0.0001143022600444965
1940,0.00011481020192150027
1941,0.00011865644046338275
1942,0.00011437923240009695
1943,0.00012038541171932593
1944,0.00012688848073594272
1945,0.00012579582107719034
1946,0.0001275828544748947
1947,0.0001241847057826817
1948,0.0001260357821593061
1949,0.00012509150838013738
1950,0.00013385526835918427
1951,0.00012798731040675193
1952,0.0001305152109125629
1953,0.00013357537682168186
1954,0.00013694530935026705
1955,0.0001309184735873714
1956,0.00012887659249827266
1957,0.0001405976654496044
1958,0.00013649869651999325
1959,0.00013929350825492293
1960,0.000136396280140616
1961,0.00014177864068187773
1962,0.00014011120947543532
1963,0.0001434496371075511
1964,0.00014451128663495183
1965,0.00014393361925613135
1966,0.00014294499123934656
1967,0.0001425380614819005
1968,0.00014823782839812338
1969,0.0001434696459909901
1970,0.00014683278277516365
1971,0.00015369711036328226
1972,0.00015063397586345673
1973,0.00015217428153846413
1974,0.00015201835776679218
1975,0.00015668061678297818
1976,0.000157727234181948
1977,0.00015771237667649984
1978,0.00015693195746280253
1979,0.00016358795983251184
1980,0.00015706622798461467
1981,0.00015830920892767608
1982,0.00015465282194782048
1983,0.00015822084969840944
1984,0.00014997110702097416
1985,0.00015216338215395808
1986,0.00014959086547605693
1987,0.0001503826933912933
1988,0.00014672537508886307
1989,0.00014192078378982842
1990,0.00014020917296875268
1991,0.00013710657367482781
