,events
1800,6.0971506172791123e-05
1801,5.618987779598683e-05
1802,6.675210897810757e-05
1803,5.217798752710223e-05
1804,5.898145536775701e-05
1805,6.565212970599532e-05
1806,5.9135069022886455e-05
1807,5.7123634178424254e-05
1808,5.7504283176967874e-05
1809,5.4655680287396535e-05
1810,5.13661143486388e-05
1811,5.581214281846769e-05
1812,5.369848440750502e-05
1813,5.40827531949617e-05
1814,7.390641258098185e-05
1815,6.902893801452592e-05
1816,5.263049024506472e-05
1817,6.401976133929566e-05
1818,6.237517663976178e-05
1819,5.643793701892719e-05
1820,6.04514243605081e-05
1821,5.632705506286584e-05
1822,5.810754737467505e-05
1823,6.09873968642205e-05
1824,6.0869668232044205e-05
1825,6.210446736076847e-05
1826,6.302072870312259e-05
1827,6.818138353992254e-05
1828,6.753829075023532e-05
1829,6.59144134260714e-05
1830,6.835801468696445e-05
1831,6.826173921581358e-05
1832,5.7150766224367544e-05
1833,6.730025779688731e-05
1834,6.506853242171928e-05
1835,6.835100066382438e-05
1836,6.85941195115447e-05
1837,6.822921568527818e-05
1838,6.786907761124894e-05
1839,6.600849883398041e-05
1840,6.684889376629144e-05
1841,6.646553083555773e-05
1842,6.420862337108701e-05
1843,6.558851600857452e-05
1844,6.854230014141649e-05
1845,6.670504808425903e-05
1846,6.834971281932667e-05
1847,6.887055496918038e-05
1848,7.482403452740982e-05
1849,7.442571950377896e-05
1850,6.964549538679421e-05
1851,6.749465683242306e-05
1852,6.850780482636765e-05
1853,6.598435720661655e-05
1854,7.162418478401378e-05
1855,6.768824096070603e-05
1856,6.644828681601211e-05
1857,6.510366802103817e-05
1858,6.545797077706084e-05
1859,6.42834129394032e-05
1860,6.420383579097688e-05
1861,6.794172804802656e-05
1862,6.528139056172222e-05
1863,6.809218757553026e-05
1864,6.631208816543221e-05
1865,6.711522291880101e-05
1866,6.567414675373584e-05
1867,6.0605441831285134e-05
1868,5.8461882872506976e-05
1869,5.939921175013296e-05
1870,5.9114467148901895e-05
1871,5.9955586038995534e-05
1872,5.62540371902287e-05
1873,5.740057531511411e-05
1874,5.5144046200439334e-05
1875,5.5729953601257876e-05
1876,5.51763987459708e-05
1877,5.702069393009879e-05
1878,5.45337752555497e-05
1879,5.420545130618848e-05
1880,5.3713763918494806e-05
1881,5.264911305857822e-05
1882,5.0979684601770714e-05
1883,5.2699168008985e-05
1884,4.8094854719238356e-05
1885,4.9614463932812214e-05
1886,4.9172933358931914e-05
1887,4.78645961266011e-05
1888,4.708545020548627e-05
1889,4.627317321137525e-05
1890,4.8877856897888705e-05
1891,4.6744808059884235e-05
1892,4.617296872311272e-05
1893,4.588198135024868e-05
1894,4.612854900187813e-05
1895,4.5909418986411765e-05
1896,4.5564745960291475e-05
1897,4.481289579416625e-05
1898,4.603073466569185e-05
1899,4.742547025671229e-05
1900,4.6249449951574206e-05
1901,4.197398811811581e-05
1902,4.3605748942354694e-05
1903,4.111821544938721e-05
1904,4.2163497710134834e-05
1905,4.0424256440019235e-05
1906,3.865225153276697e-05
1907,3.921632014680654e-05
1908,3.806829045061022e-05
1909,3.6606368666980416e-05
1910,3.755589568754658e-05
1911,3.587941318983212e-05
1912,3.520006066537462e-05
1913,3.360950358910486e-05
1914,3.508270674501546e-05
1915,3.436308907112107e-05
1916,3.3392003388144076e-05
1917,3.3732576412148774e-05
1918,3.517913501127623e-05
1919,3.457719867583364e-05
1920,3.5610890336101875e-05
1921,3.2744839700171724e-05
1922,3.428977288422175e-05
1923,3.5432200093055144e-05
1924,3.469332295935601e-05
1925,3.5056764318142086e-05
1926,3.789686525124125e-05
1927,3.69756126019638e-05
1928,3.6425750295165926e-05
1929,3.8426016544690356e-05
1930,3.7612982850987464e-05
1931,3.728625597432256e-05
1932,3.9961774746188894e-05
1933,3.855861723423004e-05
1934,4.056373654748313e-05
1935,3.997205203631893e-05
1936,3.998887768830173e-05
1937,3.932727486244403e-05
1938,4.131762761971913e-05
1939,3.925825149053708e-05
1940,4.0354741940973327e-05
1941,3.8979727833066136e-05
1942,3.93872287531849e-05
1943,3.692720929393545e-05
1944,3.7021967727923766e-05
1945,3.6555546103045344e-05
1946,4.085118416696787e-05
1947,4.1056748159462586e-05
1948,4.2137704440392554e-05
1949,4.1683037125039846e-05
1950,4.460528725758195e-05
1951,4.316896593081765e-05
1952,4.403929415275343e-05
1953,4.404824721859768e-05
1954,4.451479253475554e-05
1955,4.3863346945727244e-05
1956,4.778251241077669e-05
1957,4.755417103297077e-05
1958,4.8145906475838274e-05
1959,5.027731822337955e-05
1960,5.2795014198636636e-05
1961,5.3010844567324966e-05
1962,5.587615305557847e-05
1963,5.633638647850603e-05
1964,5.682048504240811e-05
1965,5.742298162658699e-05
1966,5.885016071260907e-05
1967,5.943685755482875e-05
1968,6.427412881748751e-05
1969,6.340703112073243e-05
1970,6.310277967713773e-05
1971,6.365212902892381e-05
1972,6.455078982980922e-05
1973,6.542911432916299e-05
1974,6.629018025705591e-05
1975,6.67701315251179e-05
