,forums
1800,1.9842328669028575e-08
1801,8.101193493814662e-09
1802,1.0934006411389419e-07
1803,6.62778916193929e-08
1804,3.2503834290764644e-08
1805,4.254442487194865e-08
1806,9.58229904313157e-08
1807,7.047291461503846e-08
1808,7.452744199554218e-08
1809,6.696447485410317e-08
1810,5.858194285224272e-08
1811,6.919677986161332e-08
1812,6.965605336972658e-08
1813,1.1289170487316369e-07
1814,5.5783377916895915e-08
1815,1.3367662177188322e-07
1816,5.295637706126399e-08
1817,1.1701655466822558e-07
1818,1.2843857177813334e-07
1819,8.386616912048339e-08
1820,1.3913422947098297e-07
1821,1.0652574644609558e-07
1822,7.785407518667853e-08
1823,7.222450193467012e-08
1824,6.11918267168221e-08
1825,4.8909409855468766e-08
1826,8.554182784337172e-08
1827,7.792372969106509e-08
1828,8.242754034881727e-08
1829,6.635901428353463e-08
1830,6.295150711821407e-08
1831,9.035970549575723e-08
1832,3.133530128707207e-07
1833,6.137612729162356e-08
1834,9.103676745780831e-08
1835,8.761879399799e-08
1836,5.542539227576526e-08
1837,6.337492663988087e-08
1838,6.099431715256287e-08
1839,6.410224528963226e-08
1840,1.0624961532812449e-07
1841,1.223501726599352e-07
1842,9.177131943260974e-08
1843,5.767209287910191e-08
1844,6.955774267680681e-08
1845,5.874771602520923e-08
1846,6.931227858331113e-08
1847,8.321143951661725e-08
1848,7.755044606483352e-08
1849,1.0180919929325682e-07
1850,7.084778985699813e-08
1851,7.924244016521698e-08
1852,6.169298671920842e-08
1853,7.277137115124788e-08
1854,6.760003401495851e-08
1855,7.821874703495268e-08
1856,1.199244650251785e-07
1857,5.620857024268844e-08
1858,8.71004033342615e-08
1859,7.305724381012624e-08
1860,6.536627950026741e-08
1861,4.6370828954422905e-08
1862,4.6489123661785925e-08
1863,3.543821591733831e-08
1864,8.422163944032945e-08
1865,7.059504980588827e-08
1866,6.2823048097016e-08
1867,5.769152267021127e-08
1868,6.408427566384489e-08
1869,6.100643901163494e-08
1870,6.594220991473776e-08
1871,5.426696603194614e-08
1872,5.2649227200163295e-08
1873,4.671352371588e-08
1874,6.731568902296203e-08
1875,6.019901377385395e-08
1876,6.935756147186112e-08
1877,7.121536071963419e-08
1878,4.3524806869754684e-08
1879,6.976421218496398e-08
1880,6.287805831561855e-08
1881,5.714944251167253e-08
1882,6.598710911021044e-08
1883,6.445790035058963e-08
1884,4.5517587921040104e-08
1885,4.151667098994949e-08
1886,6.206091995863972e-08
1887,4.506460982156568e-08
1888,4.063258884912102e-08
1889,6.25709830615051e-08
1890,8.530606265821916e-08
1891,4.612085646726882e-08
1892,4.653185214920086e-08
1893,3.984071028639846e-08
1894,7.097720100546212e-08
1895,5.316776352515262e-08
1896,5.5209646632192744e-08
1897,5.025878380138238e-08
1898,4.431133859839065e-08
1899,5.8063754693193914e-08
1900,8.712498100749144e-08
1901,4.4572313839807975e-08
1902,4.1181642984611244e-08
1903,5.692240279131511e-08
1904,7.2573868692416e-08
1905,4.784962825965522e-08
1906,5.779534006933318e-08
1907,5.948323078541762e-08
1908,5.048235962590297e-08
1909,5.1370118825389e-08
1910,4.901948358337904e-08
1911,5.629771138160322e-08
1912,7.389377287836396e-08
