,from
1800,0.004276513587683439
1801,0.004364647436887026
1802,0.004402969032526016
1803,0.004428976681083441
1804,0.00427610008046031
1805,0.004335182718932629
1806,0.004189535975456238
1807,0.0043137772008776665
1808,0.004184692166745663
1809,0.004330145660787821
1810,0.004178185947239399
1811,0.004151307512074709
1812,0.0042059882543981075
1813,0.004404883366078138
1814,0.0043411459773778915
1815,0.004357051104307175
1816,0.004055388737469912
1817,0.004274512641131878
1818,0.00442266883328557
1819,0.0044562541879713535
1820,0.004264849238097668
1821,0.004139900207519531
1822,0.004230978433042765
1823,0.004237994085997343
1824,0.0042054117657244205
1825,0.004220578819513321
1826,0.0041991607286036015
1827,0.00427967170253396
1828,0.004274254199117422
1829,0.004315601196140051
1830,0.0042641484178602695
1831,0.004304386675357819
1832,0.004076069686561823
1833,0.00429466413334012
1834,0.00434844009578228
1835,0.004281246569007635
1836,0.004336366429924965
1837,0.004301787354052067
1838,0.004276340827345848
1839,0.004265164025127888
1840,0.0042328424751758575
1841,0.004270611796528101
1842,0.004262745846062899
1843,0.004164028447121382
1844,0.004179951269179583
1845,0.004229230340570211
1846,0.004182309377938509
1847,0.0042068143375217915
1848,0.004218106623739004
1849,0.004232961684465408
1850,0.0041830106638371944
1851,0.004200297873467207
1852,0.004197060130536556
1853,0.004163418430835009
1854,0.004209550563246012
1855,0.004175798036158085
1856,0.00415782630443573
1857,0.004077621269971132
1858,0.004093036986887455
1859,0.004081214778125286
1860,0.004048211965709925
1861,0.004033634904772043
1862,0.004042820073664188
1863,0.004037965554744005
1864,0.003996590152382851
1865,0.003988080658018589
1866,0.004004510585218668
1867,0.003978247754275799
1868,0.003988223150372505
1869,0.0039052297361195087
1870,0.003981280140578747
1871,0.003949258476495743
1872,0.0038955349009484053
1873,0.003963077906519175
1874,0.003969225101172924
1875,0.003940120805054903
1876,0.003984775859862566
1877,0.003917229361832142
1878,0.00397241348400712
1879,0.0039043298456817865
1880,0.0039337994530797005
1881,0.0039015929214656353
1882,0.003969396464526653
1883,0.0038659628480672836
1884,0.003925379365682602
1885,0.003886294784024358
1886,0.00388407614082098
1887,0.0038623660802841187
1888,0.0038566268049180508
1889,0.0038844705559313297
1890,0.0038814006838947535
1891,0.0038420858327299356
1892,0.0038490663282573223
1893,0.003810415742918849
1894,0.00382225401699543
1895,0.003825980005785823
1896,0.003806008957326412
1897,0.0038031835574656725
1898,0.0038386271335184574
1899,0.0037410135846585035
1900,0.003786706365644932
1901,0.003751566633582115
1902,0.003806981025263667
1903,0.003767892951145768
1904,0.003775889053940773
1905,0.0037658473011106253
1906,0.003769936040043831
1907,0.0037696552462875843
1908,0.003760960651561618
1909,0.0037529405672103167
1910,0.0037427444476634264
1911,0.0037630824372172356
1912,0.0037458681035786867
1913,0.003712398000061512
1914,0.0037266963627189398
1915,0.003685183357447386
1916,0.003724432084709406
1917,0.003674312261864543
1918,0.003636345500126481
1919,0.003588550491258502
1920,0.003643735544756055
1921,0.00361197954043746
1922,0.00364791345782578
1923,0.003658242290839553
1924,0.003698514774441719
1925,0.0037342424038797617
1926,0.0037181575316935778
1927,0.00366572686471045
1928,0.0037400517612695694
1929,0.00366777996532619
1930,0.0037016363348811865
1931,0.003676606109365821
1932,0.0036791665479540825
1933,0.003671606769785285
1934,0.0036628330126404762
1935,0.0036617571022361517
1936,0.0036350416485220194
1937,0.0036129315849393606
1938,0.0036377357318997383
1939,0.003623556112870574
1940,0.003624584525823593
1941,0.003539628814905882
1942,0.0035753671545535326
1943,0.003562319092452526
1944,0.0035474456381052732
1945,0.0035408406984061003
1946,0.003529980778694153
1947,0.0035151969641447067
1948,0.0035403319634497166
1949,0.003568554762750864
1950,0.0036043396685272455
1951,0.003521537408232689
1952,0.003576569026336074
1953,0.003549715271219611
1954,0.003545012092217803
1955,0.003538522869348526
1956,0.003559049451723695
1957,0.0035492987371981144
1958,0.0035776481963694096
1959,0.00357638718560338
1960,0.0035598892718553543
1961,0.003565866034477949
1962,0.003587266430258751
1963,0.003552667098119855
1964,0.003576411632820964
1965,0.0035479820799082518
1966,0.0035133743658661842
1967,0.003496675519272685
1968,0.0034950945992022753
1969,0.0035231367219239473
1970,0.0034553944133222103
1971,0.0034402217715978622
1972,0.003428525058552623
1973,0.0033729798160493374
1974,0.0033913967199623585
1975,0.0033757658675312996
1976,0.0033685024827718735
1977,0.003332101507112384
1978,0.0032996591180562973
1979,0.0033084945753216743
1980,0.0033201260957866907
1981,0.0033117029815912247
1982,0.0032802873756736517
1983,0.0033179547172039747
1984,0.003272782312706113
1985,0.0032716740388423204
1986,0.003262059297412634
1987,0.0032734477426856756
1988,0.003249111119657755
1989,0.0032260597217828035
1990,0.003246868494898081
1991,0.003232397837564349
1992,0.0032381240744143724
1993,0.0032259738072752953
1994,0.0032048248685896397
1995,0.0032016041222959757
1996,0.0032394977752119303
1997,0.003238401608541608
1998,0.0032509597949683666
1999,0.0032448533456772566
2000,0.0032543055713176727
2001,0.003232811111956835
2002,0.0032339831814169884
2003,0.003254852257668972
2004,0.003277018666267395
2005,0.003280472243204713
2006,0.003285238053649664
2007,0.003287551924586296
2008,0.0032820627093315125
2009,0.0032895803451538086
2010,0.003308848710730672
2011,0.0032913899049162865
2012,0.0033054789528250694
2013,0.0033519561402499676
2014,0.0032697224523872137
2015,0.0032801234629005194
2016,0.0032711720559746027
2017,0.003218263853341341
2018,0.003160713240504265
2019,0.0032252881210297346
