,full
1800,0.0002144796890206635
1801,0.00020680321904364973
1802,0.00020692608086392283
1803,0.00019041638006456196
1804,0.00020003509416710585
1805,0.00022037708549760282
1806,0.00020801696518901736
1807,0.00021882694272790104
1808,0.00022536372125614434
1809,0.00021842002752237022
1810,0.00022550679568666965
1811,0.0002155677357222885
1812,0.00021235218446236104
1813,0.0002101356949424371
1814,0.0002193779801018536
1815,0.0002268191601615399
1816,0.00020552099158521742
1817,0.0002117473050020635
1818,0.00021123142505530268
1819,0.0002094737283186987
1820,0.00021115297568030655
1821,0.00021508049394469708
1822,0.0002194990374846384
1823,0.00021728327556047589
1824,0.00021814616047777236
1825,0.000216448592254892
1826,0.00022042063937988132
1827,0.00022095789609011263
1828,0.00021973231923766434
1829,0.0002194351691287011
1830,0.00022120645735412836
1831,0.00022281776182353497
1832,0.00023011474695522338
1833,0.00022181065287441015
1834,0.00022539598285220563
1835,0.00022250047186389565
1836,0.00021907001791987568
1837,0.00022061045456212014
1838,0.00022437814914155751
1839,0.00023053900804370642
1840,0.00022911808628123254
1841,0.00022384471958503127
1842,0.0002240986650576815
1843,0.00022825079213362187
1844,0.00023309682728722692
1845,0.0002301122440258041
1846,0.00023104857245925814
1847,0.00023615360260009766
1848,0.00023583277652505785
1849,0.00023588734620716423
1850,0.00023703972692601383
1851,0.00023012617020867765
1852,0.00023718771990388632
1853,0.00023722834885120392
1854,0.0002344174135942012
1855,0.0002375719341216609
1856,0.00023915099154692143
1857,0.00023970127222128212
1858,0.00023528942256234586
1859,0.00023870027507655323
1860,0.00023733654234092683
1861,0.0002352327574044466
1862,0.00023720585159026086
1863,0.00023764056095387787
1864,0.00023862917441874743
1865,0.0002409685985185206
1866,0.00024183433561120182
1867,0.00023764588695485145
1868,0.00023838049673940986
1869,0.0002453839988447726
1870,0.00024138599110301584
1871,0.0002442763070575893
1872,0.00023647483612876385
1873,0.0002421809476800263
1874,0.0002457102236803621
1875,0.00024051713990047574
1876,0.00024178647436201572
1877,0.00024247606052085757
1878,0.0002455680805724114
1879,0.0002444205165375024
1880,0.0002462123811710626
1881,0.0002461710828356445
1882,0.00024786347057670355
1883,0.00024606319493614137
1884,0.00024717242922633886
1885,0.0002473476924933493
1886,0.00024562946055084467
1887,0.0002473931817803532
1888,0.0002480377734173089
1889,0.00024660208146087825
1890,0.00024713706807233393
1891,0.00024624585057608783
1892,0.00025027175433933735
1893,0.00024674308951944113
1894,0.0002543885784689337
1895,0.0002454009954817593
1896,0.0002480433904565871
1897,0.0002446362632326782
1898,0.0002448853338137269
1899,0.00024853606009855866
1900,0.00024263579689431936
1901,0.00023783231154084206
1902,0.00023674829571973532
1903,0.00023612589575350285
1904,0.00023877486819401383
1905,0.00023757714370731264
1906,0.000235966537729837
1907,0.00023328291717916727
1908,0.00023095936921890825
1909,0.00023054235498420894
1910,0.0002284642105223611
1911,0.00022194988559931517
1912,0.000225229756324552
1913,0.00022619578521698713
1914,0.00022645553690381348
1915,0.00022768510098103434
1916,0.00022571647423319519
1917,0.0002284267684444785
1918,0.000229600744205527
1919,0.000232764970860444
1920,0.00023308236268348992
