,gallery
1800,1.1020429155905731e-05
1801,9.539155144011602e-06
1802,1.2128336493333336e-05
1803,9.993553248932585e-06
1804,9.169330951408483e-06
1805,7.952769010444172e-06
1806,1.1628979336819611e-05
1807,9.646247235650662e-06
1808,9.833986950980034e-06
1809,1.1716973858710844e-05
1810,1.032946147461189e-05
1811,9.748508091433905e-06
1812,9.630265594751108e-06
1813,1.092456113838125e-05
1814,1.2047568816342391e-05
1815,1.2694266843027435e-05
1816,1.0800385098264087e-05
1817,1.0666059097275138e-05
1818,1.1352617548254784e-05
1819,1.3301440958457533e-05
1820,1.4415984878723975e-05
1821,1.3674146430275869e-05
1822,1.1340393029968254e-05
1823,1.346264616586268e-05
1824,1.538164542580489e-05
1825,1.2946145943715237e-05
1826,1.3721105460717808e-05
1827,1.3184131603338756e-05
1828,1.518350745755015e-05
1829,1.3863227650290355e-05
1830,1.1862698556797113e-05
1831,1.2628734111785889e-05
1832,8.846688615449239e-06
1833,1.269084805244347e-05
1834,1.2613144463102799e-05
1835,1.1805886970250867e-05
1836,1.2150862858106848e-05
1837,1.2417996913427487e-05
1838,1.2957772923982702e-05
1839,1.3624880011775531e-05
1840,1.1853337127831765e-05
1841,1.3842666703567374e-05
1842,1.3855878023605328e-05
1843,1.2536008398456033e-05
1844,1.1359955351508688e-05
1845,1.2191428140795324e-05
1846,1.195430195366498e-05
1847,1.2489195796661079e-05
1848,1.2004435120616108e-05
1849,1.1414500477258116e-05
1850,1.2942236025992315e-05
1851,1.3184487215767149e-05
1852,1.278399122384144e-05
1853,1.3557406418840401e-05
1854,1.3701682291866746e-05
1855,1.1538858416315634e-05
1856,1.1967110367550049e-05
1857,1.336208515567705e-05
1858,1.1371564141882118e-05
1859,1.2300056368985679e-05
1860,1.2251123735040892e-05
1861,1.1929399988730438e-05
1862,1.4082365851209033e-05
1863,1.1055015420424752e-05
1864,1.0071405995404348e-05
1865,1.230967063747812e-05
1866,1.1327864740451332e-05
1867,1.2917626918351743e-05
1868,1.1612255548243411e-05
1869,1.2182396858406719e-05
1870,1.2058349966537207e-05
1871,1.184933353215456e-05
1872,1.0242214557365514e-05
1873,1.0849068530660588e-05
1874,1.1652999091893435e-05
1875,1.1777793588407803e-05
1876,1.1971552339673508e-05
1877,1.1269274182268418e-05
1878,1.1470892786746845e-05
1879,1.1640963748504873e-05
1880,1.14761023723986e-05
1881,1.1415664630476385e-05
1882,1.0666693924576975e-05
1883,1.0981093510054052e-05
1884,1.0212732377112843e-05
1885,1.0505759746592958e-05
1886,1.034595970850205e-05
1887,1.037617948895786e-05
1888,1.0122594176209532e-05
1889,9.731911632115953e-06
1890,1.0807369108079001e-05
1891,1.0692666364775505e-05
1892,1.0784214282466564e-05
1893,1.2033665370836388e-05
1894,1.0065499736811034e-05
1895,9.453637176193297e-06
1896,9.520919775241055e-06
1897,9.453909115109127e-06
1898,9.805402441998012e-06
1899,1.0364651643612888e-05
1900,1.1001284292433411e-05
1901,9.863612831395585e-06
1902,9.00437225936912e-06
1903,9.470496479480062e-06
1904,1.028389760904247e-05
1905,9.815200428420212e-06
1906,9.261424565920606e-06
1907,9.39846177061554e-06
1908,9.151395715889521e-06
1909,8.919286301534157e-06
1910,9.20345883059781e-06
1911,9.682533345767297e-06
1912,7.994900443009101e-06
1913,8.1136058724951e-06
1914,7.379802809737157e-06
1915,6.62935099171591e-06
1916,5.952881565463031e-06
1917,5.8495775192568544e-06
1918,5.223310836299788e-06
1919,5.4656020438415e-06
1920,5.697754204447847e-06
1921,5.674097337760031e-06
1922,5.895512913411949e-06
1923,7.12061091689975e-06
1924,6.703550297970651e-06
1925,7.263284715008922e-06
1926,7.195681519078789e-06
1927,6.994961040618364e-06
1928,6.1895884755358566e-06
1929,6.566213869518833e-06
1930,6.5795543378044385e-06
1931,6.13917336522718e-06
1932,6.513267180707771e-06
1933,5.283965492708376e-06
1934,5.447966486826772e-06
1935,5.972331109660445e-06
1936,5.567299922404345e-06
1937,6.338187631627079e-06
1938,5.9249850892229006e-06
1939,6.4254259086737875e-06
1940,5.21483207194251e-06
1941,5.03679893881781e-06
1942,4.545176125247963e-06
1943,3.895788722729776e-06
1944,4.118335709790699e-06
1945,4.637180609279312e-06
1946,5.222425897954963e-06
1947,5.0682838264037855e-06
1948,4.943264684698079e-06
1949,4.777338290296029e-06
1950,5.535907803277951e-06
1951,5.202521151659312e-06
1952,5.129211785970256e-06
1953,5.090188551548636e-06
1954,4.973053819412598e-06
1955,4.743375029647723e-06
1956,5.045674242865061e-06
1957,4.709092081611743e-06
1958,4.717675892607076e-06
1959,4.8158085519389715e-06
1960,5.004460945201572e-06
1961,5.116313332109712e-06
1962,5.086248165753204e-06
1963,4.9333925744576845e-06
1964,4.830000762012787e-06
1965,5.009715096093714e-06
1966,5.012619112676475e-06
1967,5.1694623834919184e-06
1968,5.668644007528201e-06
1969,4.96105076308595e-06
1970,5.645080818794668e-06
1971,4.63908281744807e-06
1972,4.943606654705945e-06
1973,4.707367224909831e-06
1974,4.4069938667234965e-06
1975,4.534370418696199e-06
1976,4.729878128273413e-06
1977,4.47916318080388e-06
1978,4.832248578168219e-06
1979,4.296083261579042e-06
1980,5.094339030620176e-06
1981,4.796267148776678e-06
1982,5.268091172183631e-06
1983,5.066994617664022e-06
1984,5.361314379115356e-06
1985,5.289472937874962e-06
1986,5.723195499740541e-06
1987,5.563017111853696e-06
1988,5.5421332945115864e-06
1989,6.021095941832755e-06
1990,6.015189683239441e-06
1991,6.226069672266021e-06
1992,5.868098924111109e-06
1993,6.268653123697732e-06
1994,6.328346898953896e-06
1995,6.041766482667299e-06
1996,7.184608421084704e-06
1997,7.0607211455353536e-06
1998,6.959680376894539e-06
1999,7.580596957268426e-06
2000,7.391855888272403e-06
2001,7.268242825375637e-06
2002,7.2230127443617675e-06
2003,7.481449301849352e-06
2004,8.098387297650333e-06
2005,8.071180673141498e-06
2006,8.382989108213224e-06
2007,9.207958100887481e-06
2008,8.530598279321566e-06
2009,8.54389145388268e-06
2010,9.721796232042834e-06
2011,8.799826900940388e-06
2012,7.470124273822876e-06
2013,8.540067938156426e-06
2014,8.171769877662882e-06
2015,8.677498044562526e-06
2016,9.15404234547168e-06
2017,8.866775715432595e-06
2018,9.068140570889227e-06
2019,8.365011126443278e-06
