,get
1800,0.00014242426550481468
1801,0.00010796865535667166
1802,8.219008304877207e-05
1803,8.0899364547804e-05
1804,8.661621541250497e-05
1805,8.351470751222223e-05
1806,8.499990508425981e-05
1807,8.02750582806766e-05
1808,9.6287636552006e-05
1809,9.316025534644723e-05
1810,8.379121572943404e-05
1811,9.591496927896515e-05
1812,9.679278446128592e-05
1813,9.175197192234918e-05
1814,9.294495248468593e-05
1815,8.424468251178041e-05
1816,9.322495316155255e-05
1817,9.280582889914513e-05
1818,8.591458754381165e-05
1819,7.931343134259805e-05
1820,9.435939136892557e-05
1821,9.370881889481097e-05
1822,9.183309157378972e-05
1823,9.40146273933351e-05
1824,0.00010325490438845009
1825,9.907125058816746e-05
1826,0.00010111732262885198
1827,9.290949674323201e-05
1828,9.392041829414666e-05
1829,9.074927220353857e-05
1830,9.865598985925317e-05
1831,9.726411371957511e-05
1832,0.00013539358042180538
1833,0.00011326764069963247
1834,0.0001126131319324486
1835,0.00010548706632107496
1836,0.00010882486822083592
1837,0.00011320738849462941
1838,0.00011160376016050577
1839,0.00010794240370159969
1840,0.00011059880489483476
1841,0.00011091443593613803
1842,0.00011204270413145423
1843,0.00011615847324719653
1844,0.00011530028859851882
1845,0.00011219493899261579
1846,0.00011226936476305127
1847,0.00011251214891672134
1848,0.00011951691703870893
1849,0.0001162314074463211
1850,0.00012077257269993424
1851,0.00011601016740314662
1852,0.0001308252540184185
1853,0.0001328649086644873
1854,0.00012491803499870002
1855,0.00012767530279234052
1856,0.0001341738534392789
1857,0.000137465656735003
1858,0.0001371732068946585
1859,0.0001350421371171251
1860,0.0001523947430541739
1861,0.00014996608661022037
1862,0.00015936684212647378
1863,0.00015324381820391864
1864,0.00016496330499649048
1865,0.00016710472118575126
1866,0.0001676195824984461
1867,0.00016783947648946196
1868,0.0001727411727188155
1869,0.00017870425654109567
1870,0.00017270748503506184
1871,0.00016948890697676688
1872,0.00020133730140514672
1873,0.0001745149347698316
1874,0.00018159188039135188
1875,0.00017268030205741525
1876,0.00018283554527442902
1877,0.00018091734091285616
1878,0.00018034770619124174
1879,0.00017984274018090218
1880,0.00017720015603117645
1881,0.0001737797720124945
1882,0.0001903669472085312
1883,0.00018240089411847293
1884,0.00018890859792008996
1885,0.0001943116367328912
1886,0.0001953844039235264
1887,0.00019841734319925308
1888,0.0002013549965340644
1889,0.00020391709404066205
1890,0.00019728409824892879
1891,0.00020603867596946657
1892,0.00020782444335054606
1893,0.0002084678562823683
1894,0.00021952262613922358
1895,0.00020380871137604117
1896,0.00021257845219224691
1897,0.0002039015816990286
1898,0.0002049003669526428
1899,0.00022232475748751312
1900,0.0002266557712573558
1901,0.00021708509302698076
1902,0.00021642088540829718
1903,0.0002195006381953135
1904,0.00022293553047347814
1905,0.00022079385234974325
1906,0.0002315068122697994
1907,0.00023556446831207722
1908,0.0002455198555253446
1909,0.00025267931050620973
1910,0.00024142864276655018
1911,0.0002502819406799972
1912,0.0002594161487650126
1913,0.00026968776364810765
1914,0.0002620730665512383
1915,0.00025062423082999885
1916,0.0002830273879226297
1917,0.0002655658172443509
1918,0.0002834006445482373
1919,0.00029776827432215214
1920,0.0002935179800260812
1921,0.0002766446559689939
1922,0.0002718305913731456
1923,0.0002551667857915163
1924,0.0002843729162123054
1925,0.0002482040727045387
1926,0.00025257226661778986
1927,0.00023672639508731663
1928,0.00025023450143635273
1929,0.000246481504291296
1930,0.00024411999038420618
1931,0.00022673890634905547
1932,0.0002369124413235113
1933,0.00021934194955974817
1934,0.00024312826280947775
1935,0.0002434010530123487
1936,0.0002453987253829837
1937,0.00023494826746173203
1938,0.0002323188673472032
1939,0.00024837441742420197
1940,0.00024865660816431046
1941,0.000258615764323622
1942,0.000285183428786695
1943,0.00030050077475607395
1944,0.00029850334976799786
1945,0.0002986284380313009
1946,0.000296445214189589
1947,0.0002875474456232041
1948,0.0002793101011775434
1949,0.0002491463965270668
1950,0.00025435053976252675
1951,0.0002807823184411973
1952,0.00026409540441818535
1953,0.00026100300601683557
1954,0.0002533824590500444
1955,0.0002647273358888924
1956,0.00026437517954036593
1957,0.00025701173581182957
1958,0.00024833009229041636
1959,0.00023578928085044026
1960,0.00022686524607706815
1961,0.00022644463751930743
1962,0.00022167489805724472
1963,0.00021651912538800389
1964,0.0002161190495826304
1965,0.000214356419746764
1966,0.00022261924459598958
1967,0.00022272372734732926
1968,0.00022536059259437025
1969,0.0002286942908540368
1970,0.00022759760031476617
1971,0.00021401567209977657
1972,0.00021917147387284786
1973,0.0002185423654736951
1974,0.00022372980311047286
1975,0.00021515686239581555
1976,0.00021368276793509722
1977,0.0002141321892850101
1978,0.00020983861759305
1979,0.00021114882838446647
1980,0.0002144848695024848
1981,0.00020701237372122705
1982,0.00021060234575998038
1983,0.00021334606572054327
1984,0.00022261234698817134
1985,0.00021504799951799214
1986,0.00022672976774629205
1987,0.000225586278247647
1988,0.00023310689721256495
1989,0.00023292408150155097
1990,0.00023608010087627918
1991,0.00024104409385472536
1992,0.00024465113529004157
1993,0.00024322204990312457
1994,0.00025373895186930895
1995,0.00025086267851293087
1996,0.0002595267433207482
1997,0.00027037382824346423
1998,0.00027347367722541094
1999,0.00028408048092387617
2000,0.00032396175083704293
2001,0.0003300430253148079
2002,0.0003429095959290862
