,going
1800,0.0001296775444643572
1801,0.00010309983917977661
1802,9.160595072899014e-05
1803,9.024167229654267e-05
1804,8.982759027276188e-05
1805,8.553252700949088e-05
1806,9.038564894581214e-05
1807,8.273092680610716e-05
1808,0.00010445475345477462
1809,9.784052963368595e-05
1810,8.699272439116612e-05
1811,9.86811937764287e-05
1812,9.641410724725574e-05
1813,9.728976874612272e-05
1814,9.693838364910334e-05
1815,9.293198672821745e-05
1816,0.00010632961493683979
1817,9.94552974589169e-05
1818,9.389805927639827e-05
1819,8.749105472816154e-05
1820,0.00011993850057478994
1821,9.893735114019364e-05
1822,9.442752343602479e-05
1823,9.964194759959355e-05
1824,0.00010342048335587606
1825,0.00010182065307162702
1826,9.852844959823415e-05
1827,9.531668183626607e-05
1828,9.617787145543844e-05
1829,9.01346211321652e-05
1830,9.464392496738583e-05
1831,9.608866093913093e-05
1832,0.00011748868564609438
1833,0.00010573305189609528
1834,0.00010111583833349869
1835,9.959038288798183e-05
1836,0.0001017344620777294
1837,0.0001060186987160705
1838,0.00010623626440064982
1839,0.00010338064021198079
1840,0.00010570969607215375
1841,0.00010526175174163654
1842,0.0001029164923238568
1843,0.00010474416194483638
1844,0.00010670648043742403
1845,9.760975081007928e-05
1846,0.00010459773329785094
1847,0.00010586786083877087
1848,0.00011291064583929256
1849,0.00010584367555566132
1850,0.000109046624857001
1851,0.00010551379818934947
1852,0.00011186104529770091
1853,0.00011929753236472607
1854,0.0001114035549107939
1855,0.00011415407061576843
1856,0.00011527071910677478
1857,0.000117816700367257
1858,0.00011891409667441621
1859,0.00011401208757888526
1860,0.00012654911552090198
1861,0.000125301638036035
1862,0.00013391852553468198
1863,0.00012945196067448705
1864,0.00013276652316562831
1865,0.000136690738145262
1866,0.0001349522644886747
1867,0.00013642660633195192
1868,0.00013791183300781995
1869,0.00014427650603465736
1870,0.00014015140186529607
1871,0.00013464230869431049
1872,0.0001522781967651099
1873,0.0001355573331238702
1874,0.00013740437861997634
1875,0.00013241490523796529
1876,0.00013710024359170347
1877,0.00013882572238799185
1878,0.00013378712174016982
1879,0.00013775238767266273
1880,0.00013282342115417123
1881,0.00013306269829627126
1882,0.00013720210699830204
1883,0.00013619470701087266
1884,0.00013873231364414096
1885,0.00013786392810288817
1886,0.00013587383728008717
1887,0.00013928659609518945
1888,0.00013663012941833586
1889,0.00013696748646907508
1890,0.00013694581866730005
1891,0.0001386149087920785
1892,0.00014057583757676184
1893,0.00014414919132832438
