,guide
1800,3.0910377972759306e-05
1801,3.1801235309103504e-05
1802,2.8579810532392003e-05
1803,2.536714237066917e-05
1804,3.0501596484100446e-05
1805,2.8070204280084e-05
1806,2.9191613066359423e-05
1807,2.8829828806919977e-05
1808,3.281752287875861e-05
1809,2.854315607692115e-05
1810,3.327307786094025e-05
1811,2.8827047572121955e-05
1812,2.4986260541481897e-05
1813,2.4961271265055984e-05
1814,2.722228782658931e-05
1815,3.1566065445076674e-05
1816,2.6102063202415593e-05
1817,2.9039121727691963e-05
1818,3.0806328140897676e-05
1819,3.1720050174044445e-05
1820,3.313313573016785e-05
1821,3.3576914574950933e-05
1822,3.6102195736020803e-05
1823,3.3079853892559186e-05
1824,3.3347743737977e-05
1825,3.401998765184544e-05
1826,3.267107967985794e-05
1827,3.317485607112758e-05
1828,3.315271169412881e-05
1829,3.359425318194553e-05
1830,3.432833545957692e-05
1831,3.404707240406424e-05
1832,2.6908513973467052e-05
1833,3.3232503483304754e-05
1834,3.53612813341897e-05
1835,3.5631641367217526e-05
1836,3.569510590750724e-05
1837,3.2565410947427154e-05
1838,3.308355007902719e-05
1839,3.334683060529642e-05
1840,3.20261278830003e-05
1841,3.390809433767572e-05
1842,3.391825521248393e-05
1843,3.4268861782038584e-05
1844,3.51477247022558e-05
1845,3.4587079426273704e-05
1846,3.296831710031256e-05
1847,3.395868043298833e-05
1848,3.2747779187047854e-05
1849,3.487946742097847e-05
1850,3.534583447617479e-05
1851,3.475871926639229e-05
1852,3.5878609196515754e-05
1853,3.3440603147028014e-05
1854,3.596906753955409e-05
1855,3.568686224753037e-05
1856,3.6337787605589256e-05
1857,3.5778699384536594e-05
1858,3.6942699807696044e-05
1859,3.487857247819193e-05
1860,3.625739554991014e-05
1861,3.750190444407053e-05
1862,3.415799073991366e-05
1863,3.509877933538519e-05
1864,3.373689469299279e-05
1865,3.361728522577323e-05
1866,3.319128882139921e-05
1867,3.501776518533006e-05
1868,3.338140595587902e-05
1869,3.311627369839698e-05
1870,3.307516089989804e-05
1871,3.3684416848700494e-05
1872,3.391718564671464e-05
1873,3.338657188578509e-05
1874,3.335421206429601e-05
1875,3.1917803426040336e-05
1876,3.244869003538042e-05
1877,3.110970646957867e-05
1878,3.090766767854802e-05
1879,3.105258656432852e-05
1880,3.1874773412710056e-05
1881,3.1350660719908774e-05
1882,3.127568925265223e-05
1883,3.104845018242486e-05
1884,3.190451388945803e-05
1885,3.111889964202419e-05
1886,2.8888907763757743e-05
1887,2.9072867619106546e-05
1888,3.001468394359108e-05
1889,3.0150715247145854e-05
1890,3.078388181165792e-05
1891,3.075164568144828e-05
1892,3.125273360637948e-05
1893,3.4200860682176426e-05
1894,3.141583511023782e-05
1895,3.1599112844560295e-05
1896,3.028507489943877e-05
1897,3.147931784042157e-05
1898,3.085373100475408e-05
1899,3.165492307743989e-05
1900,3.0236789825721644e-05
1901,2.9856884793844074e-05
1902,3.0390521715162322e-05
1903,3.1947889510774985e-05
1904,3.1893276172922924e-05
1905,3.1914016290102154e-05
1906,2.849432894436177e-05
1907,3.131770063191652e-05
1908,3.084877971559763e-05
1909,3.0756582418689504e-05
1910,3.0655020964331925e-05
1911,2.8819240469601937e-05
1912,3.0199207685654983e-05
1913,2.88101418846054e-05
1914,2.9274206099216826e-05
1915,2.8599146389751695e-05
1916,2.8588503482751548e-05
1917,2.9286153221619315e-05
1918,2.8589860448846593e-05
1919,2.5739978809724562e-05
1920,2.5983765226555988e-05
