,his
1800,0.006301236804574728
1801,0.006248535588383675
1802,0.00637197308242321
1803,0.0061103287152945995
1804,0.007005317136645317
1805,0.006916608661413193
1806,0.007093785796314478
1807,0.006718907039612532
1808,0.006841837428510189
1809,0.006307065486907959
1810,0.007135087624192238
1811,0.006715834140777588
1812,0.006914927624166012
1813,0.006408532615751028
1814,0.006668515503406525
1815,0.006667589768767357
1816,0.0068543776869773865
1817,0.006421985570341349
1818,0.006043597124516964
1819,0.005854927469044924
1820,0.0066781057976186275
1821,0.006598926614969969
1822,0.006506547797471285
1823,0.006439604330807924
1824,0.006562619004398584
1825,0.006706105545163155
1826,0.0064536589197814465
1827,0.006629121024161577
1828,0.006376400589942932
1829,0.0061380909755826
1830,0.0064747510477900505
1831,0.006280089728534222
1832,0.004944978281855583
1833,0.006221596617251635
1834,0.005923500284552574
1835,0.00595829775556922
1836,0.005896524526178837
1837,0.005866403691470623
1838,0.005788204725831747
1839,0.006058607716113329
1840,0.005909444764256477
1841,0.00582196144387126
1842,0.005729394033551216
1843,0.005727517884224653
1844,0.005944219417870045
1845,0.005720361135900021
1846,0.005753353703767061
1847,0.005687321070581675
1848,0.005622446071356535
1849,0.005547568202018738
1850,0.005610927008092403
1851,0.005358629859983921
1852,0.005344504024833441
1853,0.0054901884868741035
1854,0.005444534122943878
1855,0.005299076903611422
1856,0.005348082631826401
1857,0.005438040941953659
1858,0.005189101677387953
1859,0.005212113261222839
1860,0.005137200001627207
1861,0.004901062697172165
1862,0.00477059930562973
1863,0.00492146285250783
1864,0.0048964787274599075
1865,0.004834402818232775
1866,0.004752506036311388
1867,0.0047024330124258995
1868,0.004602551925927401
1869,0.0046539283357560635
1870,0.004534743260592222
1871,0.004507647827267647
1872,0.004352569580078125
1873,0.004405072890222073
1874,0.004299007821828127
1875,0.004432781133800745
1876,0.004279679618775845
1877,0.0042600128799676895
1878,0.004139098338782787
1879,0.004303127992898226
1880,0.004496169276535511
1881,0.00432793702930212
1882,0.004207486752420664
1883,0.004299841821193695
1884,0.004039701074361801
1885,0.004077200312167406
1886,0.004035626072436571
1887,0.004034171812236309
1888,0.004104350693523884
1889,0.00396285904571414
1890,0.0040880655869841576
1891,0.00392098119482398
1892,0.0039758202619850636
1893,0.0038679870776832104
1894,0.0038903988897800446
1895,0.003740764921531081
1896,0.0038773522246629
1897,0.0037144343368709087
1898,0.0038380171172320843
1899,0.004126026760786772
1900,0.0038705593906342983
1901,0.003709211712703109
1902,0.003632824867963791
1903,0.003532053902745247
1904,0.0036156869027763605
1905,0.003364099655300379
1906,0.00331614981405437
1907,0.003289724001660943
1908,0.0032143231946974993
1909,0.0031719787511974573
1910,0.0032538853120058775
1911,0.0030447032768279314
1912,0.0029742594342678785
1913,0.0028002855833619833
1914,0.002772507257759571
1915,0.0026420047506690025
1916,0.0025856534484773874
1917,0.0025630269665271044
1918,0.002498284913599491
1919,0.002493438543751836
1920,0.002566169947385788
1921,0.0025301959831267595
1922,0.002675657859072089
1923,0.0027309905271977186
1924,0.002718938747420907
1925,0.002732822671532631
1926,0.0028445336502045393
1927,0.002804412506520748
1928,0.0027706115506589413
1929,0.0027547592762857676
1930,0.002668128116056323
1931,0.0025500901974737644
1932,0.002628754824399948
1933,0.0024784039705991745
1934,0.0024959116708487272
1935,0.002553942147642374
1936,0.0024979799054563046
1937,0.002495835069566965
1938,0.0023814092855900526
1939,0.0022783696185797453
1940,0.0022808925714343786
1941,0.0021623026113957167
1942,0.002190246479585767
1943,0.0021844946313649416
1944,0.002189275808632374
1945,0.002165702171623707
1946,0.002337799873203039
1947,0.0022698340471833944
1948,0.002254931256175041
1949,0.002165458397939801
1950,0.002399657852947712
1951,0.0022489021066576242
1952,0.002353405114263296
1953,0.002214999170973897
1954,0.00226021371781826
1955,0.0022022167686372995
1956,0.002198176458477974
1957,0.0021681080106645823
1958,0.0021894010715186596
1959,0.0021287461277097464
1960,0.0021550729870796204
1961,0.0021687669213861227
1962,0.002187929814681411
1963,0.0021923701278865337
1964,0.0021885186433792114
1965,0.002266728086397052
1966,0.0022277163807302713
1967,0.002284627640619874
1968,0.0023657106794416904
1969,0.002305974019691348
1970,0.0022398934233933687
1971,0.0021181225311011076
1972,0.0020329237449914217
1973,0.0019580477382987738
1974,0.0019165674457326531
1975,0.0017761442577466369
1976,0.001755905686877668
1977,0.001704038237221539
1978,0.0016830035019665956
1979,0.001659315312281251
1980,0.0016788810025900602
1981,0.001693752477876842
1982,0.0016687442548573017
1983,0.0016660342225804925
1984,0.0016641182592138648
1985,0.0016484316438436508
1986,0.0016749348724260926
1987,0.0017104509752243757
1988,0.0017175787361338735
1989,0.001702668727375567
1990,0.0016947105759754777
1991,0.0017241907771676779
1992,0.0017432230524718761
1993,0.0017388493288308382
1994,0.0017347526736557484
1995,0.0017181828152388334
1996,0.0018350944155827165
1997,0.0018243029480800033
1998,0.001938538276590407
1999,0.002021893160417676
2000,0.00218519801273942
2001,0.002226680051535368
2002,0.002222443697974086
2003,0.0022953846491873264
2004,0.002485758624970913
2005,0.0024540647864341736
2006,0.0026172015350311995
2007,0.0027076518163084984
2008,0.002977900207042694
2009,0.0031929609831422567
2010,0.0032983410637825727
2011,0.0035032297018915415
2012,0.003250392619520426
2013,0.0033606255892664194
2014,0.004033701028674841
2015,0.00391239020973444
2016,0.0035642904695123434
2017,0.004113523755222559
2018,0.003990876488387585
2019,0.003932643216103315
