,hot
1800,5.6332370149903e-05
1801,5.287649037200026e-05
1802,5.0363716582069173e-05
1803,4.2711777496151626e-05
1804,5.5425534810638055e-05
1805,4.916920079267584e-05
1806,4.934147000312805e-05
1807,5.6658085668459535e-05
1808,4.3529478716664016e-05
1809,5.456699727801606e-05
1810,4.876068123849109e-05
1811,3.978650056524202e-05
1812,3.119451503152959e-05
1813,4.4064378016628325e-05
1814,3.6014731449540704e-05
1815,4.304053072701208e-05
1816,3.377666507731192e-05
1817,3.696260318974964e-05
1818,4.42856180598028e-05
1819,4.728720887214877e-05
1820,3.986195588367991e-05
1821,4.407408778206445e-05
1822,4.249149060342461e-05
1823,4.074184107594192e-05
1824,4.329501462052576e-05
1825,3.939478119718842e-05
1826,3.952720726374537e-05
1827,4.13230482081417e-05
1828,4.134051414439455e-05
1829,4.3130043195560575e-05
1830,4.000421904493123e-05
1831,4.226980672683567e-05
1832,3.4612472518347204e-05
1833,4.0305432776222005e-05
1834,3.77067772205919e-05
1835,4.206834637443535e-05
1836,3.6843452107859775e-05
1837,3.9865153667051345e-05
1838,4.0948885725811124e-05
1839,4.162442564847879e-05
1840,4.081177758052945e-05
1841,4.09728818340227e-05
1842,4.6730699978070334e-05
1843,4.01535326091107e-05
1844,4.0710383473197e-05
1845,4.337794962339103e-05
1846,4.267111580702476e-05
1847,4.4379277824191377e-05
1848,4.264293602318503e-05
1849,4.5534736273111776e-05
1850,4.6694633056176826e-05
1851,4.3855139665538445e-05
1852,4.613544660969637e-05
1853,4.39206778537482e-05
1854,4.474634624784812e-05
1855,4.5120537834009156e-05
1856,4.715125760412775e-05
1857,4.9254264013143256e-05
1858,4.852300844504498e-05
1859,4.8023655836004764e-05
1860,4.907423863187432e-05
1861,4.9395417590858415e-05
1862,5.081047856947407e-05
1863,4.9921345635084435e-05
1864,5.357880218070932e-05
1865,5.143531961948611e-05
1866,5.2760002290597185e-05
1867,5.096106542623602e-05
1868,4.957831697538495e-05
1869,5.128380507812835e-05
1870,4.947268826072104e-05
1871,5.293758295010775e-05
1872,5.188137947698124e-05
1873,5.3336792916525155e-05
1874,5.19887289556209e-05
1875,5.2531951951095834e-05
1876,5.1836312195518985e-05
1877,5.0481674406910315e-05
1878,5.466603397508152e-05
1879,5.4162250307854265e-05
1880,5.313024666975252e-05
1881,5.41842746315524e-05
1882,5.3522388043347746e-05
1883,5.658874215441756e-05
1884,5.529259942704812e-05
1885,5.6447472161380574e-05
1886,5.364334356272593e-05
1887,5.4108288168208674e-05
1888,5.456408325699158e-05
1889,5.5937103752512485e-05
1890,5.871300891158171e-05
1891,5.6918048358056694e-05
1892,5.902693374082446e-05
1893,5.560152203543112e-05
1894,5.7340977946296334e-05
1895,5.491490810527466e-05
1896,5.804567990708165e-05
1897,5.629370207316242e-05
1898,5.686389340553433e-05
1899,5.801301813335158e-05
1900,5.8324585552327335e-05
1901,5.533785224542953e-05
1902,5.962502473266795e-05
1903,5.579483331530355e-05
1904,5.5710941524012014e-05
1905,5.832797251059674e-05
1906,5.639318987959996e-05
1907,5.495729055837728e-05
1908,5.677675289916806e-05
1909,5.7359353377250955e-05
