,human
1800,0.00017955322982743382
1801,0.00018482467567082494
1802,0.00017906539142131805
1803,0.00016253355715889484
1804,0.00018463477317709476
1805,0.00017014732293318957
1806,0.00017612756346352398
1807,0.00017414498142898083
1808,0.00016033215797506273
1809,0.00016911425336729735
1810,0.00016251803026534617
1811,0.00016741665604058653
1812,0.00013020489132031798
1813,0.00014739384641870856
1814,0.0001557439099997282
1815,0.0001707200863165781
1816,0.00014559338160324842
1817,0.00018570819520391524
1818,0.00019114903989247978
1819,0.00018031758372671902
1820,0.0001700340217212215
1821,0.00017014291370287538
1822,0.00018128952069673687
1823,0.00019210581376682967
1824,0.0001797356817405671
1825,0.00016979948850348592
1826,0.00017543055582791567
1827,0.0001705046306597069
1828,0.00017592872609384358
1829,0.00018452700169291347
1830,0.0001850518019637093
1831,0.00017517271044198424
1832,0.00013812276301905513
1833,0.00018442458531353623
1834,0.00017464753182139248
1835,0.00019064538355451077
1836,0.00018492162053007632
1837,0.00017224201292265207
1838,0.00016953839804045856
1839,0.0001696665567578748
1840,0.00017011756426654756
1841,0.00017457606736570597
1842,0.0001676386164035648
1843,0.00016691784549038857
1844,0.00016926387615967542
1845,0.00016431820404250175
1846,0.00017059633682947606
1847,0.00017026135174091905
1848,0.00018458967679180205
1849,0.00017730916442815214
1850,0.00018576969159767032
1851,0.00017095809744205326
1852,0.000166460478794761
1853,0.00015964842168614268
1854,0.00017563659639563411
1855,0.00016618016525171697
1856,0.00016418908489868045
1857,0.00015654652088414878
1858,0.00015646760584786534
1859,0.00015693392197135836
1860,0.00015801422705408186
1861,0.00015227898256853223
1862,0.00014965019363444299
1863,0.00015707797138020396
1864,0.00015269937284756452
1865,0.00015196384629234672
1866,0.00014607729099225253
1867,0.00014669899246655405
1868,0.0001397080486640334
1869,0.000146168633364141
1870,0.00014489711611531675
1871,0.00014688594092149287
1872,0.0001388892123941332
1873,0.00014539998664986342
1874,0.00014032622857484967
1875,0.00014163280138745904
1876,0.00013421998301055282
1877,0.00013350321387406439
1878,0.00012862282164860517
1879,0.00012625577801372856
1880,0.00013235514052212238
1881,0.00013171853788662702
1882,0.00012574528227560222
1883,0.00013668551400769502
1884,0.0001312420063186437
1885,0.00012426938337739557
1886,0.00012265148689039052
1887,0.00012162746133981273
1888,0.0001227463799295947
1889,0.00012004725431324914
1890,0.0001285846665268764
1891,0.0001233233924722299
1892,0.00013027782551944256
1893,0.00012400872947182506
1894,0.00012213563604746014
1895,0.00010983327229041606
1896,0.00011942314449697733
