,index
1800,6.500346444227034e-06
1801,1.7449970982852392e-05
1802,6.266026957746362e-06
1803,1.11087501863949e-05
1804,7.5376387940195855e-06
1805,5.242080987954978e-06
1806,7.97296434029704e-06
1807,9.481810593570117e-06
1808,6.236674380488694e-06
1809,1.2460822290449869e-05
1810,9.018690434459131e-06
1811,6.483079232566524e-06
1812,7.683695912419353e-06
1813,9.009978384710848e-06
1814,8.059057108766865e-06
1815,1.0187829502683599e-05
1816,5.358099315344589e-06
1817,5.274521299725166e-06
1818,7.495404588553356e-06
1819,9.58869895839598e-06
1820,4.696979431173531e-06
1821,8.518300091964193e-06
1822,7.2151788117480464e-06
1823,7.84770782047417e-06
1824,6.124581886979286e-06
1825,6.179179763421416e-06
1826,8.728216016606893e-06
1827,7.836498298274819e-06
1828,6.528615813294891e-06
1829,7.577370070066536e-06
1830,7.768654540996067e-06
1831,7.141505648178281e-06
1832,8.307543794217054e-06
1833,6.1456180446839426e-06
1834,7.894838745414745e-06
1835,8.104439984890632e-06
1836,6.81790061207721e-06
1837,9.230645446223207e-06
1838,7.242488663905533e-06
1839,7.550404006906319e-06
1840,6.528388439619448e-06
1841,8.050534233916551e-06
1842,8.430230082012713e-06
1843,6.934936664038105e-06
1844,6.5154054027516395e-06
1845,7.852185262890998e-06
1846,7.302576250367565e-06
1847,7.5166108217672445e-06
1848,7.591067515022587e-06
1849,8.07168908067979e-06
1850,8.508098289894406e-06
1851,8.931044249038678e-06
1852,8.987614819488954e-06
1853,7.837044904590584e-06
1854,7.712578735663556e-06
1855,7.1894000939209945e-06
1856,8.488962521369103e-06
1857,8.979231097328011e-06
1858,9.090047569770832e-06
1859,9.316538125858642e-06
1860,8.71258362167282e-06
1861,8.861667083692737e-06
1862,8.08526874607196e-06
1863,9.029487046063878e-06
1864,8.761818207858596e-06
1865,7.985820957401302e-06
1866,8.878434528014623e-06
1867,9.346026672574226e-06
1868,9.200582098856103e-06
1869,9.32283637666842e-06
1870,9.825691449805163e-06
1871,9.642894838179927e-06
1872,9.305058483732864e-06
1873,1.0224644938716665e-05
1874,9.943692020897288e-06
1875,9.822759238886647e-06
1876,1.1101305972260889e-05
1877,1.1536331840034109e-05
1878,1.1826673471659888e-05
1879,1.2526432328741066e-05
1880,1.1964446457568556e-05
1881,1.308849186898442e-05
1882,1.182220148621127e-05
1883,1.2156299817434046e-05
1884,1.3469450095726643e-05
1885,1.3789433069177903e-05
1886,1.3767180462309625e-05
1887,1.332054307567887e-05
1888,1.3646455045090988e-05
1889,1.608170714462176e-05
1890,1.3388215847953688e-05
