,insurance
1800,8.49251591716893e-06
1801,7.133101007639198e-06
1802,1.2796993360097986e-05
1803,5.2503614824672695e-06
1804,4.196244844933972e-06
1805,7.676229870412499e-06
1806,5.980337391520152e-06
1807,7.536330940638436e-06
1808,8.043510206334759e-06
1809,9.237478479917627e-06
1810,1.000286647467874e-05
1811,9.624942322261631e-06
1812,9.23639254324371e-06
1813,8.569090823584702e-06
1814,7.913035915407818e-06
1815,7.883579201006796e-06
1816,5.719288765249075e-06
1817,1.1428129255364183e-05
1818,7.86990494816564e-06
1819,7.143267794162966e-06
1820,5.042416432843311e-06
1821,4.199620889266953e-06
1822,4.891129719908349e-06
1823,9.303546903538518e-06
1824,7.483400167984655e-06
1825,7.5084676609549206e-06
1826,8.727232852834277e-06
1827,6.680786100332625e-06
1828,6.821986971772276e-06
1829,6.207886144693475e-06
1830,7.291394467756618e-06
1831,1.069719837687444e-05
1832,3.946378637920134e-05
1833,8.957578756962903e-06
1834,8.16079591459129e-06
1835,1.5013808479125146e-05
1836,1.009088555292692e-05
1837,1.1252247531956527e-05
1838,9.550888535159174e-06
1839,8.748380423639901e-06
1840,9.89042928267736e-06
1841,8.892559890227858e-06
1842,9.022764970723074e-06
1843,8.925417205318809e-06
1844,9.319757737102918e-06
1845,1.202114435727708e-05
1846,1.1505838301673066e-05
1847,9.725921700010076e-06
1848,1.0147428838536143e-05
1849,1.0404170097899623e-05
1850,1.0566502169240266e-05
1851,1.2010780665150378e-05
1852,1.1421102499298286e-05
1853,1.3361687706492376e-05
1854,1.2156630873505492e-05
1855,1.205949047289323e-05
1856,1.2833268556278199e-05
1857,1.3949270396551583e-05
1858,1.2026102922391146e-05
1859,1.65488563652616e-05
1860,1.3041246347711422e-05
1861,1.5519308362854645e-05
1862,1.529278961243108e-05
1863,1.5958725271048024e-05
1864,1.769326627254486e-05
1865,1.9199123926227912e-05
1866,1.968901233340148e-05
1867,2.011159449466504e-05
1868,2.024691457336303e-05
1869,2.454812238283921e-05
1870,2.6210213036392815e-05
1871,3.0440631235251203e-05
1872,3.352896965225227e-05
1873,3.408697739359923e-05
1874,3.44684740412049e-05
1875,3.277635551057756e-05
1876,3.5901550290873274e-05
1877,3.458507126197219e-05
1878,3.651394581538625e-05
1879,3.308460509288125e-05
1880,3.465119152679108e-05
1881,3.9458260289393365e-05
1882,3.526840009726584e-05
1883,3.517789809848182e-05
1884,3.1126961403060704e-05
1885,3.311601176392287e-05
1886,4.1060491639655083e-05
1887,4.318492574384436e-05
1888,3.7204012187430635e-05
1889,4.225028169457801e-05
1890,4.2222050979034975e-05
1891,4.32125962106511e-05
1892,4.3163054215256125e-05
1893,4.9832055083243176e-05
1894,4.738696225103922e-05
1895,5.1885446737287566e-05
1896,5.054814391769469e-05
1897,5.983733353787102e-05
1898,5.588578642345965e-05
1899,5.456215876620263e-05
1900,4.993977927369997e-05
1901,5.617563510895707e-05
1902,4.988818182027899e-05
1903,5.7556520914658904e-05
1904,6.217229383764789e-05
1905,7.738827844150364e-05
1906,7.41109179216437e-05
1907,7.429755351040512e-05
1908,7.060454663587734e-05
1909,8.188798528863117e-05
1910,7.65337681514211e-05
1911,9.169676923193038e-05
1912,9.228608541889116e-05
1913,9.81435805442743e-05
1914,9.488374053034931e-05
1915,0.00010247549653286114
1916,0.00010465212835697457
1917,0.00012079410225851461
1918,0.00010627901792759076
1919,0.00010872675193240866
1920,0.00010447235399624333
1921,0.00010590252350084484
1922,0.00011163895396748558
1923,9.835141827352345e-05
1924,0.00010093461605720222
1925,0.00010323541209800169
1926,9.903524187393486e-05
1927,0.00011279772297712043
1928,0.00010455663141328841
1929,0.00010518779163248837
1930,0.00011784035450546071
1931,0.00012136674195062369
1932,0.0001330366503680125
1933,0.00012610350677277893
1934,0.00012733583571389318
1935,0.00014824890240561217
1936,0.00013552037125919014
1937,0.0001313594839302823
1938,0.00012992625124752522
1939,0.00014721686602570117
1940,0.00013141754607204348
1941,0.00013117314665578306
1942,0.00012662209337577224
1943,0.00012700591469183564
1944,0.00012281956151127815
1945,0.00011845210246974602
1946,0.00011942334822379053
1947,0.00011608302156673744
1948,0.00011370139691280201
1949,0.00012498273281380534
1950,0.00010941788787022233
1951,0.00011040206300094724
1952,0.00010247030877508223
1953,0.00011619563156273216
1954,0.00011879248631885275
1955,0.00011444417759776115
1956,0.00011974357767030597
1957,0.0001171693584183231
1958,0.0001175968354800716
1959,0.0001181295738206245
1960,0.00011109314800705761
1961,0.00010470343113411218
1962,8.953460201155394e-05
1963,9.465467155678198e-05
1964,9.396602399647236e-05
1965,9.474411490373313e-05
1966,8.809838618617505e-05
1967,9.473306272411719e-05
1968,9.225821850122884e-05
1969,8.600990986451507e-05
1970,8.796495967544615e-05
1971,9.676662739366293e-05
1972,9.177406172966585e-05
1973,9.845766180660576e-05
1974,9.832365321926773e-05
1975,0.0001005942394840531
1976,0.00010143948020413518
1977,0.00010646814189385623
1978,0.00010406355431769043
1979,0.0001014702720567584
1980,0.00010019853652920574
1981,9.528377995593473e-05
1982,9.737374784890562e-05
1983,9.291950118495151e-05
1984,9.476590639678761e-05
1985,9.466649498790503e-05
1986,0.00010227621532976627
1987,9.688508725957945e-05
1988,0.00010115516488440335
1989,9.642975783208385e-05
1990,9.815929661272094e-05
1991,0.00010428588575450704
1992,0.00010151919559575617
1993,9.82319179456681e-05
1994,0.00010176393698202446
1995,9.397407848155126e-05
1996,8.892698679119349e-05
1997,9.096984285861254e-05
1998,9.252999734599143e-05
1999,9.198276529787108e-05
2000,8.173137030098587e-05
2001,8.381716907024384e-05
2002,8.204550249502063e-05
2003,7.372834079433233e-05
2004,7.221011765068397e-05
2005,7.091168663464487e-05
2006,6.527936056954786e-05
2007,6.634175224462524e-05
2008,6.225727702258155e-05
2009,6.11233408562839e-05
2010,5.3455380111699924e-05
2011,4.6165205276338384e-05
2012,4.2275001760572195e-05
2013,3.92385118175298e-05
2014,3.709747761604376e-05
2015,3.662962990347296e-05
2016,3.958742308896035e-05
2017,3.11038747895509e-05
2018,2.9773873393423855e-05
2019,3.138825195492245e-05
