,internet
1800,1.5873862224680124e-08
1801,2.4303581369622407e-08
1802,7.569696691689387e-08
1803,8.644942539604017e-09
1804,3.2503832958497014e-09
1805,9.724440275249435e-08
1806,9.827998859179843e-09
1807,6.4066285609953866e-09
1808,1.8177425120669e-09
1809,5.429551919178266e-09
1810,1.4645485935105285e-09
1811,6.590169299158788e-09
1812,6.332368407413469e-09
1813,3.051127128728126e-09
1814,1.6406875857910563e-09
1815,1.6709578165574612e-09
1816,1.3578558277771435e-09
1817,4.388120977694143e-09
1818,0.0
1819,2.6624180637924155e-09
1820,3.5982989921024e-09
1821,3.7597320812210455e-09
1822,6.3124927507374196e-09
1823,4.127114205942917e-09
1824,8.998797818016158e-10
1825,2.6201469882636275e-09
1826,5.899436494871679e-09
1827,1.8776802335196408e-09
1828,1.7726352607994045e-09
1829,8.294877007486434e-10
1830,5.85595394397842e-09
1831,2.085223904657596e-08
1832,6.3949592288281565e-09
1833,4.002790987556182e-09
1834,5.20210097221252e-09
1835,2.9802311729554276e-09
1836,2.886739292051743e-09
1837,2.3256854220221612e-09
1838,1.1729676119287546e-09
1839,5.779710932074522e-09
1840,4.878808912422983e-09
1841,3.7399616736877306e-09
1842,2.6523503393605097e-09
1843,4.761915750606249e-09
1844,5.388276047568752e-09
1845,1.7028323195944495e-09
1846,4.131195385781439e-09
1847,1.4491879696265642e-08
1848,7.47474171447493e-09
1849,4.565435141046237e-09
1850,5.515097267760893e-09
1851,6.507833383295747e-09
1852,6.395004970016771e-09
1853,4.652051188713813e-09
1854,6.825003673327501e-09
1855,6.3707581432481675e-09
1856,6.080676850928057e-09
1857,9.544852019871541e-09
1858,4.042634671463929e-09
1859,4.870482683827504e-09
1860,4.380214413401973e-09
1861,7.2580426113688645e-09
1862,8.103608450937827e-09
1863,5.550564008416359e-09
1864,5.535694569402949e-09
1865,4.290306776510988e-09
1866,5.3466426841453085e-09
1867,3.955990202086923e-09
1868,6.191717361048177e-09
1869,9.599997241593883e-09
1870,5.444769524132198e-09
1871,4.391546237769717e-09
1872,6.096226634610957e-09
1873,1.0643588232994716e-08
1874,7.384843403457353e-09
1875,8.02653499221151e-09
1876,5.734286823155799e-09
1877,5.84188519781037e-09
1878,7.020130254886681e-09
1879,7.244745248158324e-09
1880,1.0765115021627025e-08
1881,5.587945217655488e-09
1882,7.576297811340282e-09
1883,5.755169674159788e-09
1884,8.617407232236474e-09
1885,3.6298728467443198e-09
1886,7.870044171909285e-09
1887,5.766561450570862e-09
1888,5.282236426040754e-09
1889,4.634887584842318e-09
1890,5.029382244003955e-09
1891,6.804716345953921e-09
1892,6.411869257760827e-09
1893,4.4267456367208524e-09
1894,5.018589988026179e-09
1895,4.247128870815686e-09
1896,3.2286342488418995e-09
1897,4.484630000689549e-09
1898,4.742350512287885e-09
1899,1.845016583956749e-08
1900,4.395260333467377e-08
1901,8.333633338963864e-09
1902,3.952417948482889e-09
1903,5.692240456767195e-09
1904,5.518013157512769e-09
1905,5.1827053759723185e-09
1906,6.359718973669715e-09
1907,4.771975703476983e-09
1908,6.617138392783772e-09
1909,1.0969094965673776e-08
1910,5.435214500693064e-09
1911,6.532840046702404e-09
1912,5.8844906725141755e-09
1913,5.881450881872752e-09
1914,5.185812668173639e-09
1915,4.8431401111770356e-09
1916,9.20786025204734e-09
1917,6.855133793948198e-09
1918,7.698402804123816e-09
1919,8.007591034697725e-09
1920,6.061128487999667e-09
1921,3.724481834055382e-09
1922,6.761935456012225e-09
1923,1.3804984710930057e-08
1924,4.1284707208433247e-07
1925,3.279745897089015e-08
1926,6.1874678713991216e-09
1927,1.230845114719159e-08
1928,6.280412634396271e-09
1929,8.343958413092878e-09
1930,7.640094779048923e-09
1931,1.9000301776372908e-08
1932,7.2570238707214685e-09
1933,8.576629184631201e-09
1934,2.3872038568129028e-08
1935,2.333588433600653e-08
1936,4.297507771866549e-08
1937,1.0851983311965796e-08
1938,8.866710921040521e-09
1939,9.086845942363198e-09
1940,2.4035829326862768e-08
1941,1.4434793627060571e-07
1942,3.136647208634713e-08
1943,3.2680063100087864e-08
1944,1.0810799366822721e-08
1945,1.4994643748877934e-08
1946,9.761262909080415e-09
1947,1.1686334566718415e-08
1948,2.1021751450689408e-08
1949,5.108399747655312e-08
1950,1.3791961350761994e-08
1951,1.7236800431419397e-08
1952,9.761537356212102e-09
1953,1.1843982683501508e-08
1954,4.5294882511370815e-08
1955,7.9047106638086e-09
1956,2.3173003071974563e-08
1957,1.2599850052197326e-08
1958,1.3798527653818837e-08
1959,1.1124572374399122e-08
1960,2.9438005810789036e-08
1961,1.624596812632717e-08
1962,1.3439787061031438e-08
1963,1.163605922727129e-08
1964,1.6703264549278174e-08
1965,1.499658175418972e-08
1966,2.1976656938704764e-08
1967,4.5326281394864054e-08
1968,1.7771204952055086e-08
1969,1.6988213502600047e-08
1970,2.0059731653532253e-08
1971,1.537495641912301e-08
1972,3.1796130173233905e-08
1973,2.65189949999467e-08
1974,2.349611349927727e-08
1975,4.3033757890498237e-08
1976,5.257859569951506e-08
1977,3.484687027821565e-08
1978,7.527238210514042e-08
1979,8.826412312146203e-08
1980,7.860263906422915e-08
1981,1.0270085937236217e-07
1982,8.903896286938107e-08
1983,9.205137274648223e-08
1984,8.342421864426797e-08
1985,1.8080342556459073e-07
1986,1.7130878404714167e-07
1987,1.6280094428111624e-07
1988,2.01541325850485e-07
1989,2.114777828410297e-07
1990,2.6968550059791596e-07
1991,7.347363748522184e-07
1992,3.575190135052253e-07
1993,4.441193084403494e-07
1994,7.913997706054943e-07
1995,1.233747980222688e-06
1996,2.077228828056832e-06
1997,3.1210731776809553e-06
1998,3.799583055297262e-06
1999,5.355737812351435e-06
2000,7.091499355738051e-06
2001,7.394065960397711e-06
2002,7.586657829961041e-06
2003,7.739622560620774e-06
2004,8.320621418533847e-06
2005,8.945738954935223e-06
2006,9.000418685900513e-06
2007,1.069499830919085e-05
2008,9.477905223320704e-06
2009,9.566309017827734e-06
2010,1.0707373803597875e-05
2011,1.0140661288460251e-05
2012,9.965189747163095e-06
2013,1.0077846127387602e-05
