,its
1800,0.0013400714378803968
1801,0.001360105350613594
1802,0.0014005537377670407
1803,0.0012118335580453277
1804,0.00137049809563905
1805,0.0013462788192555308
1806,0.001349219586700201
1807,0.001386898453347385
1808,0.0011584418825805187
1809,0.0013586115092039108
1810,0.0012358402600511909
1811,0.001190042938105762
1812,0.00116872473154217
1813,0.001315372996032238
1814,0.0013263170840218663
1815,0.001445756177417934
1816,0.0011889494489878416
1817,0.0013941074721515179
1818,0.0014710569521412253
1819,0.0015665388200432062
1820,0.0013606607681140304
1821,0.001355139072984457
1822,0.0014156689867377281
1823,0.0014181373408064246
1824,0.0014059460954740644
1825,0.0014687119983136654
1826,0.0014133338117972016
1827,0.0014422902604565024
1828,0.001521670026704669
1829,0.0016417170409113169
1830,0.0015897487755864859
1831,0.0015791594050824642
1832,0.0017731889383867383
1833,0.001655449508689344
1834,0.0016755863325670362
1835,0.0016732823569327593
1836,0.0016731685027480125
1837,0.0015865133609622717
1838,0.0016339432913810015
1839,0.0015989444218575954
1840,0.001566516701132059
1841,0.0016367508796975017
1842,0.0016563731478527188
1843,0.0016060661291703582
1844,0.0015646632527932525
1845,0.0016511623980477452
1846,0.0016232554335147142
1847,0.0016624341951683164
1848,0.001688287709839642
1849,0.001681713154539466
1850,0.0016911744605749846
1851,0.001667057629674673
1852,0.0016824884805828333
1853,0.0016199734527617693
1854,0.00172030262183398
1855,0.0017434213077649474
1856,0.001741704880259931
1857,0.0016638871748000383
1858,0.0016982832457870245
1859,0.0016939776251092553
1860,0.001656935433857143
1861,0.0016526627587154508
1862,0.001641497714444995
1863,0.0016470986884087324
1864,0.0016121730441227555
1865,0.0016231357585638762
1866,0.0016329976497218013
1867,0.0016578490613028407
1868,0.0016346897464245558
1869,0.0016157443169504404
1870,0.001629191217944026
1871,0.0016164114931598306
1872,0.0016007975209504366
1873,0.0016688386676833034
1874,0.0016477934550493956
1875,0.0016176317585632205
1876,0.0016345622716471553
1877,0.0015909264329820871
1878,0.0016474745934829116
1879,0.0016178846126422286
1880,0.0015944205224514008
1881,0.0016267268219962716
1882,0.0016316967085003853
1883,0.001613477012142539
1884,0.0016441334737464786
1885,0.0016310899518430233
1886,0.0016153728356584907
1887,0.0015715255867689848
1888,0.001589201856404543
1889,0.0015715769259259105
1890,0.001655542990192771
1891,0.0016009571263566613
1892,0.0016112311277538538
1893,0.0016081668436527252
1894,0.001583947567269206
1895,0.001582230906933546
1896,0.001561334589496255
1897,0.0015733084874227643
1898,0.0015650285640731454
1899,0.0014963640132918954
1900,0.001507649547420442
1901,0.0014933873899281025
1902,0.0015075909905135632
1903,0.001523390645161271
1904,0.0014992576325312257
1905,0.001522938022390008
1906,0.0014973117504268885
1907,0.0015101614408195019
1908,0.0014926971634849906
1909,0.0014861156232655048
1910,0.001514648669399321
1911,0.0014804096426814795
1912,0.0014779819175601006
1913,0.0014607831835746765
1914,0.0014551685890182853
1915,0.0014863568358123302
1916,0.0014528282918035984
1917,0.001474472344852984
1918,0.0014790272107347846
1919,0.0014705420471727848
1920,0.0014888488221913576
1921,0.0014644007897004485
1922,0.0014600723516196012
1923,0.0014335701707750559
1924,0.0014074689242988825
1925,0.0014007134595885873
1926,0.001444010529667139
1927,0.0014110836200416088
1928,0.0014243805781006813
1929,0.001399580156430602
1930,0.0014044824056327343
1931,0.0013728119665756822
1932,0.0013727410696446896
1933,0.0013833234552294016
1934,0.001385617651976645
1935,0.0013665070291608572
1936,0.001366084790788591
1937,0.001372982864268124
1938,0.0013776253908872604
1939,0.0013590286253020167
1940,0.0013687645550817251
1941,0.0013625696301460266
1942,0.0013407116057351232
1943,0.0013321248115971684
1944,0.0013448470272123814
1945,0.0013536043697968125
1946,0.0013287212932482362
1947,0.001410225173458457
1948,0.0013535900507122278
1949,0.001330445520579815
1950,0.0013214300852268934
1951,0.0013218882959336042
1952,0.0013157862704247236
1953,0.0013179272646084428
1954,0.0013383431360125542
1955,0.0013121005613356829
1956,0.001316666603088379
1957,0.0013042159844189882
1958,0.0013142790412530303
1959,0.0013205396244302392
1960,0.0013067454565316439
1961,0.0013120959047228098
1962,0.00131845788564533
1963,0.0013060428900644183
1964,0.001287383958697319
1965,0.0013108126586303115
1966,0.001306709018535912
1967,0.0012990914983674884
1968,0.0012962096370756626
1969,0.0012989100068807602
1970,0.0012821448035538197
