,john
1800,2.7818944090540754e-06
1801,3.5807274798571598e-06
1802,4.175949470663909e-06
1803,4.492488187679555e-06
1804,3.1431206934939837e-06
1805,3.6740150335390354e-06
1806,4.371002432890236e-06
1807,7.961303708725609e-06
1808,5.006063020118745e-06
1809,9.121647963183932e-06
1810,4.545958745438838e-06
1811,6.726915216859197e-06
1812,2.1631371964758728e-06
1813,2.2044393972464604e-06
1814,2.187036443501711e-06
1815,1.1696704405039782e-06
1816,1.915934490170912e-06
1817,1.177479134639725e-06
1818,1.4209362007022719e-06
1819,7.028783670648409e-07
1820,9.559480531606823e-07
1821,4.4114190700383915e-07
1822,5.523431241272192e-07
1823,1.4671891221951228e-06
1824,5.597252084044158e-07
1825,3.336320446578611e-07
1826,3.8248012401709275e-07
1827,3.1451145332539454e-07
1828,2.5525946512061637e-07
1829,2.4303989221152733e-07
1830,1.7494662074568623e-07
1831,1.8071941099151445e-07
1832,2.0217909479924856e-07
1833,3.0221070801417227e-07
1834,3.0302237519208575e-07
1835,1.7344945035802084e-07
1836,1.899474426636516e-07
1837,3.825752514785563e-07
1838,2.222773645144116e-07
1839,1.371367801539236e-07
1840,1.2684903083481913e-07
1841,2.1371209868448204e-07
1842,1.6232384325576277e-07
1843,1.7481522718298947e-06
1844,1.871201362746433e-07
1845,1.8177735228164238e-07
1846,1.9829738562293642e-07
1847,1.5006108355919423e-07
1848,1.401514140297877e-07
1849,2.0133568057190132e-07
1850,2.0108893750148127e-07
1851,1.711177333163505e-07
1852,1.7003189611841663e-07
1853,1.850851703011358e-07
1854,1.9305009857362165e-07
1855,1.7767335691587505e-07
1856,2.2329597015868785e-07
1857,1.908970261865761e-07
1858,2.0102919506825856e-07
1859,2.3656630787627364e-07
1860,1.8632759690717648e-07
1861,1.8508008281514776e-07
1862,2.1794441806832765e-07
1863,2.412360515791079e-07
1864,4.1122302718576975e-07
1865,3.7364671356954204e-07
1866,3.6089838317820977e-07
1867,4.565872018247319e-07
1868,6.578699185411097e-07
1869,8.339610531038488e-07
1870,8.59668602970487e-07
1871,9.426140650248271e-07
1872,8.243760589721205e-07
1873,1.0877155318667064e-06
1874,9.373070497531444e-07
1875,1.5663209751437535e-06
1876,1.3923394135417766e-06
1877,1.1775571238104021e-06
1878,1.2919847449666122e-06
1879,1.2960043704879354e-06
1880,1.4865645425743423e-06
1881,1.327137056250649e-06
1882,1.9248684566264274e-06
1883,1.7161916048280546e-06
1884,1.6127809203680954e-06
1885,1.2425508657543105e-06
1886,1.5989680832717568e-06
1887,1.7090379742512596e-06
1888,1.9026209656658466e-06
1889,1.7357654087390983e-06
1890,1.9790618352999445e-06
1891,1.586065991432406e-06
1892,2.3526063159806654e-06
1893,2.220632723037852e-06
1894,1.6360603467546753e-06
1895,1.8239060182168032e-06
1896,2.9869711397623178e-06
1897,2.4048440536716953e-06
1898,2.46513309321017e-06
1899,2.303693008798291e-06
1900,2.3867044092185097e-06
1901,2.095403715429711e-06
1902,1.985388735192828e-06
1903,2.7546648198040202e-06
