,june
1800,7.103553230081161e-07
1801,1.3447980791170266e-06
1802,1.5055286439746851e-06
1803,2.1669989109796006e-06
1804,1.6771978152974043e-06
1805,1.1760495226553758e-06
1806,1.4299738495537895e-06
1807,1.4628468534283456e-06
1808,1.1397245316402405e-06
1809,1.7808930579121807e-06
1810,8.684773433742521e-07
1811,3.7563966088782763e-06
1812,7.725489581389411e-07
1813,6.117509769865137e-07
1814,7.038549938442884e-07
1815,5.881771585336537e-07
1816,5.037645109950972e-07
1817,4.987830948266492e-07
1818,3.785557964874897e-07
1819,2.862099393041717e-07
1820,2.290916967240264e-07
1821,1.7169443822240282e-07
1822,3.724370571944746e-07
1823,1.1349563777685034e-07
1824,1.7547655772887083e-07
1825,1.4323470054478094e-07
1826,9.242450005331193e-08
1827,8.637329074190347e-08
1828,6.381486628015409e-08
1829,1.0617442569582636e-07
1830,6.514748918107216e-08
1831,2.656729805039504e-07
1832,8.362638936887379e-08
1833,6.938170571402225e-08
1834,8.128282757979832e-08
1835,5.9008574027075156e-08
1836,8.54474819789175e-08
1837,6.860771861738613e-08
1838,8.797257322612495e-08
1839,4.571225886706998e-08
1840,8.836065035211504e-08
1841,5.289374271910674e-08
1842,4.562042477118666e-08
1843,6.719592704484967e-08
1844,6.563900001310685e-08
1845,7.237037635832166e-08
1846,5.829575755456062e-08
1847,8.928868311386395e-08
1848,7.848478844607598e-08
1849,7.57862181899327e-08
1850,5.2605543032768765e-08
1851,6.316426492958271e-08
1852,6.432622257079856e-08
1853,4.386219742968933e-08
1854,5.427502713928334e-08
1855,8.777488602618178e-08
1856,7.026559956102574e-08
1857,3.393725123146396e-08
1858,2.179347546871213e-07
1859,5.6010552640373135e-08
1860,6.839873378794437e-08
1861,7.45965493820222e-08
1862,8.444813204278034e-08
1863,1.6139331648901134e-07
1864,5.9311012989837764e-08
1865,9.087649743833026e-08
1866,1.1361616003568997e-07
1867,1.635142581335458e-07
1868,3.479744918877259e-07
1869,4.7287730353673396e-07
1870,3.5693489053301164e-07
1871,3.067808904688718e-07
1872,2.405238319624914e-07
1873,3.187163315487851e-07
1874,4.2036799641209655e-07
1875,4.139398868119315e-07
1876,5.392960247263545e-07
1877,5.441298753794399e-07
1878,6.464135822170647e-07
1879,5.752864353780751e-07
1880,3.7873633118579164e-07
1881,5.054550342720177e-07
1882,1.9671490463224472e-06
1883,1.3874563364879577e-06
1884,1.7438097756894422e-06
1885,1.4989105920903967e-06
1886,7.872292258070956e-07
1887,5.505998501575959e-07
1888,1.2459983054213808e-06
1889,9.352816618957149e-07
1890,7.73557701450045e-07
1891,7.235681778183789e-07
1892,8.198032901418628e-07
1893,9.294395226788765e-07
1894,1.4150631386655732e-06
1895,1.0749955663413857e-06
1896,1.232854060617683e-06
1897,1.5959096799633699e-06
1898,1.356164034405083e-06
1899,8.450447239738423e-07
1900,1.138996594818309e-06
1901,1.1831234587589279e-06
1902,1.5855570154599263e-06
1903,2.0351656075945357e-06
1904,9.294253686675802e-07
1905,2.2006008748576278e-06
1906,1.9148333194607403e-06
1907,3.174584662701818e-06
1908,1.5880063983786386e-06
1909,1.169023221336829e-06
1910,2.4339506126125343e-06
1911,1.364210788779019e-06
1912,8.761138587942696e-07
1913,1.4303495845524594e-06
1914,1.2190573670523008e-06
1915,7.460453730345762e-07
1916,1.0274770829710178e-06
1917,6.751794785486709e-07
1918,9.094156894207117e-07
1919,9.302502803620882e-07
1920,1.1974639164691325e-06
1921,9.31422448502417e-07
1922,7.960190373523801e-07
1923,5.018517867938499e-07
1924,3.827395573807735e-07
1925,4.010081227079354e-07
1926,3.394513612420269e-07
1927,4.331891148012801e-07
1928,3.330229105813487e-07
1929,3.875126992625155e-07
1930,3.1356225349554734e-07
1931,3.9501469473179895e-07
1932,4.187833724245138e-07
1933,3.96240238842438e-07
1934,3.707511382344819e-07
1935,3.583134002838051e-07
1936,3.8012674963283644e-07
1937,3.8249311273830244e-07
1938,5.520694230654044e-07
1939,4.081752535967098e-07
1940,4.1866329070217034e-07
1941,5.035428785049589e-07
1942,4.157800219672936e-07
1943,3.7464712931978283e-07
1944,3.9092623183023534e-07
1945,4.0328617956220114e-07
1946,7.84505175488448e-07
1947,5.033091952100222e-07
1948,6.447108376050892e-07
1949,3.842304181489453e-07
1950,5.983856681268662e-07
1951,5.025005975767272e-07
1952,4.2200792904623086e-07
1953,5.449416562441911e-07
1954,3.751018766706693e-07
1955,4.03140234084276e-07
1956,5.171643238099932e-07
1957,3.9811459373595426e-07
1958,8.372459774363961e-07
1959,4.4573710056283744e-07
1960,6.414809377019992e-07
1961,6.172634812173783e-07
1962,3.81373723712386e-07
1963,3.85694590931962e-07
1964,5.350559604266891e-07
1965,8.055306466303591e-07
1966,5.148916102371004e-07
1967,4.833544267057732e-07
1968,4.480441475607222e-07
1969,4.0106957044372393e-07
1970,4.556778492315061e-07
1971,3.8511785760420025e-07
1972,4.858649731431797e-07
1973,4.596011820012791e-07
1974,4.6359397742889996e-07
1975,5.605344881587371e-07
1976,4.0774412468636e-07
1977,3.3061752446883474e-07
1978,3.9390275219375326e-07
1979,4.259630088654376e-07
1980,4.954382575306226e-07
1981,4.088613820840692e-07
1982,3.490441145004297e-07
1983,3.6233572586752416e-07
1984,4.484185183173395e-07
1985,4.452381574537867e-07
1986,4.559943533877231e-07
1987,4.570672444970114e-07
1988,4.905860464532452e-07
1989,4.0443373450216313e-07
1990,4.3685213313438e-07
1991,3.6380197343532927e-07
1992,3.4094222201019875e-07
1993,4.232880996823951e-07
1994,3.8029494930924557e-07
1995,3.7646637451871356e-07
1996,4.3132629912179254e-07
1997,3.892578490649612e-07
1998,3.789612890159333e-07
1999,3.8824973103146476e-07
2000,4.1910593040483946e-07
2001,4.2515270592957677e-07
2002,3.6615034559872583e-07
2003,3.7030329735898704e-07
2004,3.708529163759522e-07
2005,3.4569728768474306e-07
2006,3.929881700059923e-07
2007,4.019018717826839e-07
2008,3.95380794770972e-07
2009,4.249987739513017e-07
2010,5.164765184417774e-07
2011,5.3189637583273e-07
2012,6.54084885809425e-07
2013,8.579414156884013e-07
2014,2.2078312156281754e-07
2015,8.458868450134105e-08
2016,1.0443056197573242e-07
2017,7.754137243409787e-08
2018,1.577229795657331e-07
2019,6.25160154754667e-08
