,link
1800,5.39711300007184e-06
1801,6.047540864528855e-06
1802,3.8100806705188006e-06
1803,3.7720762975368416e-06
1804,3.890708740073023e-06
1805,3.8928151298023295e-06
1806,3.891887445206521e-06
1807,4.098106728633866e-06
1808,3.666386646727915e-06
1809,3.876700247928966e-06
1810,3.6628359794121934e-06
1811,3.248953362344764e-06
1812,2.678591954463627e-06
1813,3.2250413823931012e-06
1814,4.101718786841957e-06
1815,4.284335773263592e-06
1816,3.2194761843129527e-06
1817,4.034145604236983e-06
1818,4.626492682291428e-06
1819,4.8376136874139775e-06
1820,4.601025011652382e-06
1821,5.1144888857379556e-06
1822,5.052098003943684e-06
1823,5.248657544143498e-06
1824,4.7747621465532575e-06
1825,4.9206360017706174e-06
1826,5.28196187588037e-06
1827,5.418046384875197e-06
1828,5.459716703626327e-06
1829,5.780699666502187e-06
1830,5.396261713030981e-06
1831,5.820863862027181e-06
1832,6.110629783506738e-06
1833,6.080239018046996e-06
1834,6.169691914692521e-06
1835,6.442067387979478e-06
1836,6.519411726912949e-06
1837,6.067131835152395e-06
1838,6.170982487674337e-06
1839,6.65087100060191e-06
1840,6.367929927364457e-06
1841,6.755439244443551e-06
1842,6.35078731647809e-06
1843,6.439697699534008e-06
1844,6.244032192626037e-06
1845,7.238740181492176e-06
1846,7.036802799120778e-06
1847,6.854191724414704e-06
1848,7.055688911350444e-06
1849,7.26223743185983e-06
1850,7.45853276384878e-06
1851,7.55636028770823e-06
1852,8.076138328760862e-06
1853,7.292090231203474e-06
1854,7.726878720859531e-06
1855,7.90150988905225e-06
1856,8.147769221977796e-06
1857,7.921519681985956e-06
1858,8.366416295757517e-06
1859,7.852261660445947e-06
1860,8.34969978313893e-06
1861,8.099975275399629e-06
1862,8.145832907757722e-06
1863,8.901824003260117e-06
1864,9.600476005289238e-06
1865,8.811900443106424e-06
1866,8.855710802890826e-06
1867,9.313719601777848e-06
1868,9.481066626904067e-06
1869,9.255017175746616e-06
1870,1.0364118679717649e-05
1871,8.782779332250357e-06
1872,9.705192496767268e-06
1873,9.189850970869884e-06
1874,1.012916436593514e-05
1875,9.749373930389993e-06
1876,9.693948413769249e-06
1877,9.302228136220947e-06
1878,9.69255324889673e-06
1879,9.591773959982675e-06
1880,9.344609679828864e-06
1881,9.184550435747951e-06
1882,8.98402231541695e-06
1883,9.871957445284352e-06
1884,1.000525207928149e-05
1885,9.967857295123395e-06
1886,1.013998917187564e-05
1887,1.047933710651705e-05
1888,1.0032389582192991e-05
1889,9.978526577469893e-06
1890,1.1177415217389353e-05
1891,1.0381729225628078e-05
1892,1.015145426208619e-05
1893,1.1907414773304481e-05
1894,9.759007298271172e-06
1895,1.0141672646568622e-05
1896,9.357228009321261e-06
1897,1.0537333764659707e-05
1898,1.0113062671734951e-05
1899,9.980996765079908e-06
1900,9.758257874636911e-06
1901,9.17558281798847e-06
1902,1.0232682143396232e-05
1903,1.0724560524977278e-05
1904,1.0586668395262677e-05
1905,1.0895010746025946e-05
1906,1.0436187039886136e-05
1907,1.1060329597967211e-05
1908,1.12244806587114e-05
1909,1.09193542812136e-05
1910,1.0809821105794981e-05
1911,1.0738163837231696e-05
1912,1.0688743714126758e-05
1913,1.0055930943053681e-05
1914,1.0219182513537817e-05
1915,1.1002302926499397e-05
1916,1.1372707376722246e-05
1917,1.1138978152303025e-05
1918,1.1384599019947927e-05
1919,1.002750559564447e-05
1920,1.0157083124795463e-05
1921,9.756229701451957e-06
1922,1.0305189789505675e-05
1923,1.0263274816679768e-05
1924,1.0071067663375288e-05
1925,1.0106520676345099e-05
1926,9.840480743150692e-06
1927,1.0014463441621047e-05
1928,9.737699656398036e-06
1929,9.581111044099089e-06
1930,9.918117029883433e-06
1931,9.54900860961061e-06
1932,9.705472621135414e-06
1933,9.483655048825312e-06
1934,9.661932381277438e-06
1935,9.367454367747996e-06
1936,9.88848478300497e-06
1937,1.0081335858558305e-05
1938,1.0378407750977203e-05
1939,1.0135203410754912e-05
1940,1.008687922876561e-05
1941,1.0008123354054987e-05
1942,1.0481803656148259e-05
1943,1.145391070167534e-05
1944,1.1691879990394227e-05
1945,1.0931617907772306e-05
1946,1.125533708545845e-05
1947,1.2011028957203962e-05
1948,1.2288527614146005e-05
1949,1.1793337762355804e-05
1950,1.2939641237608157e-05
1951,1.2946034075866919e-05
1952,1.3423898963083047e-05
1953,1.4205909792508464e-05
1954,1.4299050235422328e-05
1955,1.4030861166247632e-05
1956,1.4842472410236951e-05
1957,1.4493688468064647e-05
1958,1.4970489246479701e-05
1959,1.568715561006684e-05
1960,1.5880377759458497e-05
