,look
1800,0.00014848013233859092
1801,0.0001248474873136729
1802,0.00011558926780708134
1803,0.00010921731882262975
1804,0.00011913305206689984
1805,0.00011374860332580283
1806,0.00012388930190354586
1807,0.0001061129878507927
1808,0.0001476806792197749
1809,0.00011595351679716259
1810,0.00011544011067599058
1811,0.00013415278226602823
1812,0.00012084438640158623
1813,0.00011269643437117338
1814,0.00011379481293261051
1815,0.00012146025255788118
1816,0.00012295249325688928
1817,0.0001244090817635879
1818,0.00012262638483662158
1819,0.00011662190081551671
1820,0.000143717261380516
1821,0.0001481246727053076
1822,0.00014028462464921176
1823,0.00014511759218294173
1824,0.00014459808880928904
1825,0.00014561379794031382
1826,0.00014270342944655567
1827,0.0001420183398295194
1828,0.00014166547043714672
1829,0.00013610566384159029
1830,0.00014768495748285204
1831,0.0001446689711883664
1832,0.00012493733083829284
1833,0.00016123241221066564
1834,0.00015359983080998063
1835,0.00015294665354304016
1836,0.00015200760390143842
1837,0.00015181202616076916
1838,0.00015359013923443854
1839,0.00015905973850749433
1840,0.0001533246977487579
1841,0.00016002387565094978
1842,0.00015939935110509396
1843,0.00016078185581136495
1844,0.00016491553105879575
1845,0.00015161806368269026
1846,0.00015752385661471635
1847,0.0001555600465508178
1848,0.00016447281814180315
1849,0.00015345614519901574
1850,0.00016636503278277814
1851,0.00015459166024811566
1852,0.00016429407696705312
1853,0.00016844378842506558
1854,0.0001619654503883794
1855,0.0001607087324373424
1856,0.00016271723143290728
1857,0.0001657042739680037
1858,0.00015836507373023778
1859,0.0001597928931005299
1860,0.00016627463628537953
1861,0.0001576039649080485
1862,0.0001689517084741965
1863,0.0001585095888003707
1864,0.00016465212684124708
1865,0.00016489560948684812
1866,0.0001651006459724158
1867,0.00016099891217891127
1868,0.00016227779269684106
1869,0.00016701642016414553
1870,0.00016140867955982685
1871,0.00016070801939349622
1872,0.00015651479770895094
1873,0.00016230791516136378
1874,0.000155746063683182
1875,0.00015621300553902984
1876,0.00015333236660808325
1877,0.00014667415234725922
1878,0.00014989690680522472
1879,0.00014910544268786907
1880,0.00014937184459995478
1881,0.00014637596905231476
1882,0.0001481520594097674
1883,0.00015179006732068956
1884,0.00014323214418254793
1885,0.0001438520848751068
1886,0.00013628689339384437
1887,0.00013957812916487455
1888,0.00013822414621245116
1889,0.00013732224761042744
1890,0.0001400932524120435
1891,0.0001369999226881191
1892,0.0001429942058166489
1893,0.0001411435951013118
1894,0.0001386200892738998
1895,0.00013005589426029474
1896,0.00013777373533230275
1897,0.0001279198913834989
1898,0.00013000087346881628
1899,0.00015186223026830703
1900,0.00014327664393931627
1901,0.00012958396109752357
1902,0.00012461577716749161
1903,0.00012369087198749185
1904,0.00012396840611472726
1905,0.00011552093928912655
1906,0.00011854281183332205
1907,0.00011399506183806807
1908,0.00011316427116980776
1909,0.00011618530697887763
1910,0.00011337385512888432
1911,0.00010799043957376853
1912,0.00011025162530131638
1913,0.00010637231025611982
1914,0.00010410675895400345
1915,9.958737064152956e-05
1916,0.00010034125443780795
1917,9.96613671304658e-05
1918,9.93069406831637e-05
1919,0.00010275604290654883
1920,0.00010416880832053721
1921,9.991144179366529e-05
1922,0.00010296975960955024
1923,0.00010434895375510678
1924,0.00010410377581138164
1925,0.00010301868314854801
1926,0.00010110941366292536
1927,0.00010210920299869031
1928,0.00010009416291723028
1929,0.00010096414189320058
1930,9.820578270591795e-05
1931,9.45089414017275e-05
1932,9.453937673242763e-05
1933,9.151739504886791e-05
1934,9.723412222228944e-05
1935,9.666683035902679e-05
1936,9.694399341242388e-05
1937,9.298498480347916e-05
1938,9.24037303775549e-05
1939,8.759689808357507e-05
1940,8.858836372382939e-05
1941,8.625413465779275e-05
1942,9.21088649192825e-05
1943,9.28438821574673e-05
1944,9.86498998827301e-05
1945,9.709485311759636e-05
1946,0.0001016278110910207
1947,0.00010010739788413048
1948,9.875978867057711e-05
1949,9.202255023410544e-05
1950,9.594302537152544e-05
1951,9.872102236840874e-05
1952,0.00010338694119127467
1953,9.896713891066611e-05
1954,9.934674017131329e-05
1955,0.00010258206020807847
1956,0.00010527670383453369
1957,0.0001024035518639721
1958,0.00010305247997166589
1959,9.985161887016147e-05
1960,0.00010123846732312813
1961,0.00010131076851394027
1962,0.00010141813982045278
1963,0.00010017757449531928
1964,9.98294199234806e-05
1965,0.00010049166303360835
1966,0.00010507067781873047
1967,0.00010507834667805582
1968,0.00010697012476157397
1969,0.00010865354124689475
1970,0.00010848006058949977
1971,0.00010318926797481254
1972,0.00010299734276486561
1973,0.00010124927939614281
1974,0.00010556340566836298
1975,0.00010435412696097046
1976,0.00010362634930061176
1977,0.00010524575918680057
1978,0.0001051307626767084
1979,0.00010658154496923089
1980,0.00010961927910102531
1981,0.00010897052561631426
1982,0.00011250456736888736
1983,0.00011468806042103097
1984,0.00011913223715964705
1985,0.00011757654283428565
1986,0.00012409953342285007
1987,0.00012537158909253776
1988,0.00012919715663883835
1989,0.0001303802855545655
1990,0.00013263428991194814
1991,0.00013486412353813648
1992,0.00013520207721740007
1993,0.00013547483831644058
1994,0.0001416302111465484
1995,0.0001394604187225923
1996,0.00014511749031953514
1997,0.00015226499817799777
1998,0.00015345583960879594
1999,0.000158345588715747
2000,0.0001736705598887056
2001,0.0001771149254636839
2002,0.00018543215992394835
2003,0.00019078314653597772
2004,0.0001980035740416497
2005,0.0002019029197981581
2006,0.00020826925174333155
2007,0.00021854432998225093
2008,0.000235722356592305
2009,0.0002640996826812625
2010,0.00028152659069746733
2011,0.0003066513454541564
2012,0.0002870488679036498
2013,0.0002833269245456904
2014,0.0003379420086275786
2015,0.00032493009348399937
2016,0.00030126958154141903
2017,0.0003232172457501292
2018,0.0003080952155869454
2019,0.0003294282068964094
