,low
1800,8.414734475081787e-05
1801,8.497746603097767e-05
1802,7.241256389534101e-05
1803,6.916818529134616e-05
1804,7.514561002608389e-05
1805,7.870110857766122e-05
1806,7.842251943657175e-05
1807,7.829967944417149e-05
1808,7.474557060049847e-05
1809,7.363558688666672e-05
1810,7.84514777478762e-05
1811,7.027756510069594e-05
1812,6.645440589636564e-05
1813,7.644599099876359e-05
1814,7.692363578826189e-05
1815,8.29262935440056e-05
1816,6.66734340484254e-05
1817,7.609001477248967e-05
1818,7.748090865788981e-05
1819,8.155252726282924e-05
1820,7.779642328387126e-05
1821,8.051592158153653e-05
1822,8.637909922981635e-05
1823,7.65146323828958e-05
1824,8.376801270060241e-05
1825,7.792928226990625e-05
1826,8.250164682976902e-05
1827,8.070269541349262e-05
1828,7.916234608273953e-05
1829,7.971791637828574e-05
1830,8.294519648188725e-05
1831,8.183963655028492e-05
1832,7.561350503237918e-05
1833,8.287644595839083e-05
1834,8.589969365857542e-05
1835,8.882042311597615e-05
1836,8.381532097700983e-05
1837,8.253450505435467e-05
1838,8.763944788370281e-05
1839,9.16898570721969e-05
1840,8.782723307376727e-05
1841,9.245612454833463e-05
1842,0.00010037448373623192
1843,9.045470505952835e-05
1844,9.304670675192028e-05
1845,9.615000453777611e-05
1846,9.212428267346695e-05
1847,9.471658995607868e-05
1848,9.51712136156857e-05
1849,9.132376726483926e-05
1850,9.491949458606541e-05
1851,9.01633538887836e-05
1852,9.505986963631585e-05
1853,8.862788672558963e-05
1854,9.17023717192933e-05
1855,9.084842167794704e-05
1856,9.381572454003617e-05
1857,9.28116642171517e-05
1858,8.972774958238006e-05
1859,9.305823186878115e-05
1860,9.053061512531713e-05
1861,8.905900904210284e-05
1862,9.083505574380979e-05
1863,8.903275738703087e-05
1864,8.906102448236197e-05
1865,9.262187813874334e-05
1866,9.039669384947047e-05
1867,9.549298556521535e-05
1868,9.325995051767677e-05
1869,9.873504313873127e-05
1870,9.232272714143619e-05
