,management
1800,4.3224525143159553e-05
1801,4.4827953388448805e-05
1802,4.528361023403704e-05
1803,3.581311466405168e-05
1804,3.777595338760875e-05
1805,3.9812464819988236e-05
1806,3.60024168912787e-05
1807,3.792297138716094e-05
1808,3.6198525776853785e-05
1809,3.484505577944219e-05
1810,3.45516309607774e-05
1811,3.8628277252428234e-05
1812,4.0950159018393606e-05
1813,3.730918251676485e-05
1814,4.055943645653315e-05
1815,3.5547956940717995e-05
1816,3.4742100979201496e-05
1817,3.52088209183421e-05
1818,3.9133203245000914e-05
1819,3.6351324524730444e-05
1820,2.9310544050531462e-05
1821,2.822681562975049e-05
1822,3.004641257575713e-05
1823,3.4817367122741416e-05
1824,3.268543514423072e-05
1825,3.218501296942122e-05
1826,3.4331769711570814e-05
1827,3.314481000415981e-05
1828,3.2174215448321775e-05
1829,3.1378691346617416e-05
1830,3.434077734709717e-05
1831,3.470430601737462e-05
1832,4.1962739487644285e-05
1833,3.592304710764438e-05
1834,3.74921910406556e-05
1835,3.584979640436359e-05
1836,3.833531809505075e-05
1837,3.947850927943364e-05
1838,3.84340419259388e-05
1839,3.530037065502256e-05
1840,3.5748114896705374e-05
1841,3.6612622352549806e-05
1842,3.392355938558467e-05
1843,3.539426325005479e-05
1844,3.300172102171928e-05
1845,3.4997035982087255e-05
1846,3.423383896006271e-05
1847,3.728573574335314e-05
1848,3.712610850925557e-05
1849,3.9296981412917376e-05
1850,3.815938180196099e-05
1851,3.849153654300608e-05
1852,3.825830572168343e-05
1853,3.769357499550097e-05
1854,3.619721974246204e-05
1855,3.845991159323603e-05
1856,3.5171986382920295e-05
1857,3.673141691251658e-05
1858,3.7755635275971144e-05
1859,3.819850098807365e-05
1860,3.451508018770255e-05
1861,3.713456680998206e-05
1862,3.6080251447856426e-05
1863,3.6361318052513525e-05
1864,3.527423905325122e-05
1865,3.927151919924654e-05
1866,3.685374031192623e-05
1867,4.0483297198079526e-05
1868,4.224175063427538e-05
1869,4.054016972077079e-05
1870,4.018058461952023e-05
1871,4.025165981147438e-05
1872,4.045982495881617e-05
1873,4.078209167346358e-05
1874,4.156786235398613e-05
1875,4.0246479329653084e-05
1876,4.1085346310865134e-05
1877,4.093798270332627e-05
1878,4.054293822264299e-05
1879,4.128055661567487e-05
1880,3.991900302935392e-05
1881,4.019790139864199e-05
1882,3.962672417401336e-05
1883,4.0013161196839064e-05
1884,4.272886144462973e-05
1885,4.1647574107628316e-05
1886,4.4923559471499175e-05
1887,4.427672683959827e-05
1888,4.394597272039391e-05
1889,4.273501326679252e-05
1890,4.1771727410377935e-05
1891,4.374771015136503e-05
1892,4.252461440046318e-05
1893,4.463487857719883e-05
1894,4.391284164739773e-05
1895,4.3539363105082884e-05
1896,4.252353392075747e-05
1897,4.450809501577169e-05
1898,4.309566429583356e-05
1899,4.31427288276609e-05
1900,4.603216075338423e-05
1901,4.657579484046437e-05
1902,4.536304550128989e-05
1903,4.685915700974874e-05
1904,4.5291973947314546e-05
1905,4.709235145128332e-05
1906,4.696206087828614e-05
1907,4.902428190689534e-05
1908,4.7967099817469716e-05
1909,4.876067032455467e-05
1910,4.629500472219661e-05
1911,5.177833008929156e-05
1912,5.257011071080342e-05
1913,5.649471131619066e-05
1914,5.304900696501136e-05
1915,5.3466148528968915e-05
1916,5.535284799407236e-05
1917,5.335268724593334e-05
1918,5.459874591906555e-05
1919,6.472050881711766e-05
1920,5.914811117690988e-05
1921,5.974773739580996e-05
1922,5.8447287301532924e-05
1923,6.030569420545362e-05
1924,5.537149263545871e-05
1925,5.464022979140282e-05
1926,5.299016265780665e-05
1927,6.0403894167393446e-05
1928,5.879013770027086e-05
1929,5.6084558309521526e-05
1930,5.934969158261083e-05
1931,5.729309486923739e-05
1932,5.6547793064964935e-05
1933,5.909735773457214e-05
1934,5.94066696066875e-05
1935,6.043497342034243e-05
1936,6.399508129106835e-05
1937,6.10631686868146e-05
1938,6.59148208796978e-05
1939,7.13553381501697e-05
1940,7.354162517003715e-05
1941,8.179442374967039e-05
1942,7.34252535039559e-05
1943,7.530407310696319e-05
1944,8.069683099165559e-05
1945,8.46180846565403e-05
1946,8.56134865898639e-05
1947,9.505133493803442e-05
1948,9.436821710551158e-05
1949,9.770642645889893e-05
1950,8.775998867349699e-05
1951,8.685970533406362e-05
1952,8.746063394937664e-05
1953,9.671144653111696e-05
1954,9.892703383229673e-05
1955,9.630583372199908e-05
1956,0.00010219535761279985
1957,0.00010266520257573575
1958,0.0001037830879795365
1959,0.00010803995974129066
1960,0.00010894676233874634
1961,0.00010445599036756903
1962,0.00010693666990846395
1963,0.00011098021059297025
1964,0.00010673244105419144
1965,0.00010500085045350716
1966,0.00010790275700856
1967,0.00011326005915179849
1968,0.00011727291712304577
1969,0.00012223358498886228
1970,0.00012926924682687968
1971,0.00013431493425741792
1972,0.00013603251136373729
1973,0.00014363534864969552
1974,0.00014918197121005505
1975,0.0001569577434565872
1976,0.00016818575386423618
1977,0.00017846924311015755
1978,0.00018759421072900295
1979,0.00018791206821333617
1980,0.00018966649076901376
1981,0.00018388297758065164
1982,0.00019165690173394978
1983,0.00018899518181569874
1984,0.00019905061344616115
1985,0.00020385542302392423
1986,0.00021334442135412246
1987,0.00020553315698634833
1988,0.00021024061425123364
1989,0.00020987541938666254
1990,0.00021967942302580923
1991,0.00021071964874863625
1992,0.00021303970424924046
1993,0.00021403572463896126
1994,0.00022468919632956386
1995,0.00022259374964050949
1996,0.00021942303283140063
1997,0.00021182041382417083
1998,0.00021175235451664776
1999,0.00020578241674229503
2000,0.00020265784405637532
2001,0.00019507095566950738
2002,0.0002030381583608687
2003,0.00020040819072164595
2004,0.0001991262979572639
2005,0.0002018598170252517
2006,0.0001914871681947261
2007,0.0001857295719673857
2008,0.0001793283154256642
2009,0.0001675753592280671
2010,0.0001662247523199767
2011,0.00015582441119477153
2012,0.00015185178199317306
2013,0.00015025673201307654
2014,0.00013066177780274302
2015,0.00013315185788087547
2016,0.00014787704276386648
2017,0.00012818549294024706
2018,0.00012362509733065963
2019,0.00013065180974081159
