,market
1800,4.8998645070241764e-05
1801,6.436397961806506e-05
1802,5.525458254851401e-05
1803,3.819335324806161e-05
1804,3.889083745889366e-05
1805,4.761329182656482e-05
1806,4.6744418796151876e-05
1807,4.434241054696031e-05
1808,5.101857823319733e-05
1809,3.9047528844093904e-05
1810,4.3851512600667775e-05
1811,4.6762193960603327e-05
1812,5.395811240305193e-05
1813,5.5963773775147274e-05
1814,4.703195008914918e-05
1815,5.035097274230793e-05
1816,4.909870767733082e-05
1817,4.735367474495433e-05
1818,4.479667040868662e-05
1819,6.140201730886474e-05
1820,4.6448043576674536e-05
1821,4.548649303615093e-05
1822,5.333109220373444e-05
1823,4.591517790686339e-05
1824,4.543583054328337e-05
1825,4.628751412383281e-05
1826,4.932813681080006e-05
1827,4.878025356447324e-05
1828,5.576356124947779e-05
1829,5.5613832955714315e-05
1830,5.242762199486606e-05
1831,5.3582531108986586e-05
1832,7.420415931846946e-05
1833,5.815988333779387e-05
1834,5.399260771810077e-05
1835,5.10674508404918e-05
1836,4.823798735742457e-05
1837,4.793528205482289e-05
1838,4.6936886064941064e-05
1839,4.58525464637205e-05
1840,5.029509702580981e-05
1841,5.1403101679170504e-05
1842,5.6055301683954895e-05
1843,5.0310700316913426e-05
1844,5.018640149501152e-05
1845,4.92791150463745e-05
1846,5.758610859629698e-05
1847,5.1622882892843336e-05
1848,5.5321499530691653e-05
1849,5.1814033213304356e-05
1850,5.5860724387457594e-05
1851,5.7844303228193894e-05
1852,5.0760161684593186e-05
1853,5.1450686441967264e-05
1854,5.0657450628932565e-05
1855,5.529888585442677e-05
1856,5.0268281484022737e-05
1857,4.935324614052661e-05
1858,4.81628485431429e-05
1859,5.269410030450672e-05
1860,4.873628859058954e-05
1861,4.839824032387696e-05
1862,5.070470433565788e-05
1863,5.1681727200048044e-05
1864,4.8526690079597756e-05
1865,5.393929677666165e-05
1866,5.957530083833262e-05
1867,5.874051930732094e-05
1868,5.912625420023687e-05
1869,5.6541815865784883e-05
1870,5.714709186577238e-05
1871,5.5390260968124494e-05
1872,5.638122820528224e-05
1873,5.8579942560754716e-05
1874,6.0185051552252844e-05
1875,5.597591007244773e-05
1876,5.844849147251807e-05
1877,5.71787022636272e-05
1878,6.549584941240028e-05
1879,6.374705117195845e-05
1880,6.229380960576236e-05
1881,6.308333104243502e-05
1882,6.39903882984072e-05
1883,6.486121856141835e-05
1884,6.977603334235027e-05
1885,6.537990702781826e-05
1886,7.1149472205434e-05
1887,7.264564919751137e-05
1888,7.854014984332025e-05
1889,8.272018749266863e-05
1890,7.899553747847676e-05
1891,7.77561726863496e-05
1892,8.024747512536123e-05
1893,7.985034608282149e-05
1894,8.478997915517539e-05
1895,7.966387056512758e-05
1896,8.367635746253654e-05
1897,8.356721082236618e-05
1898,8.4466599219013e-05
1899,7.866635132813826e-05
1900,8.364050154341385e-05
1901,8.746047387830913e-05
1902,8.79128638189286e-05
1903,9.139081521425396e-05
1904,9.288279397878796e-05
1905,9.682836389401928e-05
1906,9.630756539991125e-05
1907,0.00010058558837044984
1908,0.00010762007150333375
1909,0.00011599340359680355
1910,0.00010256967652821913
1911,0.0001105043338611722
1912,0.00010826402285601944
1913,0.00011960065603489056
1914,0.00011772244761232287
1915,0.00012251036241650581
1916,0.0001313076791120693
1917,0.00012673341552726924
1918,0.00012511310342233628
1919,0.00014941912377253175
1920,0.0001601167459739372
1921,0.00017449661390855908
1922,0.00016639442765153944
1923,0.00014209665823727846
1924,0.00014437289792113006
1925,0.00013382226461544633
1926,0.00013739443966187537
1927,0.00013572597526945174
1928,0.000147458296851255
1929,0.00014756724704056978
1930,0.00014868723519612104
1931,0.00014515432121697813
1932,0.0001506828994024545
1933,0.00014540150004904717
1934,0.00014767114771530032
1935,0.00013374804984778166
1936,0.00013849165407009423
1937,0.00013177626533433795
1938,0.00012658131890930235
1939,0.00013290713832248002
1940,0.00013009902613703161
1941,0.00014311869745142758
1942,0.00011146755423396826
1943,0.00010492322326172143
1944,0.00011031127360183746
1945,0.00011988235200988129
1946,0.00011833744065370411
1947,0.00012489916116464883
1948,0.00012289881124161184
1949,0.00012559423339553177
1950,0.00011365074169589207
1951,0.00012015725224046037
1952,0.00012053141108481213
1953,0.00012305506970733404
1954,0.00012695750046987087
1955,0.00013665399455931038
1956,0.00013638762175105512
1957,0.0001354704290861264
1958,0.0001386262010782957
1959,0.00013689568731933832
1960,0.00013282134023029357
1961,0.0001390454126521945
1962,0.0001370401296298951
1963,0.00013874258729629219
1964,0.00013941049110144377
1965,0.0001321405143244192
1966,0.00013561926607508212
1967,0.0001381993934046477
1968,0.00014223116158973426
1969,0.0001412934943800792
