,other
1800,0.0015596625162288547
1801,0.0015766016440466046
1802,0.001512946910224855
1803,0.0016360264271497726
1804,0.0014215974370017648
1805,0.0014944459544494748
1806,0.0014983079163357615
1807,0.0015782708069309592
1808,0.001514152274467051
1809,0.0016301668947562575
1810,0.0015300007071346045
1811,0.0015177192399278283
1812,0.001533272909000516
1813,0.001521479687653482
1814,0.001525355502963066
1815,0.0015321497339755297
1816,0.001569343265146017
1817,0.001550238230265677
1818,0.001520603196695447
1819,0.001613433356396854
1820,0.0015045112231746316
1821,0.0015053165843710303
1822,0.001524877268821001
1823,0.0015718898503109813
1824,0.0015410225605592132
1825,0.0014989126939326525
1826,0.0015458380803465843
1827,0.0015141763724386692
1828,0.0014944750582799315
1829,0.0015799591783434153
1830,0.001504560001194477
1831,0.0015016261022537947
1832,0.0015574736753478646
1833,0.00149210833478719
1834,0.0015271470183506608
1835,0.001534653245471418
1836,0.0015491299564018846
1837,0.0015113070840016007
1838,0.001530771958641708
1839,0.001524906256236136
1840,0.0015034028328955173
1841,0.0015369612956419587
1842,0.001551701338030398
1843,0.0015383596764877439
1844,0.0014894503401592374
1845,0.001538527780212462
1846,0.0015286598354578018
1847,0.001522265374660492
1848,0.0014826958067715168
1849,0.0015046715270727873
1850,0.0014725878136232495
1851,0.0015234834281727672
1852,0.001477754325605929
1853,0.0014813396846875548
1854,0.0015018380945548415
1855,0.0014926476869732141
1856,0.0014804053353145719
1857,0.0014731859555467963
1858,0.001467113965190947
1859,0.0014631646918132901
1860,0.0014565399615094066
1861,0.0014759443001821637
1862,0.0014680412132292986
1863,0.0014798687770962715
1864,0.001452282420359552
1865,0.0014597484841942787
1866,0.0014539179392158985
1867,0.0014756862074136734
1868,0.0014788114931434393
1869,0.0014561018906533718
1870,0.0014809123240411282
1871,0.0014815267641097307
1872,0.0014955467777326703
1873,0.0014884901465848088
1874,0.0014851351734250784
1875,0.0014641821617260575
1876,0.0014783345395699143
1877,0.0014637020649388433
1878,0.0014612280065193772
1879,0.0014484085841104388
1880,0.0014254703419283032
1881,0.0014159841230139136
1882,0.0014333123108372092
1883,0.0014178019482642412
1884,0.0014307680539786816
1885,0.001418698811903596
1886,0.0014374216552823782
1887,0.0014321054331958294
1888,0.0014368323609232903
1889,0.0014327316312119365
1890,0.0014410930452868342
1891,0.0014173411764204502
1892,0.0014320361660793424
1893,0.0014228116488084197
1894,0.0014526376035064459
1895,0.0014665103517472744
1896,0.0014283350901678205
1897,0.0014255346031859517
1898,0.0014302160125225782
1899,0.001406912226229906
1900,0.0014168008929118514
1901,0.001430031261406839
1902,0.0014276939909905195
1903,0.0014361239736899734
1904,0.0014464623527601361
1905,0.001437114435248077
1906,0.0014329160330817103
1907,0.0014434577897191048
1908,0.0014407638227567077
1909,0.001491514383815229
1910,0.0014833653112873435
1911,0.0015090821543708444
1912,0.001499274861998856
1913,0.0015215747989714146
1914,0.0015190811827778816
1915,0.0015177372843027115
1916,0.0015174656873568892
1917,0.001511897542513907
1918,0.0014793190639466047
1919,0.001492656534537673
1920,0.001483607105910778
1921,0.0014835461042821407
1922,0.0014771667774766684
1923,0.0014695404097437859
1924,0.0014828054700046778
1925,0.001468564965762198
1926,0.0014801552752032876
1927,0.0014762163627892733
1928,0.0014573483495041728
1929,0.0014773639850318432
1930,0.001479542814195156
1931,0.0014717073645442724
1932,0.001458353130146861
1933,0.0014992686919867992
1934,0.0014759207842871547
1935,0.0014841555384919047
1936,0.0014909306773915887
1937,0.0014966162852942944
1938,0.0015061974991112947
1939,0.0015627946704626083
1940,0.0015121819451451302
1941,0.0015397128881886601
1942,0.0015447607729583979
1943,0.0015564243076369166
1944,0.0015322209801524878
1945,0.0015603747451677918
1946,0.0015231011202558875
1947,0.0015410163905471563
1948,0.0015367508167400956
1949,0.0015391972847282887
1950,0.0014906071592122316
1951,0.0015129175735637546
1952,0.001507120206952095
1953,0.0015078273136168718
1954,0.0015041906153783202
1955,0.0015105147613212466
1956,0.001494790194556117
1957,0.0015005827881395817
1958,0.0014791085850447416
1959,0.0015015318058431149
1960,0.0014795338502153754
1961,0.001488958834670484
1962,0.0014701258623972535
1963,0.0014798082411289215
1964,0.0014706254005432129
1965,0.0014750540722161531
1966,0.0014600292779505253
1967,0.0014784031081944704
1968,0.0014592879451811314
1969,0.001462031272239983
1970,0.00145010428968817
1971,0.001458816695958376
1972,0.001452068448998034
1973,0.0014495820505544543
1974,0.0014426192501559854
1975,0.001448715920560062
1976,0.0014329286059364676
1977,0.0014261443866416812
1978,0.0014054622733965516
1979,0.0014027089346200228
1980,0.001387924188748002
1981,0.0013732346706092358
1982,0.0013608530862256885
1983,0.0013552707387134433
1984,0.0013408587547019124
1985,0.001325600198470056
1986,0.0013229437172412872
1987,0.001325490535236895
1988,0.0013362333411350846
1989,0.0013177510118111968
1990,0.0013254674850031734
1991,0.0013156489003449678
1992,0.0013335921103134751
1993,0.0013294927775859833
1994,0.0013332015369087458
1995,0.0013293445808812976
1996,0.0013326997868716717
1997,0.0013523836387321353
1998,0.0013446590164676309
1999,0.0013492103898897767
2000,0.0013387727085500956
2001,0.0013390672393143177
2002,0.0013440244365483522
2003,0.0013388742227107286
2004,0.00134227704256773
2005,0.0013418523594737053
2006,0.0013310447102412581
2007,0.0013223080895841122
2008,0.0013208979507908225
2009,0.001311631640419364
2010,0.0012935310369357467
2011,0.001248103566467762
2012,0.0012185688829049468
2013,0.0012514777481555939
2014,0.0012209531851112843
2015,0.001209515379741788
2016,0.0012271818704903126
2017,0.0011736935703083873
2018,0.0011628842912614346
2019,0.001195511664263904
