,our
1800,0.0014748682733625174
1801,0.0016196230426430702
1802,0.0016721334541216493
1803,0.0014667585492134094
1804,0.0014913213672116399
1805,0.0015851932112127542
1806,0.0016439342871308327
1807,0.0015372599009424448
1808,0.0017378872726112604
1809,0.0015792847843840718
1810,0.0015484687173739076
1811,0.0017173305386677384
1812,0.0018086726777255535
1813,0.0016479716869071126
1814,0.001615347107872367
1815,0.0017137560062110424
1816,0.0015160419279709458
1817,0.0016234979266300797
1818,0.0016404890920966864
1819,0.001483927946537733
1820,0.0015846297610551119
1821,0.0015814185608178377
1822,0.001560501754283905
1823,0.0015719074290245771
1824,0.0016165701672434807
1825,0.001571012195199728
1826,0.0015579191967844963
1827,0.0014969768235459924
1828,0.0015928368084132671
1829,0.001606036676093936
1830,0.001639852300286293
1831,0.0015478640561923385
1832,0.0012535852147266269
1833,0.0016024805372580886
1834,0.0015240998473018408
1835,0.0015421467833220959
1836,0.0015790635952726007
1837,0.0015179294859990478
1838,0.001488388516008854
1839,0.001537110423669219
1840,0.0015369342872872949
1841,0.0015581727493554354
1842,0.0014990059426054358
1843,0.0015489178476855159
1844,0.0015782378613948822
1845,0.0014651974197477102
1846,0.0015224708477035165
1847,0.001466791843995452
1848,0.0014974967343732715
1849,0.0014975530793890357
1850,0.0014862571842968464
1851,0.0014474872732535005
1852,0.0014744108775630593
1853,0.001457554055377841
1854,0.0014493963681161404
1855,0.0014477568911388516
1856,0.0014227277133613825
1857,0.0013754806714132428
1858,0.0013906641397625208
1859,0.0013742418959736824
1860,0.0013558644568547606
1861,0.001334400032646954
1862,0.0013805951457470655
1863,0.0013454131549224257
1864,0.0013660639524459839
1865,0.0013576843775808811
1866,0.0013225395232439041
1867,0.0012300149537622929
1868,0.0012419504346325994
1869,0.0012218756601214409
1870,0.0012033763341605663
1871,0.0012117358855903149
1872,0.0011500143446028233
1873,0.0011197734856978059
1874,0.0011239958694204688
1875,0.0010965298861265182
1876,0.0010903743095695972
1877,0.0010401303879916668
1878,0.0010643963469192386
1879,0.0010454215807840228
1880,0.0010358785511925817
1881,0.0010463491780683398
1882,0.0010285767493769526
