,own
1800,0.0007414522115141153
1801,0.0007724366732873023
1802,0.0006944481865502894
1803,0.0006677324417978525
1804,0.0007552005699835718
1805,0.0007179250242188573
1806,0.0007790065137669444
1807,0.0006953092524781823
1808,0.0007865263032726943
1809,0.0007017442840151489
1810,0.0007397991721518338
1811,0.0007999526569619775
1812,0.0007598538068123162
1813,0.000707957602571696
1814,0.000732601445633918
1815,0.0007086582481861115
1816,0.0007458403124473989
1817,0.0007428357494063675
1818,0.0007208310416899621
1819,0.0006738460506312549
1820,0.0007727406919002533
1821,0.0007321213488467038
1822,0.0007443806971423328
1823,0.0007539267535321414
1824,0.0007830951944924891
1825,0.0007816850556991994
1826,0.0007462541107088327
1827,0.0007716993568465114
1828,0.0007482249056920409
1829,0.000741654890589416
1830,0.0007913025910966098
1831,0.0007490224670618773
1832,0.0006228243000805378
1833,0.0007644329452887177
1834,0.0007276015821844339
1835,0.0007526412373408675
1836,0.0007481129141524434
1837,0.0007370475213974714
1838,0.0007125643314793706
1839,0.0007424905779771507
1840,0.0007297489210031927
1841,0.0007298128912225366
1842,0.0007061309879645705
1843,0.0007276466931216419
1844,0.0007433934952132404
1845,0.0006962281186133623
1846,0.0007087065605446696
1847,0.00070472143124789
1848,0.0007189500611275434
1849,0.0007025492377579212
1850,0.000707379134837538
1851,0.0006892763776704669
1852,0.0006933257100172341
1853,0.0006956783472560346
1854,0.0006948097143322229
1855,0.00067432492505759
1856,0.0006801892304793
1857,0.0006591961137019098
1858,0.0006437848205678165
1859,0.0006555509753525257
1860,0.0006553832208737731
1861,0.000641658145468682
1862,0.000648637127596885
1863,0.0006380821578204632
1864,0.0006326243164949119
1865,0.0006264448747970164
1866,0.0006204561796039343
1867,0.000602671701926738
1868,0.0006031165830790997
1869,0.0006093951524235308
1870,0.0006013620877638459
1871,0.0006044681067578495
1872,0.0005902094999328256
1873,0.0005860377568751574
1874,0.0005642179166898131
1875,0.0005782060907222331
1876,0.0005604014731943607
1877,0.0005568562773987651
1878,0.0005417619831860065
1879,0.000544312468264252
1880,0.0005505950539372861
1881,0.0005440822569653392
1882,0.0005420826491899788
1883,0.0005470981705002487
1884,0.0005303114885464311
1885,0.0005163993337191641
