,pages
1800,2.823166323651094e-05
1801,3.0577954021282494e-05
1802,2.5757995899766684e-05
1803,2.3736129151075147e-05
1804,3.027081947948318e-05
1805,3.14312128466554e-05
1806,3.222600935259834e-05
1807,3.1379666324937716e-05
1808,3.1007049983600155e-05
1809,2.8870737878605723e-05
1810,3.357624154887162e-05
1811,2.7276710170553997e-05
1812,2.5286413801950403e-05
1813,2.644411870278418e-05
1814,3.7525805964833125e-05
1815,3.277082578279078e-05
1816,2.6645204343367368e-05
1817,3.37387973559089e-05
1818,4.0802904550218955e-05
1819,3.2424257369711995e-05
1820,2.9749537134193815e-05
1821,3.6499481211649254e-05
1822,3.040412047994323e-05
1823,3.24876127706375e-05
1824,3.604918310884386e-05
1825,3.478856524452567e-05
1826,3.575845039449632e-05
1827,3.47614950442221e-05
1828,3.6372701288200915e-05
1829,3.72448266716674e-05
1830,3.435102553339675e-05
1831,3.527503940858878e-05
1832,5.256213989923708e-05
1833,3.6259945773053914e-05
1834,4.395645373733714e-05
1835,3.659485446405597e-05
1836,3.4635675547178835e-05
1837,4.3581017962424085e-05
1838,3.723761619767174e-05
1839,3.5785866202786565e-05
1840,3.547761298250407e-05
1841,3.792748611886054e-05
1842,3.6621531762648374e-05
1843,3.732812911039218e-05
1844,3.784578075283207e-05
1845,3.612686487031169e-05
1846,3.7424957554321736e-05
1847,3.7662994145648554e-05
1848,3.995015867985785e-05
1849,4.0725048165768385e-05
1850,4.2082312575075775e-05
1851,4.021496351924725e-05
1852,4.301882290747017e-05
1853,3.844222374027595e-05
1854,4.0373794035986066e-05
1855,4.2548523197183385e-05
1856,4.33001623605378e-05
1857,4.307662311475724e-05
1858,4.521723531070165e-05
1859,4.728786734631285e-05
1860,4.6455210394924507e-05
1861,4.878130494034849e-05
1862,4.702182923210785e-05
1863,4.617770537151955e-05
1864,4.785133569384925e-05
1865,4.490157152758911e-05
1866,4.386920409160666e-05
1867,4.524564792518504e-05
1868,5.0334943807683885e-05
1869,4.602827175403945e-05
1870,4.7750931116752326e-05
1871,5.016306749894284e-05
1872,4.6140674385242164e-05
1873,4.9889749789144844e-05
1874,5.119912020745687e-05
1875,4.806404103874229e-05
1876,4.83670701214578e-05
1877,4.9805963499238715e-05
1878,5.1279523177072406e-05
1879,5.1853323384420946e-05
1880,4.8358120693592355e-05
1881,5.033570414525457e-05
1882,4.895192614640109e-05
1883,5.103845614939928e-05
1884,5.0680519052548334e-05
1885,5.304219666868448e-05
1886,5.328132101567462e-05
1887,5.4006624850444496e-05
1888,5.716863233828917e-05
