,personal
1800,6.685673724859953e-05
1801,5.917111775488593e-05
1802,6.319856038317084e-05
1803,5.7863479014486074e-05
1804,6.955170101718977e-05
1805,7.018006726866588e-05
1806,6.808346370235085e-05
1807,6.458094867412001e-05
1808,5.83967957936693e-05
1809,6.05268360232003e-05
1810,5.813379175378941e-05
1811,7.461389759555459e-05
1812,7.419129542540759e-05
1813,7.050087151583284e-05
1814,8.072674972936511e-05
1815,7.790339441271499e-05
1816,7.482600631192327e-05
1817,8.30802891869098e-05
1818,8.631071978015825e-05
1819,8.046493167057633e-05
1820,7.899465708760545e-05
1821,8.263265044661239e-05
1822,7.968890713527799e-05
1823,8.089969196589664e-05
1824,8.197275019483641e-05
1825,8.112237264867872e-05
1826,8.941185660660267e-05
1827,0.00010070280404761434
1828,9.80932018137537e-05
1829,9.178032632917166e-05
1830,9.332487388746813e-05
1831,0.00010248026228509843
1832,0.0001099588698707521
1833,9.476607374381274e-05
1834,9.148284880211577e-05
1835,0.00010024066432379186
1836,0.00010254563676426187
1837,0.0001017516478896141
1838,9.952864638762549e-05
1839,9.50941102928482e-05
1840,9.317278454545885e-05
1841,9.592360584065318e-05
1842,8.964413427747786e-05
1843,9.425683674635366e-05
1844,9.793436765903607e-05
1845,9.460766159463674e-05
1846,0.00010515406756894663
1847,0.00010041797941084951
1848,9.885813051369041e-05
1849,0.00010429690883029252
1850,9.858660632744431e-05
1851,0.00010297268454451114
1852,0.00010249951446894556
1853,0.00010327088239137083
1854,9.912537643685937e-05
1855,0.00010113754979101941
1856,0.00010412280971650034
1857,0.00010015165025833994
1858,0.0001039056369336322
1859,0.00010248643957311288
1860,0.00010207213927060366
1861,0.00010743476013885811
1862,0.000101238809293136
1863,0.00010668866889318451
1864,0.00010314818064216524
1865,0.00010274427040712908
1866,0.00010700470011215657
1867,0.00010743809980340302
1868,0.00010568827565293759
1869,0.00010581489186733961
1870,0.00010638928506523371
1871,0.00010843010386452079
1872,0.00011528684990480542
1873,0.00010978239879477769
1874,0.00010744038445409387
1875,0.000106819425127469
1876,0.00010723170271376148
1877,0.00011148542398586869
1878,0.00010724821913754568
1879,0.00011049953172914684
1880,0.00011074489884776995
1881,0.0001121559034800157
1882,0.00011052205081796274
1883,0.00010942994413198903
1884,0.00011349987471476197
1885,0.00011213584366487339
1886,0.00012085396883776411
1887,0.00011856755008921027
1888,0.00011744870425900444
1889,0.00011538185208337381
1890,0.0001157518127001822
1891,0.00011522653221618384
1892,0.00011572306539164856
1893,0.0001152200493379496
1894,0.00011623144382610917
1895,0.00011403494136175141
1896,0.00011232031101826578
