,photo
1800,1.8651788025181304e-07
1801,3.240477397525865e-08
1802,5.593165042228065e-07
1803,4.3224709145306406e-08
1804,3.2503832958497014e-09
1805,3.0388875860154485e-09
1806,1.9655997718359686e-08
1807,1.2813257121990773e-08
1808,9.088712893401407e-09
1809,7.239402854963828e-09
1810,7.32274285653034e-09
1811,4.942626752324486e-09
1812,2.6595948554586357e-08
1813,7.627817488753408e-09
1814,1.6406875857910563e-08
1815,6.683831266229845e-09
1816,1.765212509496905e-08
1817,2.9254138667056395e-08
1818,1.2167864937850936e-08
1819,7.987254413421851e-09
1820,1.6792061074966114e-08
1821,1.253244064081116e-09
1822,4.2083283524618764e-09
1823,1.6508456823771667e-08
1824,0.0
1825,4.366911721120914e-09
1826,2.2417857792333962e-07
1827,1.0327241284358024e-08
1828,7.090541043197618e-09
1829,3.3179508029945737e-09
1830,6.587947964931118e-09
1831,6.178441314119709e-09
1832,4.289541948310216e-07
1833,7.338449847793527e-09
1834,8.453413968823043e-09
1835,5.7220436389116e-08
1836,2.886739292051743e-09
1837,1.104700597664987e-08
1838,3.577551055400363e-08
1839,2.206798654924569e-08
1840,1.246806746735274e-08
1841,1.2822725992123196e-08
1842,6.896110793519483e-09
1843,1.4814849791378037e-08
1844,1.665467053157954e-08
1845,5.789629753394365e-08
1846,1.0557499763308442e-08
1847,2.4776440454843396e-08
1848,1.9621197111518995e-08
1849,6.163337218367815e-08
1850,4.412077814208715e-08
1851,6.890647341606382e-08
1852,4.175561940655825e-08
1853,9.270873135847069e-08
1854,5.9475031122246946e-08
1855,5.379751044642944e-08
1856,1.6282702119951864e-07
1857,3.1321255278271565e-07
1858,3.4068384024976694e-07
1859,2.6718078061094275e-07
1860,3.736660119102453e-07
1861,3.310474028239696e-07
1862,4.2224067442475643e-07
1863,4.4148330857751716e-07
1864,6.073447593735182e-07
1865,5.097664370623534e-07
1866,5.433525416265184e-07
1867,4.826308099836751e-07
1868,4.191792584151699e-07
1869,4.515095497481525e-07
1870,6.361306077451445e-07
1871,7.098620926626609e-07
1872,5.314801114764123e-07
1873,6.25902089268493e-07
1874,8.07788239853835e-07
1875,7.344279993048985e-07
1876,9.4014995966063e-07
1877,8.017291861506237e-07
1878,1.0808192882905132e-06
1879,8.951284939939796e-07
1880,7.79981519372086e-07
1881,9.184550435747951e-07
1882,1.0296432719769655e-06
1883,1.257849817193346e-06
1884,1.4505969829770038e-06
1885,1.3267185750009958e-06
1886,1.645064003241714e-06
1887,2.410209162917454e-06
1888,2.3735526610835223e-06
1889,2.0700565528386505e-06
1890,2.5059864583454328e-06
1891,2.5617866867833072e-06
1892,2.0875213522231206e-06
1893,2.1963742256048135e-06
1894,2.2130191155156353e-06
1895,2.332775011382182e-06
1896,2.873161747629638e-06
1897,2.836451130860951e-06
1898,3.0075393624429125e-06
1899,2.525637682992965e-06
1900,2.992418103531236e-06
1901,2.5177675979648484e-06
1902,2.684584160306258e-06
1903,2.8587696760951076e-06
1904,2.717981260502711e-06
1905,2.468293587298831e-06
1906,2.461434405631735e-06
1907,3.11476833303459e-06
1908,2.627857611514628e-06
1909,2.8605445550056174e-06
1910,2.583367631814326e-06
1911,2.5912318051268812e-06
1912,2.9342386369535234e-06
