,photos
1800,2.7779258005011798e-08
1801,0.0
1802,5.467003205694709e-08
1803,0.0
1804,0.0
1805,9.11666298009095e-09
1806,7.370998922340277e-09
1807,2.135542853665129e-09
1808,1.8177425120669e-09
1809,1.809850713740957e-09
1810,5.858194374042114e-09
1811,0.0
1812,2.5329474073743086e-09
1813,0.0
1814,0.0
1815,1.6709578165574612e-09
1816,4.073567261286826e-09
1817,2.9254139111145605e-09
1818,0.0
1819,2.6624180637924155e-09
1820,2.3988659947349333e-09
1821,5.012976256324464e-09
1822,0.0
1823,0.0
1824,8.998797818016158e-10
1825,1.7467646218349842e-09
1826,4.9161967830002595e-09
1827,1.8776802335196408e-09
1828,0.0
1829,9.12436437516817e-09
1830,0.0
1831,0.0
1832,1.3478606319949904e-07
1833,0.0
1834,7.1528889478145175e-09
1835,2.0265570555011436e-08
1836,5.773478362058881e-10
1837,5.814213555055403e-10
1838,1.7594514734042832e-09
1839,8.932280692874883e-09
1840,5.420898729902035e-10
1841,1.6028407490153995e-09
1842,5.304700567698717e-10
1843,3.1746105744190345e-09
1844,2.4492163852585236e-09
1845,1.6602614394400916e-08
1846,1.377065128593813e-09
1847,2.337400051288796e-09
1848,1.8686854286187327e-09
1849,5.021978388697335e-09
1850,3.818144467260254e-09
1851,5.742205821945845e-09
1852,4.890297944371014e-09
1853,8.971812626157316e-09
1854,2.9250015742832147e-09
1855,2.831447964979361e-09
1856,2.70252309420016e-09
1857,1.0251877569089629e-08
1858,4.777659157184644e-09
1859,8.349399394091961e-09
1860,1.21298251443136e-08
1861,4.435470657426777e-09
1862,1.876625077557037e-08
1863,2.1348323997472107e-08
1864,7.512728217307085e-09
1865,1.0920780724177348e-08
1866,3.4419013417164024e-08
1867,2.2746943884044413e-08
1868,2.3218939659841453e-08
1869,2.4464510417487872e-08
1870,4.3860644893811696e-08
1871,6.96373803066308e-08
1872,4.821561105927685e-08
1873,5.4104905444773976e-08
1874,6.277117137187815e-08
1875,7.56787628120037e-08
1876,1.0267103789374232e-07
1877,7.677905955461028e-08
1878,8.424156305864017e-08
1879,1.0330469990549318e-07
1880,6.997324675239724e-08
1881,1.0261499738817292e-07
1882,1.0680135886786957e-07
1883,1.7219467451923265e-07
1884,1.577648447437241e-07
1885,1.3680083554845623e-07
1886,1.9045505439407862e-07
1887,2.5842737727543863e-07
1888,3.2363857371819904e-07
1889,2.427522360903822e-07
1890,2.510822412205016e-07
1891,3.649974189556815e-07
1892,3.169295439420239e-07
1893,3.780440920309047e-07
1894,4.4127745013611275e-07
1895,3.9278077679227863e-07
1896,4.1536381445439474e-07
1897,4.5109192114978214e-07
1898,4.795701897819526e-07
1899,4.639673818473966e-07
1900,6.699521009068121e-07
1901,4.4976368940297107e-07
1902,5.104993761051446e-07
1903,5.020556272938848e-07
1904,5.508416620614298e-07
1905,5.010350037082389e-07
1906,5.684696020580304e-07
1907,5.912810934205481e-07
1908,5.715286306440248e-07
1909,6.710696993650345e-07
1910,6.041292408554e-07
1911,5.948727448412683e-07
1912,7.100940706550318e-07
1913,7.002783490861475e-07
1914,7.53116978557955e-07
1915,7.852950147935189e-07
1916,9.086756449505629e-07
1917,8.442045782430796e-07
1918,7.452946420016815e-07
1919,7.965445547597483e-07
1920,7.758244464639574e-07
1921,8.4767196995017e-07
1922,8.715936132830393e-07
1923,9.16813405638095e-07
1924,8.111323381854163e-07
1925,9.098759505832277e-07
1926,7.545273774667294e-07
1927,8.391970709453744e-07
1928,1.0040608913186588e-06
1929,1.0336881359762629e-06
1930,8.182860256056301e-07
1931,9.857803888735361e-07
1932,1.0138593324882095e-06
1933,8.995930897981452e-07
1934,1.0975628583764774e-06
1935,1.1283975709375227e-06
1936,1.2018426787108183e-06
1937,1.156286657533201e-06
1938,3.2382160952693084e-06
1939,1.4248760180635145e-06
1940,1.8232668708151323e-06
1941,5.1187180361012e-06
1942,1.8295365862286417e-06
1943,3.056398327316856e-06
1944,2.344012955290964e-06
1945,2.9018121949775377e-06
1946,2.484917104084161e-06
1947,2.641908395162318e-06
1948,3.1202848731481936e-06
1949,4.5936212700325996e-06
1950,3.930013463104842e-06
1951,4.635741788661107e-06
1952,4.1028215491678566e-06
1953,5.481158495967975e-06
1954,6.379859314620262e-06
1955,4.9330883484799415e-06
1956,5.462788067234214e-06
1957,6.216095243871678e-06
1958,5.9478757066244725e-06
1959,4.973815066477982e-06
1960,4.485013960220385e-06
1961,3.6725884910993045e-06
1962,5.2897421483066864e-06
1963,3.874362846545409e-06
1964,4.110815098101739e-06
1965,4.968581833963981e-06
1966,3.986302090197569e-06
1967,4.821583388547879e-06
1968,4.217267360218102e-06
1969,4.047811216878472e-06
1970,4.793904281541472e-06
1971,5.029222393204691e-06
1972,4.981561232852982e-06
1973,7.963249117892701e-06
1974,5.801033694297075e-06
1975,5.786792826256715e-06
1976,5.476320893649245e-06
1977,6.206621037563309e-06
1978,7.315669336094288e-06
1979,6.423141712730285e-06
1980,6.204439614521107e-06
1981,6.975204996706452e-06
1982,6.451256922446191e-06
1983,7.219065992103424e-06
1984,7.133304734452395e-06
1985,9.446291187487077e-06
1986,9.659359420766123e-06
1987,1.1661878488666844e-05
1988,9.054269867192488e-06
1989,1.409748711012071e-05
1990,1.2251894986547995e-05
1991,8.062061169766821e-06
1992,1.2371704542601947e-05
1993,1.1379893294360954e-05
1994,8.6916943473625e-06
1995,1.2911554222228006e-05
1996,1.053430878528161e-05
1997,1.1607495252974331e-05
1998,1.1244365850870963e-05
1999,1.014782719721552e-05
2000,9.666697224020027e-06
2001,1.024435186991468e-05
2002,1.0117517376784235e-05
2003,1.1560746315808501e-05
2004,1.1347467079758644e-05
2005,1.2386327398417052e-05
2006,1.140860786108533e-05
2007,1.1731670383596793e-05
2008,1.2202303878439125e-05
2009,1.3774831131740939e-05
2010,1.4422270396607928e-05
2011,1.584577876201365e-05
2012,1.4335271771415137e-05
2013,1.3803119145450182e-05
2014,1.572291694174055e-05
2015,1.545255508972332e-05
2016,1.4840189578535501e-05
2017,1.384560891892761e-05
2018,1.2654864804062527e-05
2019,1.435927606507903e-05
