,prices
1800,1.6695334124960937e-05
1801,2.1030698917456903e-05
1802,1.5845898815314285e-05
1803,1.503067232988542e-05
1804,1.679148044786416e-05
1805,2.181313539040275e-05
1806,1.4425045264943037e-05
1807,1.2905085895908996e-05
1808,1.599795177753549e-05
1809,1.5311337847379036e-05
1810,1.682034053374082e-05
1811,1.9561270164558664e-05
1812,2.3528547899331897e-05
1813,2.076139389828313e-05
1814,2.808365024975501e-05
1815,2.5376835765200667e-05
1816,2.3238344510900788e-05
1817,2.161149495805148e-05
1818,2.0666442651418038e-05
1819,2.4164106434909627e-05
1820,2.0019735529785976e-05
1821,2.6786838134285063e-05
1822,2.9445673135342076e-05
1823,3.171377829858102e-05
1824,2.488977406756021e-05
1825,2.127646621374879e-05
1826,2.8574902898981236e-05
1827,2.1025323803769425e-05
1828,2.6937852453556843e-05
1829,2.4040213247644715e-05
1830,2.6848085326491855e-05
1831,2.2002974219503812e-05
1832,4.539535802905448e-05
1833,2.9000219001318328e-05
1834,2.8656422728090547e-05
1835,2.2423853806685656e-05
1836,2.593504177639261e-05
1837,2.4790644602035172e-05
1838,3.121501504210755e-05
1839,2.2825128326076083e-05
1840,2.8485195798566565e-05
1841,2.7581148970057257e-05
1842,3.0149265512591228e-05
1843,2.8634987756959163e-05
1844,3.0845920264255255e-05
1845,2.6144436560571194e-05
1846,3.512847251840867e-05
1847,2.8714024665532634e-05
1848,3.1910138204693794e-05
1849,2.879922067222651e-05
1850,3.273973925388418e-05
1851,2.968567241623532e-05
1852,2.897802369261626e-05
1853,2.6928397346637212e-05
1854,2.4691562430234626e-05
1855,2.7775089620263316e-05
1856,2.6163463189732283e-05
1857,3.0452318242168985e-05
1858,2.9160994017729536e-05
1859,3.1692230550106615e-05
1860,2.8371998268994503e-05
1861,2.706806299102027e-05
1862,2.967968066514004e-05
1863,3.066814679186791e-05
1864,2.8696646040771157e-05
1865,3.203416054020636e-05
1866,3.2366904633818194e-05
1867,3.350394035805948e-05
1868,3.2198167900787666e-05
1869,3.112381091341376e-05
1870,3.110869147349149e-05
1871,3.306614962639287e-05
1872,3.324521821923554e-05
1873,3.265570921939798e-05
1874,3.617408583522774e-05
1875,3.221106089768e-05
1876,3.477025529718958e-05
1877,3.5946231946581975e-05
1878,3.962133632740006e-05
1879,4.095293479622342e-05
1880,3.9478123653680086e-05
1881,3.600236959755421e-05
1882,3.937572910217568e-05
