,program
1800,5.686811164196115e-06
1801,2.053652451650123e-06
1802,1.1270437880739337e-06
1803,1.8442543137098255e-07
1804,2.037990270764567e-06
1805,2.5526657054797397e-07
1806,1.3022098244164226e-07
1807,1.825889171414019e-06
1808,2.2903554963704664e-07
1809,4.886597082531807e-08
1810,1.6110034195548906e-08
1811,9.835828223003773e-07
1812,8.105431703597787e-08
1813,9.153381164139773e-09
1814,9.844125514746338e-09
1815,9.357363950357467e-08
1816,1.1052947002099245e-06
1817,2.654813215485774e-06
1818,2.825648550697224e-07
1819,3.6608247455660603e-07
1820,1.3793479070045578e-07
1821,3.1205777872855833e-07
1822,1.4729148745118437e-07
1823,8.770117432277402e-08
1824,5.6692424976745315e-08
1825,2.2795278198373126e-07
1826,1.16710509701079e-06
1827,1.192326948284972e-07
1828,4.085924274477293e-07
1829,1.070039132855527e-07
1830,4.0479281437910686e-07
1831,1.2426389730535448e-06
1832,1.4943544556444976e-05
1833,5.337054176379752e-08
1834,1.292071829084307e-06
1835,3.7211163999018027e-06
1836,6.928173945652816e-08
1837,8.895747072301674e-08
1838,5.383921575230488e-07
1839,6.830567400584187e-08
1840,1.1925976650672965e-07
1841,4.044501338285045e-07
1842,5.2516536896973776e-08
1843,3.7037121813909835e-08
1844,1.7095530324695574e-07
1845,1.9497430514547887e-07
1846,3.213152055536739e-08
1847,6.292280545494577e-07
1848,5.8396420143935757e-08
1849,5.551568733608292e-07
1850,8.679914458298299e-07
1851,8.230495041061658e-07
1852,1.3655215980179491e-07
1853,1.545145522641178e-07
1854,7.410004059238418e-07
1855,7.149406400230873e-08
1856,8.749418611841975e-08
1857,6.087494170969876e-07
1858,2.2712256964041444e-07
1859,2.305130010427092e-06
1860,4.764325751693832e-07
1861,1.5282212473266554e-07
1862,1.851034880928637e-07
1863,2.8307877641964296e-07
1864,9.410680945620697e-08
1865,2.7730982310458785e-07
1866,1.0192037791512121e-07
1867,2.752709917785978e-07
1868,4.3992150722260703e-07
1869,8.61212697600422e-07
1870,1.6576298378367937e-07
1871,7.688342975598061e-07
1872,4.638674226953299e-07
1873,2.953595696908451e-07
1874,1.663578018451517e-06
1875,2.473892948273715e-07
1876,2.1599146293738158e-07
1877,1.241261429640872e-06
1878,6.287228870860417e-07
1879,1.0021897196565988e-06
1880,7.498881586798234e-07
1881,2.314171297257417e-06
1882,9.399497002959833e-07
1883,2.0939608020853484e-06
1884,1.11937913516158e-06
1885,2.0948903056705603e-06
1886,4.347412414063001e-06
1887,1.1686897778417915e-06
1888,1.951176955117262e-06
1889,2.57854230767407e-06
1890,3.955222382501233e-06
1891,3.3233477552130353e-06
1892,3.902446678694105e-06
1893,3.596111127990298e-06
1894,6.573457085323753e-06
1895,5.169385076442268e-06
1896,4.826162694371305e-06
1897,5.877184776181821e-06
1898,7.024606475170003e-06
1899,6.441956429625861e-06
1900,1.0568390280241147e-05
1901,7.698762601648923e-06
1902,8.256728506239597e-06
1903,8.873696970113087e-06
1904,8.946498383011203e-06
1905,9.834243428485934e-06
1906,1.0188269698119257e-05
1907,1.1296265256532934e-05
1908,1.2953474652022123e-05
1909,1.370702466374496e-05
1910,1.5007345609774347e-05
1911,1.540770426800009e-05
1912,1.8778857338475063e-05
1913,2.4016761017264798e-05
1914,2.344232052564621e-05
1915,2.7718198907678016e-05
1916,3.430748620303348e-05
1917,3.6701974750030786e-05
1918,5.07508848386351e-05
1919,5.422266258392483e-05
1920,5.141147266840562e-05
1921,5.414007682702504e-05
1922,5.3809395467396826e-05
1923,5.790541399619542e-05
1924,6.491006934083998e-05
1925,6.461894372478127e-05
1926,7.116894266800955e-05
1927,8.456042996840551e-05
1928,8.43678426463157e-05
1929,8.928725583245978e-05
1930,0.00010225758160231635
1931,9.9817210866604e-05
1932,0.00011344922677380964
1933,0.00012246625556144863
1934,0.00014024070696905255
1935,0.0001451889256713912
1936,0.00015689308929722756
1937,0.00016624672571197152
1938,0.00017588147602509707
1939,0.00019463304488454014
1940,0.0002252933190902695
1941,0.0002534442173782736
1942,0.0002589340729173273
1943,0.0002600195584818721
1944,0.00027261959621682763
1945,0.0002692389243748039
1946,0.00026595115195959806
1947,0.0002839613298419863
1948,0.0002882948028855026
1949,0.0002894928911700845
1950,0.00025883986381813884
1951,0.0002830450248438865
1952,0.0002636461576912552
1953,0.0002811647718772292
1954,0.0002885395078919828
1955,0.00030920866993255913
1956,0.0003200246428605169
1957,0.0003117247542832047
1958,0.00031873464467935264
1959,0.00031845681951381266
1960,0.00030915962997823954
1961,0.0003154147998429835
1962,0.00030863782740198076
1963,0.00030427894671447575
1964,0.0003109872923232615
1965,0.00034425745252519846
1966,0.00034147087717428803
1967,0.00036564329639077187
1968,0.0003283559053670615
1969,0.0003597529430408031
1970,0.0003408250049687922
1971,0.0003594636218622327
1972,0.0003612189902924001
1973,0.0003883509198203683
1974,0.00038224118179641664
1975,0.000414777867263183
1976,0.00041958302608691156
1977,0.00043474414269439876
1978,0.0004375611897557974
1979,0.0004165197897236794
1980,0.0004215517546981573
1981,0.0004007256356999278
1982,0.0003870876389555633
1983,0.00038227817276492715
1984,0.00037650903686881065
1985,0.0003670227015390992
1986,0.00035744038177654147
1987,0.0003544009814504534
1988,0.00035092164762318134
1989,0.0003327451122459024
1990,0.0003505399508867413
1991,0.00034240345121361315
1992,0.00032316584838554263
1993,0.00031617001513950527
1994,0.0003142711939290166
1995,0.00031306975870393217
1996,0.00027947104535996914
1997,0.0002763803640846163
1998,0.0002613117394503206
1999,0.00025613149045966566
2000,0.00023794018488842994
2001,0.0002275107690365985
2002,0.0002187380159739405
2003,0.00021811819169670343
2004,0.00021485697652678937
2005,0.00020370604761410505
2006,0.00018949735385831445
2007,0.00018180166080128402
2008,0.00016455356671940535
2009,0.00016192172188311815
2010,0.00015919868019409478
2011,0.00013938514166511595
2012,0.0001276585680898279
2013,0.00012186992535134777
2014,0.0001214402072946541
2015,0.00010514526366023347
2016,9.95324007817544e-05
2017,8.591140795033425e-05
2018,8.10798374004662e-05
2019,8.45916147227399e-05
