,provided
1800,8.759593765717e-05
1801,8.36205217638053e-05
1802,8.091164636425674e-05
1803,8.646670903544873e-05
1804,7.432326674461365e-05
1805,7.823008490959182e-05
1806,7.267313776537776e-05
1807,7.611074397573248e-05
1808,7.839196041459218e-05
1809,7.228001049952582e-05
1810,7.355402340181172e-05
1811,8.57084451126866e-05
1812,8.303508366225287e-05
1813,8.257418085122481e-05
1814,7.779484440106899e-05
1815,7.889761764090508e-05
1816,8.285636431537569e-05
1817,8.087014430202544e-05
1818,8.538866677554324e-05
1819,8.545696618966758e-05
1820,8.037400402827188e-05
1821,8.246220386354253e-05
1822,7.847585220588371e-05
1823,8.674574928591028e-05
1824,7.70153128542006e-05
1825,8.545347373001277e-05
1826,8.965668530436233e-05
1827,8.766700921114534e-05
1828,8.68529241415672e-05
1829,8.500258263666183e-05
1830,8.472686749882996e-05
1831,9.09837253857404e-05
1832,0.0001578748197061941
1833,8.885595161700621e-05
1834,9.820330888032913e-05
1835,9.409781341673806e-05
1836,0.00010232278145849705
1837,0.00010494481102796271
1838,9.996323205996305e-05
1839,9.33086994336918e-05
1840,9.896772098727524e-05
1841,0.00010186693543801084
1842,9.735664207255468e-05
1843,9.579651668900624e-05
1844,9.494240657659248e-05
1845,0.00010081746586365625
1846,0.00010241738345939666
1847,0.00010684956941986457
1848,9.975790453609079e-05
1849,0.00010466350795468315
1850,0.00010415473661851138
1851,0.00011388516577426344
1852,0.0001076757034752518
1853,0.00010565871343715116
1854,0.00010459090117365122
1855,0.00011255996651016176
1856,0.00011010518210241571
1857,0.00011354484740877524
1858,0.0001139872329076752
1859,0.00011146343604195863
1860,0.00011017924407497048
1861,0.00012355446233414114
1862,0.0001204396685352549
1863,0.0001236866373801604
1864,0.00011899608216481283
1865,0.00011896592332050204
1866,0.0001316617417614907
1867,0.00013254841906018555
1868,0.00014006160199642181
1869,0.0001326998317381367
1870,0.00014529518375638872
1871,0.00013553346798289567
1872,0.0001536468043923378
1873,0.00014081377594266087
1874,0.00014639401342719793
1875,0.00014148230548016727
1876,0.00014732092677149922
1877,0.0001486754190409556
1878,0.00014325951633509248
1879,0.0001461989595554769
1880,0.00014399834617506713
1881,0.0001477892219554633
1882,0.00015241849177982658
1883,0.00014504409045912325
1884,0.00016159318329300731
1885,0.0001689803320914507
1886,0.00015840149717405438
1887,0.00017137109534814954
1888,0.000167575097293593
1889,0.00017458945512771606
1890,0.00017600129649508744
1891,0.000177366440766491
1892,0.00016942521324381232
1893,0.00019090110436081886
1894,0.0001762620231602341
1895,0.0001946751872310415
1896,0.0001753434189595282
1897,0.00020366931858006865
1898,0.00019440273172222078
1899,0.00018638017354533076
1900,0.00018220004858449101
1901,0.00020032502652611583
1902,0.0001908668491523713
1903,0.0002095111267408356
1904,0.00020696711726486683
1905,0.00021886720787733793
1906,0.00021039276907686144
1907,0.00022470213298220187
1908,0.00022054227883927524
1909,0.00023815219174139202
1910,0.00022626039572060108
1911,0.00023378344485536218
1912,0.00023366493405774236
1913,0.00025269383331760764
1914,0.00024573502014391124
1915,0.00026646332116797566
1916,0.00024942209711298347
1917,0.00026076610083691776
1918,0.0002470799081493169
1919,0.0002545863972045481
1920,0.0002306434471393004
1921,0.00024418829707428813
1922,0.00023470657470170408
1923,0.0002395967167103663
1924,0.00023195196990855038
1925,0.0002433919726172462
1926,0.00022908257960807532
1927,0.0002445195277687162
1928,0.00021557211584877223
1929,0.0002440336684230715
1930,0.00023884576512500644
1931,0.0002492686326149851
1932,0.00023232070088852197
1933,0.0002686727966647595
1934,0.0002388136781519279
1935,0.0002569236094132066
1936,0.00025171120068989694
1937,0.00025375571567565203
1938,0.0002463226846884936
1939,0.00027162794140167534
1940,0.00024180671607609838
1941,0.00025943253422155976
1942,0.00024052438675425947
1943,0.0002643279149197042
1944,0.000254804763244465
1945,0.00027725010295398533
1946,0.00024985423078760505
1947,0.0002651978575158864
1948,0.0002549751952756196
1949,0.0002729870902840048
1950,0.0002389126893831417
1951,0.00025244263815693557
1952,0.00023140545818023384
1953,0.00025612968602217734
1954,0.0002638503210619092
1955,0.00025204301346093416
1956,0.00022900933981873095
1957,0.000254355400102213
1958,0.00023082908592186868
1959,0.0002521381538826972
1960,0.00023044303816277534
1961,0.00023778640024829656
1962,0.00022280179837252945
1963,0.0002298092731507495
1964,0.00021999065938871354
1965,0.0002341514773434028
1966,0.00022296691895462573
1967,0.00023566362506244332
1968,0.00021886132890358567
1969,0.00022892671404406428
1970,0.00022557168267667294
1971,0.00024757013306953013
1972,0.0002393955655861646
1973,0.00025184935657307506
1974,0.000245731498580426
1975,0.0002614194236230105
1976,0.00025937685859389603
1977,0.0002609930234029889
1978,0.0002569796924944967
1979,0.0002587946364656091
1980,0.0002503667783457786
1981,0.0002556110266596079
1982,0.0002518705150578171
1983,0.00025603370158933103
1984,0.00023776318994350731
1985,0.0002433558984193951
1986,0.0002371336886426434
1987,0.00024320223019458354
1988,0.0002448884188197553
1989,0.00024083121388684958
1990,0.00023444026010110974
1991,0.00023797583708073944
1992,0.0002383983664913103
1993,0.00023682901519350708
1994,0.0002376711054239422
1995,0.0002541599387768656
1996,0.00023435018374584615
1997,0.00024189904797822237
1998,0.00023416565090883523
1999,0.00023295932624023408
2000,0.0002218378649558872
2001,0.00022526744578499347
2002,0.0002177423011744395
2003,0.00021077283599879593
2004,0.00020356534514576197
2005,0.00020545846200548112
2006,0.00019554089521989226
2007,0.0001885119709186256
2008,0.0001841475605033338
2009,0.00016687043535057455
2010,0.0001542110985610634
2011,0.000140214673592709
2012,0.00013982763630338013
2013,0.00013964969548396766
2014,0.0001252158108400181
2015,0.00012020986468996853
2016,0.0001269782369490713
2017,0.00010979709622915834
2018,0.00010777996067190543
2019,0.00010964257671730593
