,questions
1800,3.987117452197708e-05
1801,3.405336610740051e-05
1802,3.731860488187522e-05
1803,2.8364054742269218e-05
1804,3.223730163881555e-05
1805,3.4731445339275524e-05
1806,3.7267771404003724e-05
1807,3.493321128189564e-05
1808,3.564047801773995e-05
1809,3.934796404791996e-05
1810,3.4916301956400275e-05
1811,3.891494998242706e-05
1812,4.8483147111255676e-05
1813,4.1254290408687666e-05
1814,4.059717321069911e-05
1815,4.267960321158171e-05
1816,5.266307925921865e-05
1817,4.588072988553904e-05
1818,4.383405757835135e-05
1819,4.0502036426914856e-05
1820,4.7683457523817196e-05
1821,4.82561626995448e-05
1822,4.5305809180717915e-05
1823,4.28301609645132e-05
1824,4.394742791191675e-05
1825,4.706395338871516e-05
1826,4.916885154671036e-05
1827,4.7111934691201895e-05
1828,4.9121495976578444e-05
1829,4.5640073949471116e-05
1830,5.074184082332067e-05
1831,4.843820715905167e-05
1832,9.660323848947883e-05
1833,5.5285210692090914e-05
1834,5.2983399655204266e-05
1835,5.1850060117430985e-05
1836,5.3839416068512946e-05
1837,5.371693623601459e-05
1838,5.784489621873945e-05
1839,5.524772859644145e-05
1840,5.4140684369485825e-05
1841,5.55085098312702e-05
1842,5.294780930853449e-05
1843,5.769272684119642e-05
1844,5.553891969611868e-05
1845,5.532629802473821e-05
1846,5.8284280385123566e-05
1847,5.6409407989121974e-05
1848,6.0220725572435185e-05
1849,5.997063999529928e-05
1850,6.430772918974981e-05
1851,6.0381593357305974e-05
1852,6.429800851037726e-05
1853,6.530781683977693e-05
1854,6.243513053050265e-05
1855,6.329701864160597e-05
1856,6.687731365673244e-05
1857,6.527052028104663e-05
1858,6.92705434630625e-05
1859,6.313293852144852e-05
1860,7.143085531424731e-05
1861,7.09969608578831e-05
1862,6.816798122599721e-05
1863,7.034016016405076e-05
1864,7.500945503124967e-05
1865,7.435803854605183e-05
1866,7.484631350962445e-05
1867,7.419261964969337e-05
1868,8.125483145704493e-05
1869,7.630573236383498e-05
1870,7.728275522822514e-05
1871,7.743551395833492e-05
1872,8.050427277339622e-05
1873,8.07738906587474e-05
1874,8.393981988774613e-05
1875,7.94552470324561e-05
1876,7.830168033251539e-05
1877,8.205567428376526e-05
1878,8.017045183805749e-05
1879,8.216936112148687e-05
1880,7.88923935033381e-05
1881,7.919794734334573e-05
1882,8.345633978024125e-05
1883,7.981752423802391e-05
1884,8.655257988721132e-05
1885,8.370623254450038e-05
1886,8.972456998890266e-05
1887,8.809084829408675e-05
1888,8.7329390225932e-05
1889,8.370510477107018e-05
1890,8.83122775121592e-05
1891,8.558934496250004e-05
1892,8.67368362378329e-05
1893,8.741849160287529e-05
1894,8.948737377068028e-05
1895,9.056861017597839e-05
1896,8.80513180163689e-05
1897,8.746033563511446e-05
1898,8.816563058644533e-05
1899,8.426841668551788e-05
1900,8.59236970427446e-05
1901,8.758914191275835e-05
1902,8.58335115481168e-05
1903,8.586580224800855e-05
1904,8.342216460732743e-05
1905,8.556790999136865e-05
1906,8.895405335351825e-05
1907,8.712318231118843e-05
1908,8.972839714260772e-05
1909,8.706029620952904e-05
1910,8.882433030521497e-05
1911,9.039827273227274e-05
1912,9.563928324496374e-05
1913,9.258445061277598e-05
1914,9.221040090778843e-05
1915,9.050487278727815e-05
1916,9.465249604545534e-05
1917,8.999153214972466e-05
1918,9.285925625590608e-05
1919,9.689964645076543e-05
1920,9.234032040694728e-05
1921,9.158984175883234e-05
1922,9.174106526188552e-05
1923,8.887178410077468e-05
1924,9.489952935837209e-05
1925,8.563214214518666e-05
1926,9.288764704251662e-05
1927,8.504404831910506e-05
1928,8.897815132513642e-05
1929,8.850260201143101e-05
1930,8.870580495567992e-05
1931,8.556969987694174e-05
1932,8.912687189877033e-05
1933,8.577143307775259e-05
1934,8.933669596444815e-05
1935,8.699700265424326e-05
1936,8.920248365029693e-05
1937,8.908346353564411e-05
1938,8.878999506123364e-05
1939,9.045588376466185e-05
1940,8.970501221483573e-05
1941,9.101426985580474e-05
1942,9.029361535795033e-05
1943,9.583690552972257e-05
1944,9.282751125283539e-05
