,rating
1800,2.0596335161826573e-06
1801,1.207077843901061e-06
1802,7.065050340315793e-07
1803,1.227581833518343e-06
1804,7.443377967319975e-07
1805,1.2125161674703122e-06
1806,7.567559237031674e-07
1807,9.82349661171611e-07
1808,7.125550496311917e-07
1809,8.325313274326618e-07
1810,8.333281584782526e-07
1811,8.023530995160399e-07
1812,9.283252211389481e-07
1813,9.122870210376277e-07
1814,1.2075461199856363e-06
1815,9.173558623842837e-07
1816,7.250949920489802e-07
1817,1.2579280337376986e-06
1818,1.0707721003200277e-06
1819,9.424960012438532e-07
1820,8.132155926432461e-07
1821,8.622319001005962e-07
1822,6.975304245315783e-07
1823,8.605032917330391e-07
1824,7.064056148919917e-07
1825,8.332067409355659e-07
1826,7.924909368739463e-07
1827,9.379012908539153e-07
1828,9.554504458719748e-07
1829,7.855248327359732e-07
1830,8.769291071075713e-07
1831,1.1113471600765479e-06
1832,2.827064008670277e-06
1833,9.92024979495909e-07
1834,1.4260259604270686e-06
1835,1.5413754681503633e-06
1836,1.2112757303839317e-06
1837,1.6076299971246044e-06
1838,3.863755409838632e-06
1839,2.011864808082464e-06
1840,2.4637984097353183e-06
1841,2.9294585601746803e-06
1842,2.0152558590780245e-06
1843,1.4571462543244706e-06
1844,1.6066859416241641e-06
1845,1.5942767959131743e-06
1846,1.485394250266836e-06
1847,2.601993628559285e-06
1848,1.899051540021901e-06
1849,2.7661969852488255e-06
1850,3.6361461752676405e-06
1851,1.8987560679306625e-06
1852,1.7864633719000267e-06
1853,1.4544305031449767e-06
1854,1.941225946211489e-06
1855,1.4224486903913203e-06
1856,1.7755576209310675e-06
1857,1.9096773939963896e-06
1858,1.7262050278077368e-06
1859,2.1301405013218755e-06
1860,2.1944874788459856e-06
1861,2.4661217139509972e-06
1862,1.7563505707585136e-06
1863,1.445281441192492e-06
1864,1.8817407863025437e-06
1865,3.0055550723773194e-06
1866,4.258934950485127e-06
1867,5.810690254293149e-06
1868,3.7150302887312137e-06
1869,3.1540637337457156e-06
1870,2.964374516523094e-06
1871,3.393410679564113e-06
1872,2.0228387711540563e-06
1873,3.526279897414497e-06
1874,2.5006215764733497e-06
1875,1.7770175873010885e-06
1876,2.1137673229532083e-06
1877,1.95285861082084e-06
1878,1.8184945247412543e-06
1879,2.0086727090529166e-06
1880,1.6636996633678791e-06
1881,2.178028807975352e-06
1882,2.369426056247903e-06
1883,1.6494316241733031e-06
1884,2.2334552340907976e-06
1885,2.1116784409969114e-06
1886,2.4765904527157545e-06
1887,2.204535121563822e-06
1888,2.6132850052817957e-06
1889,2.283840785821667e-06
1890,2.577364966782625e-06
1891,2.556305162215722e-06
1892,2.866838258341886e-06
1893,3.3425471883674618e-06
1894,3.3972271467064274e-06
1895,3.6520591493172105e-06
1896,4.698631528299302e-06
1897,3.6868295865133405e-06
1898,4.498712314671138e-06
1899,4.444997557584429e-06
1900,4.909427843813319e-06
1901,4.720624474430224e-06
1902,5.488760962180095e-06
1903,5.7107085922325496e-06
1904,5.604501893685665e-06
1905,6.140421191958012e-06
1906,7.180457032518461e-06
1907,6.6428119680495e-06
1908,6.6269572016608436e-06
1909,6.733069767506095e-06
1910,7.772869139444083e-06
1911,8.211875865526963e-06
1912,9.1200927272439e-06
1913,1.0690163435356226e-05
1914,1.095772040571319e-05
1915,1.0665301488188561e-05
1916,1.1229885785724036e-05
1917,1.2618050277524162e-05
1918,1.1972467291343492e-05
1919,1.3228434909251519e-05
1920,1.3164478332328144e-05
1921,1.4444144653680269e-05
1922,1.720703767205123e-05
1923,1.677760337770451e-05
1924,1.5549261661362834e-05
1925,1.9292852812213823e-05
1926,1.6002682968974113e-05
1927,1.5585575965815224e-05
1928,1.8802105842041783e-05
1929,1.8344673662795685e-05
1930,1.9808061551884748e-05
1931,1.771961797203403e-05
1932,1.659061854297761e-05
1933,1.6287971448036842e-05
1934,1.6375484847230837e-05
1935,1.5948173313518055e-05
1936,1.678039006947074e-05
1937,1.787541805242654e-05
1938,1.88425383385038e-05
1939,2.1065066903247498e-05
1940,2.2571370209334418e-05
1941,2.6577836251817644e-05
1942,2.9173606890253723e-05
1943,2.6100899049197324e-05
1944,2.3873526515671983e-05
1945,2.584501271485351e-05
1946,2.1802756236866117e-05
1947,2.3227918063639663e-05
1948,2.2291464119916782e-05
1949,2.087215762003325e-05
1950,2.0207540728733875e-05
1951,1.9928973415517248e-05
1952,1.9374983821762726e-05
1953,2.0603200027835555e-05
1954,2.1299831132637337e-05
1955,1.993260593735613e-05
1956,2.062375278910622e-05
1957,1.9386088752071373e-05
1958,2.2356558474712074e-05
1959,2.067464083665982e-05
1960,2.027413393079769e-05
1961,1.807726403058041e-05
1962,1.715090729703661e-05
1963,1.8292552340426482e-05
1964,1.628300378797576e-05
1965,1.5614012227160856e-05
1966,1.580288153490983e-05
1967,1.5304356566048227e-05
1968,1.4852099411655217e-05
1969,1.4275146895670332e-05
1970,1.4920725334377494e-05
1971,1.6969053831417114e-05
1972,1.588128725416027e-05
1973,1.5471807273570448e-05
1974,1.5578236343571916e-05
1975,1.6259700714726932e-05
1976,1.6404985217377543e-05
1977,1.691242323431652e-05
1978,1.7619811842450872e-05
1979,1.6883817806956358e-05
1980,1.6124160538311116e-05
1981,1.6672725905664265e-05
1982,1.671981044637505e-05
1983,1.801129474188201e-05
1984,1.6309113561874256e-05
1985,1.6111425793496892e-05
1986,1.6407971997978166e-05
1987,1.6175745258806273e-05
1988,1.6539757780265063e-05
1989,1.6524814782314934e-05
1990,1.7413791283615865e-05
1991,1.8201792045147158e-05
1992,1.6736295947339386e-05
1993,1.688422344159335e-05
1994,1.7481059330748394e-05
1995,1.721893931971863e-05
1996,1.7293632481596433e-05
