,required
1800,0.00010887485404964536
1801,0.0001054734893841669
1802,0.00011163200542796403
1803,0.00012447852350305766
1804,0.00010840353206731379
1805,0.00011822792293969542
1806,0.00011131437349831685
1807,0.00011695727880578488
1808,0.00010546360135776922
1809,0.00011264148633927107
1810,0.00010832826228579506
1811,0.0001134085759986192
1812,0.0001336193090537563
1813,0.00012817174138035625
1814,0.00012310899910517037
1815,0.00013118689821567386
1816,0.00013285261229611933
1817,0.00013281671272125095
1818,0.00013191858306527138
1819,0.00014140900748316199
1820,0.00012904818868264556
1821,0.00013975676847621799
1822,0.0001323929609498009
1823,0.0001415723963873461
1824,0.00013135545304976404
1825,0.00014889596786815673
1826,0.00014992532669566572
1827,0.00014848507998976856
1828,0.0001480593637097627
1829,0.00015205670206341892
1830,0.00015174680447671562
1831,0.00015983395860530436
1832,0.00021516282868105918
1833,0.00015382123820018023
1834,0.00016633457562420517
1835,0.00015884988533798605
1836,0.00016803709149826318
1837,0.00017070937610697
1838,0.00017522669804748148
1839,0.00016429195238742977
1840,0.0001649335608817637
1841,0.00017037395446095616
1842,0.0001739761355565861
1843,0.00016745805623941123
1844,0.00016530104039702564
1845,0.0001759196020429954
1846,0.00018010864732787013
1847,0.00018604769138619304
1848,0.00017624646716285497
1849,0.00017872398893814534
1850,0.00017308750830125064
1851,0.00018630510021466762
1852,0.0001868722029030323
1853,0.00017601101717446
1854,0.00017681438475847244
1855,0.0001835641887737438
1856,0.0001814419956644997
1857,0.00018178134632762522
1858,0.00019103764498140663
1859,0.00018428619659971446
1860,0.0001847769890446216
1861,0.0001943586830748245
1862,0.00019147334387525916
1863,0.00019302128930576146
1864,0.0001929766876855865
1865,0.00019454318680800498
1866,0.00018673684098757803
1867,0.00018919655121862888
1868,0.00019216706277802587
1869,0.00019432191038504243
1870,0.00019711427739821374
1871,0.00019208184676244855
1872,0.00019677843374665827
1873,0.00019790627993643284
1874,0.00020275286806281656
1875,0.0001960937079275027
1876,0.00020416844927240163
1877,0.0002034380886470899
1878,0.0001953643368324265
1879,0.00019783333118539304
1880,0.00019152852473780513
1881,0.00019405409693717957
1882,0.0001919628557516262
1883,0.00018989849195349962
1884,0.00019592604076024145
1885,0.000194563006516546
1886,0.00020053029584232718
1887,0.00019724074809346348
1888,0.0001947318814927712
1889,0.00019702926510944963
1890,0.00019581204105634242
1891,0.00019792972307186574
1892,0.00019862066255882382
1893,0.00019743038865271956
1894,0.00020307008526287973
1895,0.00020365817181300372
1896,0.00020185954053886235
1897,0.00020536249212455004
1898,0.00020431409939192235
1899,0.00019931455608457327
1900,0.00019796928972937167
1901,0.00020705632050521672
1902,0.00020415015751495957
1903,0.00021017561084590852
1904,0.00020870253501925617
1905,0.00021944116451777518
1906,0.00022145701223053038
1907,0.00022476338199339807
1908,0.00022429003729484975
1909,0.00022805226035416126
1910,0.00022485687804874033
1911,0.00022761673608329147
1912,0.00023046242131385952
1913,0.00024080964794848114
1914,0.00024422898422926664
1915,0.00025329392519779503
1916,0.0002480201073922217
1917,0.0002572535304352641
1918,0.0002531516074668616
1919,0.0002516583481337875
1920,0.0002463161654304713
1921,0.00024607067462056875
1922,0.00023953698109835386
1923,0.0002328782284166664
1924,0.00022843961778562516
1925,0.00023070257157087326
1926,0.000223884591832757
1927,0.0002289395924890414
1928,0.0002209339727414772
1929,0.00022354444081429392
1930,0.00022921479830984026
1931,0.00023297133157029748
1932,0.0002322442305739969
1933,0.00023853110906202346
1934,0.00022723371512256563
1935,0.0002328411501366645
1936,0.00024486519396305084
1937,0.00024006521562114358
1938,0.00024194142315536737
1939,0.0002647842338774353
1940,0.0002555638493504375
1941,0.0002804415416903794
1942,0.0002674281131476164
1943,0.00027994916308671236
1944,0.00027517732814885676
1945,0.00027661334024742246
1946,0.0002705948136281222
1947,0.00027574729756452143
1948,0.00027820791001431644
1949,0.0002858733350876719
1950,0.00026222807355225086
1951,0.0002709433319978416
1952,0.00026363079086877406
1953,0.0002670916437637061
1954,0.0002817823551595211
1955,0.00027462863363325596
1956,0.00026230630464851856
1957,0.00027831128682009876
1958,0.000267971568973735
1959,0.00027812938787974417
1960,0.0002726342063397169
1961,0.0002734164008870721
1962,0.0002675045107025653
1963,0.0002688361855689436
1964,0.00026248698122799397
1965,0.00026803126093000174
1966,0.0002618841826915741
1967,0.0002688962849788368
1968,0.00025816450943239033
1969,0.00026140041882172227
1970,0.0002621816238388419
1971,0.0002735991438385099
1972,0.00027488707564771175
1973,0.0002763991360552609
1974,0.00028048621607013047
1975,0.00029792034183628857
1976,0.00029245088808238506
1977,0.0002971643698401749
1978,0.0002944651059806347
1979,0.0002933426294475794
1980,0.00028585942345671356
1981,0.00028361426666378975
1982,0.00028056843439117074
1983,0.00028035580180585384
1984,0.0002672600676305592
1985,0.0002740552299655974
1986,0.0002653632254805416
1987,0.0002715671434998512
1988,0.00026830448769032955
1989,0.00026621768483892083
1990,0.0002647243964020163
1991,0.0002628491201903671
1992,0.0002603054163046181
1993,0.00025907132658176124
1994,0.00025403228937648237
1995,0.000268108764430508
1996,0.00025970087153837085
1997,0.00025786025798879564
1998,0.00025719974655658007
1999,0.00025108191766776145
2000,0.00024230249982792884
2001,0.00024288770509883761
2002,0.00023497152142226696
2003,0.0002334889431949705
2004,0.00022780914150644094
2005,0.00022187214926816523
2006,0.00021512921375688165
2007,0.00020722024783026427
2008,0.00019948609406128526
2009,0.00018859955889638513
2010,0.00017742819909472018
2011,0.0001635187363717705
2012,0.0001639587280806154
2013,0.00015504109614994377
2014,0.0001409209507983178
2015,0.0001335708366241306
2016,0.00014066485164221376
2017,0.00012493014219217002
2018,0.00012478971621021628
2019,0.00012568019155878574
