,research
1800,6.0717525229847524e-06
1801,6.578169177373638e-06
1802,7.376248959189979e-06
1803,6.6681318457995076e-06
1804,8.324231203005183e-06
1805,7.618491054017795e-06
1806,7.199009360192576e-06
1807,7.339860985666746e-06
1808,6.502064934466034e-06
1809,6.748933174094418e-06
1810,6.524564014398493e-06
1811,7.1585714067623485e-06
1812,6.21078697804478e-06
1813,6.630099051108118e-06
1814,8.895807695807889e-06
1815,8.739109034650028e-06
1816,6.679292710032314e-06
1817,9.63777620199835e-06
1818,9.271912858821452e-06
1819,9.161380148725584e-06
1820,8.13935275800759e-06
1821,9.055941518454347e-06
1822,8.290407095046248e-06
1823,7.751752491458319e-06
1824,9.471234989177901e-06
1825,8.628143405076116e-06
1826,1.0905107956205029e-05
1827,9.381828931509517e-06
1828,9.924098776536994e-06
1829,1.034868819260737e-05
1830,9.330730790679809e-06
1831,9.604386832506862e-06
1832,1.0611205652821809e-05
1833,9.812174539547414e-06
1834,1.0382093023508787e-05
1835,1.1558528058230877e-05
1836,9.122095434577204e-06
1837,9.688805221230723e-06
1838,9.725074050948024e-06
1839,9.382047210237943e-06
1840,9.178123946185224e-06
1841,9.380892151966691e-06
1842,9.402581781614572e-06
1843,8.486792467010673e-06
1844,9.163008144241758e-06
1845,9.62440844887169e-06
1846,9.919917829392944e-06
1847,1.1048889973608311e-05
1848,1.0807075341290329e-05
1849,1.05552853710833e-05
1850,1.0170263522013556e-05
1851,1.0495604328752961e-05
1852,1.04498139990028e-05
1853,1.0062054570880719e-05
1854,1.0710055903473403e-05
1855,1.036947014654288e-05
1856,1.0261817806167528e-05
1857,1.1258329323027283e-05
1858,1.1234848898311611e-05
1859,1.1929204447369557e-05
1860,1.0341686902393121e-05
1861,1.0844725693459623e-05
1862,9.934171430359129e-06
1863,1.0399195161880925e-05
1864,9.392887477588374e-06
1865,9.8368936960469e-06
1866,8.663231710670516e-06
1867,9.705362572276499e-06
1868,9.443916496820748e-06
1869,2.0557001334964298e-05
1870,1.0674772966012824e-05
1871,1.0912365723925177e-05
1872,1.1213731340831146e-05
1873,1.3119109098624904e-05
1874,1.399598204443464e-05
1875,1.2560667528305203e-05
1876,1.3599816156784073e-05
1877,1.4392735465662554e-05
1878,1.4241036296880338e-05
1879,1.3407876394921914e-05
1880,1.2586132470460143e-05
1881,1.8282233213540167e-05
1882,1.2681744919973426e-05
1883,1.7421358279534616e-05
1884,1.3219324500823859e-05
1885,1.3946651961305179e-05
1886,1.4396783626580145e-05
1887,1.2813727153115906e-05
