,reviews
1800,1.5000799749032012e-06
1801,1.2273308129806537e-06
1802,1.1228383982597734e-06
1803,1.4581136156266439e-06
1804,1.6056893628046964e-06
1805,1.4981716276452062e-06
1806,1.732184841785056e-06
1807,1.5909794228718965e-06
1808,1.7577569906279678e-06
1809,1.290423597311019e-06
1810,1.3429910268314416e-06
1811,1.6195341459024348e-06
1812,1.1550240515134647e-06
1813,9.504261129222868e-07
1814,1.1550440603969037e-06
1815,1.4654300457550562e-06
1816,1.212565280184208e-06
1817,1.2915702427562792e-06
1818,1.0978118325510877e-06
1819,1.4816356497249217e-06
1820,1.6204339772230014e-06
1821,1.6367367834391189e-06
1822,1.5854876664889161e-06
1823,1.5848117982386611e-06
1824,1.8348548564972589e-06
1825,1.8341028180657304e-06
1826,1.9389481167308986e-06
1827,1.9894021079380764e-06
1828,1.980033630388789e-06
1829,1.718698513286654e-06
1830,1.8087578155245865e-06
1831,1.8736122910922859e-06
1832,2.0650800252042245e-06
1833,2.285593609485659e-06
1834,1.952088496182114e-06
1835,2.215503855040879e-06
1836,1.793242404346529e-06
1837,2.1814928459207295e-06
1838,1.7746999674272956e-06
1839,1.6587770232945331e-06
1840,1.7205932181241224e-06
1841,1.8208270375907887e-06
1842,1.8513404711484327e-06
1843,1.8984171674674144e-06
1844,2.2096830889495322e-06
1845,1.7658371689321939e-06
1846,1.8512345150156762e-06
1847,1.9671558675327105e-06
1848,1.9607182366598863e-06
1849,2.064033196802484e-06
1850,2.367673687331262e-06
1851,2.110834884661017e-06
1852,2.2269664441409986e-06
1853,1.8917232864623656e-06
1854,2.137201136065414e-06
1855,2.3589500415255316e-06
1856,2.3258589862962253e-06
1857,2.1599646515824134e-06
1858,2.1337759790185373e-06
1859,2.3343527573160827e-06
1860,2.1954983822070062e-06
1861,2.323783292013104e-06
1862,2.2152707970235497e-06
1863,2.3709446850261884e-06
1864,2.4262158149213064e-06
1865,2.383070523137576e-06
1866,2.190118493672344e-06
1867,2.218651161456364e-06
1868,2.387835820627515e-06
1869,3.256257286921027e-06
1870,2.550269528001081e-06
1871,2.7895730454474688e-06
1872,2.625533852551598e-06
1873,2.691349436645396e-06
1874,2.6267318844475085e-06
1875,2.543551772760111e-06
1876,2.9919322059868136e-06
1877,2.8636363822442945e-06
1878,3.0009653073648224e-06
1879,3.1439510621567024e-06
1880,2.8525107609311817e-06
1881,3.0451762995653553e-06
1882,2.909542672568932e-06
1883,2.894620138249593e-06
1884,3.0503413199767238e-06
1885,3.0007704481249675e-06
1886,3.367254521435825e-06
1887,3.2489233490196057e-06
1888,3.213428271919838e-06
1889,3.3135584089905024e-06
1890,4.002227797172964e-06
1891,4.143316346016945e-06
1892,3.7877659906371264e-06
1893,3.581591499823844e-06
1894,3.617148877310683e-06
1895,3.947942332160892e-06
1896,3.886630111082923e-06
1897,4.338028702477459e-06
1898,4.158596766501432e-06
1899,4.026477199658984e-06
1900,4.04142883780878e-06
1901,4.1207294998457655e-06
1902,4.526283191808034e-06
1903,4.523560164670926e-06
1904,4.1225557652069256e-06
1905,4.04938009523903e-06
1906,3.980849214713089e-06
1907,3.74755450138764e-06
1908,3.662159087980399e-06
1909,3.7420904845930636e-06
1910,3.95591314372723e-06
1911,3.7055615393910557e-06
1912,3.892831955454312e-06
1913,3.925627424905542e-06
1914,3.7392644571809797e-06
1915,3.754846147785429e-06
1916,3.856892362819053e-06
1917,3.943543561035767e-06
1918,3.96088398701977e-06
1919,3.725742317328695e-06
1920,4.041990905534476e-06
1921,4.0824347706802655e-06
1922,4.481174528336851e-06
1923,4.395344603835838e-06
1924,4.442927092895843e-06
1925,4.7177622946037445e-06
1926,5.084036274638493e-06
1927,5.111426162329735e-06
1928,5.07843833474908e-06
1929,5.123511527926894e-06
1930,5.291561592457583e-06
1931,5.479751052916981e-06
1932,5.602776582236402e-06
1933,5.605494152405299e-06
1934,6.42047689325409e-06
1935,5.849362878507236e-06
1936,6.2033309404796455e-06
1937,5.904580120841274e-06
1938,6.550477337441407e-06
1939,6.351558567985194e-06
1940,6.896240392961772e-06
1941,7.176741746661719e-06
1942,7.139183253457304e-06
1943,6.768384082533885e-06
