,right
1800,0.00032643406302668154
1801,0.00033142793108709157
1802,0.0003510446986183524
1803,0.00032541577820666134
1804,0.0003181020147167146
1805,0.00034075655275955796
1806,0.0003490929666440934
1807,0.00033210040419362485
1808,0.0003464762703515589
1809,0.00037213065661489964
1810,0.00034013701952062547
1811,0.00041128258453682065
1812,0.0005469950847327709
1813,0.00040370074566453695
1814,0.00041654924280010164
1815,0.0004626447625923902
1816,0.0004605656722560525
1817,0.00040145308594219387
1818,0.0003886943159159273
1819,0.0003804821753874421
1820,0.00035964278504252434
1821,0.000361827842425555
1822,0.0003557426098268479
1823,0.00037277437513694167
1824,0.00035217334516346455
1825,0.00036963546881452203
1826,0.00038149394094944
1827,0.0003767527814488858
1828,0.0003946497745346278
1829,0.0003899703733623028
1830,0.0004065796092618257
1831,0.0004122248210478574
1832,0.0005572803784161806
1833,0.0004099544894415885
1834,0.0004084975807927549
1835,0.0004026959650218487
1836,0.0004148700390942395
1837,0.0003858614363707602
1838,0.00040047988295555115
1839,0.0003940207534469664
1840,0.0003787690366152674
1841,0.00039542934973724186
1842,0.00041307491483166814
1843,0.00041029194835573435
1844,0.00040780138806439936
1845,0.00040502037154510617
1846,0.0004336148558650166
1847,0.00039542964077554643
1848,0.0004131845780648291
1849,0.0003890047373715788
1850,0.0004003264766652137
1851,0.0004048324190080166
1852,0.0004106616252101958
1853,0.0004559073131531477
1854,0.00040575198363512754
1855,0.0004212957574054599
1856,0.00042111054062843323
1857,0.00039639699389226735
1858,0.00041939946822822094
1859,0.0003979741013608873
1860,0.000433957960922271
1861,0.0004364035266917199
1862,0.0004332359822001308
1863,0.0004339136357884854
1864,0.00045725470408797264
1865,0.00042784851393662393
1866,0.0004678432596847415
1867,0.00043933643610216677
1868,0.00044479314237833023
1869,0.0004189810424577445
1870,0.00044074683682993054
1871,0.0004340337764006108
1872,0.0004318644350860268
1873,0.0004308689967729151
1874,0.00042150443186983466
1875,0.0004321139713283628
1876,0.0004260394780430943
1877,0.00043725036084651947
1878,0.00044513886678032577
1879,0.00045106373727321625
1880,0.0004452980065252632
1881,0.00045257710735313594
1882,0.0004784422053489834
1883,0.00045260979095473886
1884,0.00048074175720103085
1885,0.0004681285936385393
1886,0.0004917637561447918
1887,0.0005042257835157216
1888,0.0004974688636139035
1889,0.000450114777777344
1890,0.0004681296704802662
1891,0.00046239409130066633
1892,0.00045818393118679523
1893,0.00047396475565619767
1894,0.0004598413943313062
1895,0.0004453084839042276
1896,0.0004397648444864899
1897,0.00043411835213191807
1898,0.00044719164725393057
1899,0.0004428720858413726
1900,0.0004374830168671906
1901,0.00044142158003523946
1902,0.0004394814313855022
1903,0.000441648910054937
1904,0.00045990024227648973
1905,0.0004522584204096347
1906,0.00047050448483787477
1907,0.00045266971574164927
1908,0.0004553595499601215
1909,0.0004581092798616737
1910,0.00045163268805481493
1911,0.0004509977879934013
1912,0.0004791434039361775
1913,0.0004396136791910976
1914,0.0004652330535463989
1915,0.00046990285045467317
1916,0.00046806203317828476
1917,0.0004564351693261415
1918,0.00046410580398514867
1919,0.00044159629032947123
1920,0.0004452043795026839
1921,0.0004283578891772777
1922,0.0004299331922084093
1923,0.0004032551369164139
1924,0.00041029974818229675
1925,0.0003886574995703995
1926,0.00039950883365236223
1927,0.00037509234971366823
1928,0.00038975212373770773
1929,0.00037758948747068644
1930,0.0003794114163611084
1931,0.00037177029298618436
1932,0.00037751428317278624
1933,0.00036171378451399505
1934,0.0003819724661298096
1935,0.000379568082280457
1936,0.00039345776895061135
1937,0.00037367860204540193
1938,0.0003841401485260576
1939,0.0003884116595145315
1940,0.00038644287269562483
1941,0.00038721776218153536
1942,0.00039694548468105495
1943,0.0004175408976152539
1944,0.0004029590345453471
1945,0.000405446975491941
1946,0.0004017186292912811
1947,0.0004164756101090461
1948,0.00041685489122755826
1949,0.00038077280623838305
1950,0.00039816743810661137
1951,0.0003951675316784531
1952,0.00041002026409842074
1953,0.00038849105476401746
1954,0.0003876178525388241
1955,0.00039494436350651085
1956,0.0003893715620506555
1957,0.00040622291271574795
1958,0.00037515469011850655
1959,0.0003631431027315557
1960,0.0003679294022731483
1961,0.0003512277326080948
1962,0.00035258522257208824
1963,0.00034594241878949106
1964,0.00035399605985730886
1965,0.0003389362245798111
1966,0.0003501971368677914
1967,0.0003417809493839741
1968,0.00033587662619538605
1969,0.00034041315666399896
1970,0.00033771147718653083
1971,0.00034783376031555235
1972,0.0003360485134180635
1973,0.0003122517664451152
1974,0.0003300730313640088
1975,0.0003112850245088339
1976,0.0003090420213993639
1977,0.0003056623099837452
1978,0.0003060895251110196
1979,0.00030612319824285805
1980,0.00030224811052903533
1981,0.000298962026135996
1982,0.0003072321997024119
1983,0.0003068740479648113
1984,0.00030641703051514924
1985,0.00031530819251202047
1986,0.0003098618471994996
1987,0.00031982394284568727
1988,0.00031504282378591597
1989,0.000315097626298666
1990,0.0003140769840683788
1991,0.0003197153564542532
1992,0.0003252188325859606
1993,0.00031753379153087735
1994,0.000323721906170249
1995,0.0003251447342336178
1996,0.0003366538439877331
1997,0.0003506102948449552
1998,0.00035626604221761227
1999,0.0003668967401608825
2000,0.0003799026017077267
2001,0.0003880504227709025
2002,0.0003977375163231045
2003,0.0004017794271931052
2004,0.0004040082567371428
2005,0.00041337747825309634
2006,0.0004159426025580615
2007,0.00042996270349249244
2008,0.00044667499605566263
2009,0.0004828379605896771
2010,0.0005089699407108128
2011,0.0005474627832882106
2012,0.0005216015852056444
2013,0.0004928252892568707
2014,0.0005588909843936563
2015,0.000545492977835238
2016,0.0005174559191800654
2017,0.0005310511332936585
2018,0.0005109105841256678
2019,0.0005267658270895481
